STATION,INSTAP_WERK,UITSTAP_WERK,INSTAP_ZA,UITSTAP_ZA,INSTAP_ZO,UITSTAP_ZO
Almelo,5309,5309,0,0,0,0
Almelo de Riet,620,620,0,0,0,0
Almere Buiten,3229,3229,0,0,0,0
Almere Centrum,11892,11892,0,0,0,0
Almere Muziekwijk,3340,3340,0,0,0,0
Almere Oostvaarders,2315,2315,0,0,0,0
Almere Parkwijk,1792,1792,0,0,0,0
Almere Poort,1542,1542,0,0,0,0
Amersfoort Centraal,22557,22442,1108,1031,706,643
Apeldoorn,7314,7314,0,0,0,0
Apeldoorn Osseveld,555,555,0,0,0,0
Arnhem Centraal,19582,19582,0,0,0,0
Arnhem Presikhaaf,1414,1414,0,0,0,0
Arnhem Velperpoort,1033,1033,0,0,0,0
Arnhem Zuid,1454,1454,0,0,0,0
Assen,4568,4568,0,0,0,0
Barneveld Centrum,1452,1373,565,473,285,236
Barneveld Noord,522,492,171,157,116,81
Barneveld Zuid,191,189,61,59,29,30
Beilen,1062,1062,0,0,0,0
Borne,1136,1136,0,0,0,0
Brummen,512,512,0,0,0,0
Culemborg,4072,4072,0,0,0,0
Delden,325,306,217,170,159,97
Deventer,9870,9870,0,0,0,0
Deventer Colmschate,732,732,0,0,0,0
Dieren,1820,1820,0,0,0,0
Dronten,1714,1714,0,0,0,0
Ede Centrum,523,480,376,355,148,138
Ede-Wageningen,10204,10034,650,509,382,390
Elst,1855,1855,0,0,0,0
Enschede,9254,9254,0,0,0,0
Enschede Kennispark,1266,1266,0,0,0,0
Ermelo,1424,1424,0,0,0,0
Geldermalsen,2954,2954,0,0,0,0
Goor,774,728,334,281,282,160
Harderwijk,2814,2814,0,0,0,0
Heino,346,346,0,0,0,0
Hengelo,8903,8887,1138,1044,765,901
Hengelo Gezondheidspark,170,160,62,53,49,41
Hengelo Oost,176,140,135,94,95,69
Hoevelaken,498,482,173,176,113,96
Holten,639,639,0,0,0,0
Hoogeveen,2236,2236,0,0,0,0
Kampen,2068,2068,0,0,0,0
Kampen Zuid,753,753,0,0,0,0
Lelystad Centrum,6684,6684,0,0,0,0
Lochem,520,492,252,226,246,156
Lunteren,394,361,298,237,133,97
Meppel,2819,2819,0,0,0,0
Nijkerk,1669,1669,0,0,0,0
Nijmegen,21598,21598,0,0,0,0
Nijmegen Dukenburg,922,922,0,0,0,0
Nijmegen Goffert,356,356,0,0,0,0
Nijmegen Lent,554,554,0,0,0,0
Nijverdal,1479,1479,0,0,0,0
Nunspeet,1381,1381,0,0,0,0
Oldenzaal,907,828,485,378,464,272
Olst,594,594,0,0,0,0
Putten,906,906,0,0,0,0
Raalte,1058,1058,0,0,0,0
Rheden,402,402,0,0,0,0
Rijssen,1199,1199,0,0,0,0
Steenwijk,1616,1616,0,0,0,0
Tiel,1722,1722,0,0,0,0
Tiel Passewaaij,717,717,0,0,0,0
Twello,716,716,0,0,0,0
Velp,708,708,0,0,0,0
Wezep,524,524,0,0,0,0
Wierden,888,888,0,0,0,0
Wijchen,2050,2050,0,0,0,0
Wijhe,562,562,0,0,0,0
Wolfheze,264,264,0,0,0,0
Zaltbommel,1722,1722,0,0,0,0
Zutphen,7174,7086,801,749,651,744
Zwolle,20809,20809,0,0,0,0
