STATION;NS;TZUHO;Valleilijn;TOTAAL
Almelo;10860.0;;;10860.0
Almelo de Riet;1244.0;;;1244.0
Almere Buiten;7314.0;;;7314.0
Almere Centrum;25888.0;;;25888.0
Almere Muziekwijk;6400.0;;;6400.0
Almere Oostvaarders;4328.0;;;4328.0
Almere Parkwijk;3108.0;;;3108.0
Almere Poort;4440.0;;;4440.0
Amersfoort Centraal;42604.0;;6669.0;49273.0
Apeldoorn;15034.0;;;15034.0
Apeldoorn Osseveld;1198.0;;;1198.0
Arnhem Centraal;42988.0;;;42988.0
Arnhem Presikhaaf;2768.0;;;2768.0
Arnhem Velperpoort;2000.0;;;2000.0
Arnhem Zuid;2916.0;;;2916.0
Assen;8324.0;;;8324.0
Barneveld Centrum;;;2941.0;2941.0
Barneveld Noord;;;887.0;887.0
Barneveld Zuid;;;648.0;648.0
Beilen;2072.0;;;2072.0
Borne;2192.0;;;2192.0
Brummen;1060.0;;;1060.0
Culemborg;8704.0;;;8704.0
Delden;;320.0;;320.0
Deventer;20784.0;;;20784.0
Deventer Colmschate;1382.0;;;1382.0
Dieren;3704.0;;;3704.0
Dronten;3452.0;;;3452.0
Ede Centrum;;;1013.0;1013.0
Ede-Wageningen;17892.0;;2591.0;20483.0
Elst;3940.0;;;3940.0
Enschede;17558.0;;;17558.0
Enschede Kennispark;2252.0;;;2252.0
Ermelo;2968.0;;;2968.0
Geldermalsen;6320.0;;;6320.0
Goor;;802.0;;802.0
Harderwijk;5880.0;;;5880.0
Hengelo;12920.0;2098.0;;15018.0
Hengelo Gezondheidspark;;182.0;;182.0
Hengelo Oost;;165.0;;165.0
Hoevelaken;;;1136.0;1136.0
Holten;1292.0;;;1292.0
Hoogeveen;4674.0;;;4674.0
Kampen Zuid;1734.0;;;1734.0
Lelystad Centrum;14152.0;;;14152.0
Lochem;;494.0;;494.0
Lunteren;;;782.0;782.0
Meppel;5988.0;;;5988.0
Nijkerk;3632.0;;;3632.0
Nijmegen;44704.0;;;44704.0
Nijmegen Dukenburg;2182.0;;;2182.0
Nijmegen Goffert;1236.0;;;1236.0
Nijmegen Lent;1252.0;;;1252.0
Nunspeet;2824.0;;;2824.0
Oldenzaal;;1810.0;;1810.0
Olst;1226.0;;;1226.0
Putten;1916.0;;;1916.0
Rheden;832.0;;;832.0
Rijssen;2428.0;;;2428.0
Steenwijk;3646.0;;;3646.0
Tiel;3636.0;;;3636.0
Tiel Passewaaij;1556.0;;;1556.0
Twello;1476.0;;;1476.0
Velp;1472.0;;;1472.0
Wezep;1084.0;;;1084.0
Wierden;1806.0;;;1806.0
Wijchen;4280.0;;;4280.0
Wijhe;1214.0;;;1214.0
Wolfheze;558.0;;;558.0
Zaltbommel;3736.0;;;3736.0
Zutphen;11936.0;2515.0;;14451.0
Zwolle;45508.0;;;45508.0
