STOPPLACECODE;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO;NAME;TOWN;RD-X;RD-Y
NL:S:16780130;50.7;52.5;23.3;18.8;14.0;11.6;Centrum;Nieuwleusen;216321.5;509843.5
NL:S:16780150;14.6;14.0;4.3;3.5;3.3;3.3;Westeinde;Nieuwleusen;215965.5;509663.5
NL:S:16780170;6.7;6.6;2.8;1.9;1.1;1.4;Bouwhuisweg;Nieuwleusen;215412.0;509382.5
NL:S:16780190;4.3;5.0;1.4;1.6;1.4;1.5;Molen;Nieuwleusen;214730.0;509063.0
NL:S:16780300;1.7;1.0;0.5;0.2;0.0;0.0;Grote Markt;Nieuwleusen;216323.5;510016.5
NL:S:16780560;2.6;2.9;0.0;0.0;0.0;0.0;Rollecater Brug;Nieuwleusen;213476.7;511781.0
NL:S:17000010;97.5;87.5;18.1;16.4;11.0;14.2;Station;Hoogeveen;228376.5;527843.0
NL:S:17000210;20.2;20.3;3.5;2.7;2.6;1.8;Buizerdlaan;Hoogeveen;230582.0;526501.5
NL:S:17000710;6.7;8.0;2.8;1.7;1.7;1.1;Mr. Cramerweg P+R;Hoogeveen;231240.5;526396.5
NL:S:17001650;1.4;1.6;0.3;0.2;0.1;0.2;Willemskade;Hoogeveen;228637.0;527459.5
NL:S:17003020;1.9;3.1;0.1;0.1;0.1;0.1;Industrieweg;Hoogeveen;228629.5;527649.0
NL:S:17003040;11.0;10.7;2.7;4.2;1.2;1.2;Tamboerpassage;Hoogeveen;228885.5;527146.5
NL:S:17003120;8.3;9.5;1.9;1.4;1.1;0.4;Wolfsbosstraat;Hoogeveen;229701.0;526505.0
NL:S:17003140;4.4;6.0;0.8;0.9;0.4;0.2;Valkenlaan;Hoogeveen;230185.5;526498.5
NL:S:17003200;14.4;15.2;2.7;2.8;1.6;1.4;'t Haagje;Hoogeveen;229027.5;526514.0
NL:S:17190010;3.5;3.9;0.1;0.4;0.1;0.0;Buitenvaart;Hollandscheveld;231478.0;524985.0
NL:S:17190030;0.9;0.9;0.0;0.2;0.0;0.1;Opgaande 71;Hollandscheveld;232092.5;524964.0
NL:S:17190050;14.4;14.3;1.2;1.5;0.6;0.7;'t Hoekje;Hollandscheveld;232436.0;524948.0
NL:S:17190150;3.4;3.8;0.4;0.4;0.1;0.3;Carstensdijk;Zuideropgaande;232403.0;522479.5
NL:S:17190190;0.1;0.1;0.0;0.0;0.0;0.0;Schooldijkje;Zuideropgaande;232388.5;522120.5
NL:S:17290010;0.0;0.1;0.0;0.0;0.0;0.0;Riegshoogtendijk;Kerkenveld;232361.0;521684.5
NL:S:17290030;3.0;2.7;0.5;0.5;0.4;0.2;Gedempte Wijde Wijk;Kerkenveld;232332.5;520932.5
NL:S:17290050;0.5;0.6;0.2;0.1;0.1;0.1;Ritmeesterweg;Kerkenveld;232318.0;520199.0
NL:S:17290070;0.0;0.1;0.0;0.0;0.0;0.0;Riegshoogtendijk 3;Kerkenveld;232305.5;519689.0
NL:S:17290090;0.2;0.2;0.0;0.0;0.0;0.0;Hoogeveenseweg 33;Kerkenveld;232293.0;519164.5
NL:S:17290110;1.2;1.2;0.2;0.2;0.1;0.0;Braambergerweg;Kerkenveld;232451.0;518232.5
NL:S:17290130;0.2;0.3;0.1;0.2;0.1;0.1;Hoogeveenseweg 11;Kerkenveld;232693.5;517775.5
NL:S:17350030;9.1;9.5;1.5;0.9;0.7;0.8;Riegshoogtendijk;Hollandscheveld;232490.5;524679.5
NL:S:17350050;1.7;1.7;0.1;0.3;0.1;0.1;Jan Wintersdijkje;Zuideropgaande;232463.5;523771.5
NL:S:17480030;3.3;4.2;1.5;1.8;1.6;1.7;Zwolseweg;Balkbrug;222531.5;512945.0
NL:S:17480050;9.7;8.8;3.4;2.8;2.6;2.5;d 'Olde Heerd;Balkbrug;222029.0;512841.0
NL:S:17480070;1.7;1.6;0.4;1.0;0.2;0.3;Zelhorstweg;Balkbrug;220489.5;512525.5
NL:S:17480090;3.8;3.6;1.2;1.2;1.2;1.4;Nieuweweg (Sluis 4);Balkbrug;219280.5;512273.0
NL:S:19000320;0.9;0.9;0.0;0.0;0.0;0.0;Trageldijk;Coevorden;245780.5;520040.0
NL:S:19001410;17.5;17.1;0.0;0.0;0.0;0.0;Station;Coevorden;246257.5;520408.5
NL:S:19180200;0.0;0.1;0.0;0.0;0.0;0.0;Scheidijk;De Krim;242276.0;519464.5
