MAAND,INSTAP_WERK,UITSTAP_WERK,INSTAP_ZA,UITSTAP_ZA,INSTAP_ZO,UITSTAP_ZO
01,0.08609429754698948,0.08688742010105704,0.07947894361170592,0.08081733879663576,0.0912535943480662,0.09411191293720537
02,0.08982727079652852,0.09049815462725774,0.08325175894769042,0.08370474205065535,0.1014986765181955,0.09934237327591224
03,0.08979106934267814,0.09021523587870595,0.08228306311818089,0.08233891644501953,0.08209395768666806,0.08426206133969621
04,0.08517598733431801,0.08525839699005176,0.11845110635260528,0.11786835358109889,0.074057852341325,0.07358290170517372
05,0.08432042630832054,0.08378491518198332,0.0708218619353523,0.07173579661179402,0.10724963342410451,0.10807920619216668
06,0.08653535192640004,0.08705192263132358,0.07111247068420516,0.0712745309467328,0.07000806149588355,0.07076761915847059
07,0.054810207844613705,0.05367967196787272,0.08214540634240848,0.08234490690820215,0.07332152673306293,0.07285543851481115
08,0.05391422186181664,0.05187846527460401,0.0737840318140104,0.07235281431960319,0.06166092205739531,0.06092504219286504
09,0.10044576056841109,0.10037534740758094,0.07776078311410217,0.076863633096111,0.0793517795593472,0.07972269103183378
10,0.08852824196086381,0.08875519591163206,0.09238299174059346,0.09246279922363597,0.09283415535200808,0.09215503695513007
11,0.0967972573778563,0.09751799606474103,0.06932293259916386,0.06935159226511393,0.06927808352217546,0.06733399289995926
12,0.08375990713120372,0.08409727796318985,0.09920464973998165,0.09888457575539741,0.0973917569617682,0.09686172379677588
