STOPPLACECODE;NAME;TOWN;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO
NL:S:40612047;Maanderweg;Ede;2,7;6,7;2,6;6,5;1,9;3,6
NL:S:40612050;Station Ede Centrum;Ede;14,6;18,7;11,2;16,9;6,6;9,5
NL:S:40612051;Jadestraat;Ede;2,6;3,4;1,7;2,5;0,8;1,3
NL:S:40612053;Schaapsweg/Veenderweg;Ede;1,2;2,2;0,5;0,9;0,6;1,0
NL:S:40612055;Ganzeweide;Ede;7,6;11,0;4,8;6,4;4,4;5,8
NL:S:40612059;Mariendaal;Ede;55,1;60,9;22,7;24,1;9,9;12,7
NL:S:40612061;Durendaal;Ede;5,3;6,8;3,1;4,5;1,5;1,9
NL:S:40612063;Middelbeek;Ede;6,2;6,7;3,8;5,3;2,3;2,8
NL:S:40612065;Schoutenhof;Ede;3,3;5,3;2,9;2,7;1,2;1,3
NL:S:40612067;Aalbeek;Ede;42,3;32,4;22,6;18,2;11,1;8,4
NL:S:40612069;Nienhof;Ede;14,7;14,6;7,1;7,7;4,7;5,1
NL:S:40612071;Binnenhof;Ede;14,2;15,3;9,4;9,1;3,9;4,3
NL:S:40612073;Hogerhorst;Ede;49,6;39,5;25,2;21,9;12,1;10,1
NL:S:40612075;Hoekenburg;Ede;32,9;29,6;12,2;11,6;7,1;8,0
NL:S:40612077;Kranenburg;Ede;26,1;21,5;16,6;13,7;7,9;7,5
NL:S:40612079;Proosdijerveldweg;Ede;6,1;6,2;2,3;2,7;1,5;1,9
NL:S:40612081;Cultura;Ede;23,6;31,3;14,1;23,6;3,7;5,5
NL:S:40612083;Grotestraat;Ede;65,3;54,1;60,7;39,6;15,0;12,4
NL:S:40612085;Raadhuis;Ede;99,39999999999999;103,2;45,7;49,9;26,6;28,6
NL:S:40612087;Doelenstraat;Ede;29,3;35,4;21,7;29,7;9,6;12,9
NL:S:40612089;Politiebureau;Ede;63,5;59,300000000000004;47,5;42,3;20,8;24,5
NL:S:40612092;Hogewoud;Ede;11,7;10,8;5,7;4,7;7,2;4,5
NL:S:40612095;N224/Veldhuizen;Ede;6,2;6,7;3,1;4,4;2,6;3,2
NL:S:40612097;Stakenberg;Ede;13,4;14,1;6,3;6,2;4,9;4,8
NL:S:40612101;Schaapsweg/Molenstraat;Ede;11,2;9,9;4,7;3,8;2,5;2,5
NL:S:40612115;Eikenlaan;Ede;0,0;0,0;0,0;0,0;0,0;0,0
NL:S:40612118;De Bosrand;Ede;7,2;9,9;4,9;6,5;4,3;4,9
NL:S:40612119;Schutterweg;Ede;3,2;4,1;0,2;0,1;0,1;0,1
NL:S:40612121;Cannenburgerbos;Ede;4,5;5,5;2,2;1,8;1,6;1,3
NL:S:40612123;Lagewoud;Ede;11,5;11,5;4,8;5,2;4,7;3,9
NL:S:40612125;Dalerveen;Ede;12,3;12,0;5,3;6,0;5,1;4,8
NL:S:40612127;Darwinstraat;Ede;13,7;22,1;0,5;1,6;0,8;1,2
NL:S:40612180;Sijsselt;Ede;0,0;0,0;0,0;0,0;0,0;0,0
NL:S:40622119;Driesprong;Ede;11,8;14,4;5,4;6,2;4,0;3,5
NL:S:40622121;Hoge Valksedijk;Ede;0,3;0,5;0,4;0,4;0,1;0,2
