STATION,CONCESSIE,INSTAP_WERK,UITSTAP_WERK,INSTAP_ZA,UITSTAP_ZA,INSTAP_ZO,UITSTAP_ZO
Amersfoort Centraal,AEW,1589,1393,839,699,587,469
Barneveld Centrum,AEW,712,703,308,306,187,160
Barneveld Noord,AEW,229,225,79,85,63,47
Barneveld Zuid,AEW,192,188,81,79,45,39
Ede Centrum,AEW,282,277,228,224,108,111
Ede-Wageningen,AEW,657,631,379,347,231,309
Hoevelaken,AEW,263,255,110,120,77,63
Lunteren,AEW,207,204,144,143,82,75
Enschede,TENGR,54,58,21,24,14,15
Enschede De Eschmarke,TENGR,10,12,3,2,1,1
Glanerbrug,TENGR,48,42,21,18,14,12
Delden,TZUHO,168,170,94,96,66,46
Goor,TZUHO,422,422,171,178,136,84
Hengelo,TZUHO,1270,1311,639,626,381,528
Hengelo Gezondheidspark,TZUHO,158,123,55,44,41,31
Hengelo Oost,TZUHO,114,100,76,68,44,42
Lochem,TZUHO,258,262,124,142,126,76
Oldenzaal,TZUHO,552,549,213,238,206,132
Zutphen,TZUHO,655,660,450,430,374,434
Almelo,TZWEN,1125,1273,352,426,266,276
Almelo de Riet,TZWEN,256,235,109,99,64,62
Borne,TZWEN,417,419,236,245,187,128
Enschede,TZWEN,1733,1701,873,786,509,683
Enschede Kennispark,TZWEN,408,361,287,253,105,239
Heino,TZWEN,162,164,85,88,64,50
Hengelo,TZWEN,1651,1634,741,794,623,447
Nijverdal,TZWEN,709,704,269,279,202,145
Raalte,TZWEN,538,554,193,209,159,122
Wierden,TZWEN,371,335,163,159,113,77
Zwolle,TZWEN,1764,1753,852,822,756,817
Kampen,TZWKA,1053,1029,468,452,315,254
Zwolle,TZWKA,1077,1099,481,503,275,344
Zwolle Stadshagen,TZWKA,119,121,67,60,47,38
