STATION,CONCESSIE,INSTAP_WERK,UITSTAP_WERK,INSTAP_ZA,UITSTAP_ZA,INSTAP_ZO,UITSTAP_ZO
Aalten,GT,379,379,150,150,133,133
Almelo,TZWEN,1275,1454,389,480,319,317
Almelo,VD,402,402,200,200,118,118
Almelo de Riet,TZWEN,276,251,111,100,76,71
Amersfoort Centraal,Valleilijn,1661,1469,976,796,699,552
Apeldoorn,GT,423,423,429,429,309,309
Apeldoorn De Maten,GT,147,147,66,66,50,50
Arnhem,BRENG,62,62,37,37,27,27
Arnhem,GT,2919,2919,1727,1727,1153,1153
Arnhem Velperpoort,GT,867,867,451,451,288,288
Barneveld Centrum,Valleilijn,793,780,322,325,204,181
Barneveld Noord,Valleilijn,262,256,104,113,84,63
Barneveld Zuid,Valleilijn,204,197,80,81,52,45
Borne,TZWEN,459,456,249,264,223,155
Coevorden,VD,459,459,208,208,166,166
Daarlerveen,VD,43,43,15,15,8,8
Dalen,VD,72,72,32,32,33,33
Dalfsen,VD,332,332,194,194,163,163
Delden,TZUHO,183,190,98,105,74,54
Didam,GT,525,525,262,262,198,198
Doetinchem,GT,1269,1269,515,515,395,395
Doetinchem De Huet,GT,415,415,182,182,155,155
Duiven,GT,676,676,409,409,282,282
Ede Centrum,Valleilijn,271,271,235,232,112,115
Ede-Wageningen,Valleilijn,745,698,479,422,283,356
Elst,GT,370,370,146,146,101,101
Emmen,VD,586,586,352,352,284,284
Emmen Zuid,VD,185,185,94,94,94,94
Enschede,TENGR,83,86,39,42,27,30
Enschede,TZWEN,2019,1978,927,806,584,766
Enschede De Eschmarke,TENGR,15,16,3,3,3,2
Enschede Kennispark,TZWEN,491,433,289,226,177,338
Gaanderen,GT,145,145,80,80,66,66
Glanerburg,TENGR,57,52,30,25,22,20
Goor,TZUHO,470,463,193,199,147,99
Gramsbergen,VD,69,69,40,40,33,33
Gronau,TENGR,22,22,15,16,10,9
Hardenberg,VD,820,820,365,365,319,319
Heino,TZWEN,168,171,99,104,83,66
Hemmen-Dodewaard,GT,40,40,14,14,10,10
Hengelo,TZUHO,1496,1512,703,667,437,615
Hengelo,TZWEN,1912,1908,782,872,712,518
Hengelo Gezondheidspark,TZUHO,125,125,48,51,34,32
Hengelo Oost,TZUHO,133,116,85,76,49,48
Hoevelaken,Valleilijn,276,266,130,146,96,83
Kampen,TZWKA,1124,1100,532,530,364,296
Kesteren,GT,192,192,57,57,38,38
Klarenbeek,GT,49,49,26,26,24,24
Lichtenvoorde-Groenlo,GT,281,281,151,151,200,200
Lichtenvoorde-Groenlo,Onbekend,7,7,7,7,5,5
Lochem,TZUHO,302,304,143,165,150,94
Lunteren,Valleilijn,213,212,147,151,93,82
Mariënberg,GT,1,1,0,0,0,0
Mariënberg,VD,351,351,198,198,156,156
Nieuw Amsterdam,VD,167,167,78,78,78,78
Nijverdal,TZWEN,780,783,291,312,250,178
Oldenzaal,TZUHO,661,648,234,260,237,149
Ommen,VD,412,412,260,260,236,236
Opheusden,GT,107,107,40,40,24,24
Raalte,TZWEN,600,614,217,234,185,139
Ruurlo,GT,233,233,135,135,148,148
Ruurlo,Onbekend,6,6,14,14,6,6
Terborg,GT,228,228,97,97,94,94
Tiel,GT,326,326,137,137,105,105
Varsseveld,GT,252,252,106,106,95,95
Voorst-Empe,GT,83,83,36,36,27,27
Vorden,GT,225,225,130,130,127,127
Vriezenveen,VD,129,129,41,41,28,28
Vroomshoop,VD,172,172,61,61,39,39
Wehl,GT,223,223,99,99,80,80
Westervoort,GT,338,338,175,175,122,122
Wierden,TZWEN,435,388,172,179,142,101
Winterswijk,GT,660,660,325,325,274,274
Winterswijk,Onbekend,14,14,22,22,13,13
Winterswijk West,GT,107,107,43,43,50,50
Winterswijk West,Onbekend,4,4,4,4,2,2
Zetten-Andelst,GT,194,194,88,88,69,69
Zevenaar,BRENG,49,49,62,62,48,48
Zevenaar,GT,835,835,415,415,293,293
Zutphen,GT,1345,1345,730,730,513,513
Zutphen,TZUHO,762,776,515,497,464,500
Zwolle,TZWEN,2043,2021,1043,991,936,1036
Zwolle,TZWKA,1185,1184,588,600,347,427
Zwolle,VD,1649,1649,960,960,622,622
Zwolle Stadshagen,TZWKA,287,311,150,140,104,93
