STATION,CONCESSIE,INSTAP_WERK,UITSTAP_WERK,INSTAP_ZA,UITSTAP_ZA,INSTAP_ZO,UITSTAP_ZO
Amersfoort Centraal,AEW,2920,2853,1869,1824,1222,1141
Barneveld Centrum,AEW,1221,1269,682,686,360,356
Barneveld Noord,AEW,455,457,223,224,138,116
Barneveld Zuid,AEW,326,330,189,191,96,99
Ede Centrum,AEW,599,563,642,652,288,295
Ede-Wageningen,AEW,1209,1218,899,888,570,654
Hoevelaken,AEW,500,507,263,275,170,167
Lunteren,AEW,349,355,344,328,154,148
Arnhem Centraal,BRENG,1652,1831,10,18,0,0
Arnhem Velperpoort,BRENG,470,589,3,4,0,0
Didam,BRENG,381,346,3,3,0,0
Doetinchem,BRENG,723,666,5,4,0,0
Doetinchem De Huet,BRENG,271,249,2,1,0,0
Duiven,BRENG,524,450,5,3,0,0
Wehl,BRENG,141,144,1,1,0,0
Westervoort,BRENG,269,236,3,2,0,0
Zevenaar,BRENG,654,574,5,3,0,0
Aalten,GT,607,602,330,335,224,178
Apeldoorn,GT,1199,1142,865,753,627,631
Apeldoorn De Maten,GT,240,228,130,118,98,80
Arnhem Centraal,GT,3584,3207,3363,3352,2193,2501
Arnhem Velperpoort,GT,828,909,705,748,490,527
Arnhem Zuid,GT,0,0,0,0,0,0
Didam,GT,453,467,451,432,287,257
Doetinchem,GT,1263,1367,1046,1112,665,595
Doetinchem De Huet,GT,382,405,326,324,233,199
Duiven,GT,609,641,798,730,482,454
Elst,GT,578,694,256,304,163,228
Elten,GT,6,6,7,7,3,3
Emmerich,GT,8,8,17,17,5,3
Emmerich Praest,GT,0,0,0,0,0,0
Gaanderen,GT,225,216,192,180,119,100
Hemmen-Dodewaard,GT,48,47,23,21,16,14
Kesteren,GT,277,270,116,103,69,57
Klarenbeek,GT,73,73,50,49,37,30
Lichtenvoorde-Groenlo,GT,406,423,215,270,261,179
Opheusden,GT,153,151,59,56,37,34
Ruurlo,GT,416,409,255,260,244,170
Terborg,GT,330,321,217,214,155,122
Tiel,GT,530,549,296,308,195,178
Varsseveld,GT,337,339,223,233,140,137
Voorst-Empe,GT,109,109,50,52,35,34
Vorden,GT,397,426,246,277,214,184
Wehl,GT,204,201,208,205,140,117
