STATION,CONCESSIE,INSTAP_WERK,UITSTAP_WERK,INSTAP_ZA,UITSTAP_ZA,INSTAP_ZO,UITSTAP_ZO
Amersfoort Centraal,AEW,2878,2531,1759,1453,1278,983
Barneveld Centrum,AEW,1301,1276,613,570,355,319
Barneveld Noord,AEW,428,408,206,184,134,97
Barneveld Zuid,AEW,314,301,140,133,72,68
Ede Centrum,AEW,450,434,401,419,183,176
Ede-Wageningen,AEW,1166,1049,720,593,455,527
Hoevelaken,AEW,495,473,245,236,157,143
Lunteren,AEW,327,319,251,216,145,122
Enschede,TENGR,115,115,68,68,39,46
Enschede De Eschmarke,TENGR,18,18,3,3,3,3
Glanerbrug,TENGR,59,56,32,29,25,20
Gronau,TENGR,40,42,33,36,18,15
Delden,TZUHO,264,264,153,152,123,86
Goor,TZUHO,637,628,272,264,196,137
Hengelo,TZUHO,2012,2045,1004,1002,639,859
Hengelo Gezondheidspark,TZUHO,145,150,56,59,42,41
Hengelo Oost,TZUHO,152,128,105,90,61,61
Lochem,TZUHO,444,448,212,227,194,132
Oldenzaal,TZUHO,853,829,322,339,311,203
Zutphen,TZUHO,1079,1093,761,753,674,723
Almelo,TZWEN,1703,1926,564,657,446,430
Almelo de Riet,TZWEN,351,320,138,123,85,83
Borne,TZWEN,629,615,354,348,276,202
Enschede,TZWEN,2679,2688,1408,1234,852,1048
Enschede Kennispark,TZWEN,685,636,458,407,266,467
Heino,TZWEN,246,250,152,154,121,98
Hengelo,TZWEN,2571,2507,1140,1303,991,746
Nijverdal,TZWEN,1080,1083,419,415,315,249
Raalte,TZWEN,833,848,318,323,245,188
Wierden,TZWEN,598,567,254,251,188,140
Zwolle,TZWEN,2871,2806,1528,1519,1292,1427
Kampen,TZWKA,1507,1468,777,756,485,426
Zwolle,TZWKA,1632,1680,848,893,515,590
Zwolle Stadshagen,TZWKA,448,440,240,215,167,150
