STATION,CONCESSIE,INSTAP_WERK,UITSTAP_WERK,INSTAP_ZA,UITSTAP_ZA,INSTAP_ZO,UITSTAP_ZO
Amersfoort Centraal,Valleilijn,2960,2768,1364,1169,1034,908
Barneveld Centrum,Valleilijn,1416,1347,595,508,337,281
Barneveld Noord,Valleilijn,507,485,172,156,133,91
Barneveld Zuid,Valleilijn,255,247,82,77,42,41
Delden,TZUHO,161,237,112,119,86,64
Ede Centrum,Valleilijn,516,481,401,369,195,177
Ede-Wageningen,Valleilijn,1386,1219,743,610,544,538
Goor,TZUHO,805,751,351,282,269,153
Hengelo,TZUHO,2210,2178,1213,1049,783,881
Hengelo Gezondheidspark,TZUHO,175,166,67,59,50,40
Hengelo Oost,TZUHO,189,149,148,98,101,75
Hoevelaken,Valleilijn,533,520,176,184,130,105
Lochem,TZUHO,521,494,254,227,242,146
Lunteren,Valleilijn,379,352,293,234,154,112
Oldenzaal,TZUHO,923,834,474,374,479,269
Zutphen,TZUHO,1340,1239,907,831,691,753
