STATION,CONCESSIE,INSTAP_WERK,UITSTAP_WERK,INSTAP_ZA,UITSTAP_ZA,INSTAP_ZO,UITSTAP_ZO
-,AEW,0,0,0,0,0,0
Amersfoort Centraal,AEW,2542,2552,1565,1581,1074,1038
Barneveld Centrum,AEW,1095,1134,511,508,292,271
Barneveld Noord,AEW,374,374,164,166,113,89
Barneveld Zuid,AEW,283,283,138,136,73,72
Ede Centrum,AEW,391,400,332,353,158,169
Ede-Wageningen,AEW,972,903,563,523,358,446
Hoevelaken,AEW,446,444,200,207,134,127
Lunteren,AEW,272,282,209,205,120,108
Arnhem Centraal,BRENG,1422,1617,0,0,0,0
Arnhem Velperpoort,BRENG,410,523,0,0,0,0
Didam,BRENG,332,301,0,0,0,0
Doetinchem,BRENG,629,595,0,0,0,0
Doetinchem De Huet,BRENG,232,214,0,0,0,0
Duiven,BRENG,484,412,0,0,0,0
Wehl,BRENG,125,124,0,0,0,0
Westervoort,BRENG,235,194,0,0,0,0
Zevenaar,BRENG,594,482,0,0,0,0
Aalten,GT,554,544,249,259,193,136
Apeldoorn,GT,1085,1055,726,625,580,592
Apeldoorn De Maten,GT,213,204,101,96,82,66
Apeldoorn Osseveld,GT,0,0,0,0,0,0
Arnhem Centraal,GT,3419,3022,3006,2975,1917,2312
Arnhem Velperpoort,GT,763,850,675,682,453,454
Arnhem Zuid,GT,0,0,0,0,0,0
Assen,GT,0,0,0,0,0,0
Deventer,GT,0,0,0,0,0,0
Didam,GT,423,433,392,372,261,225
Dieren,GT,0,0,0,0,0,0
Doetinchem,GT,1197,1285,853,906,597,520
Doetinchem De Huet,GT,364,375,296,298,222,182
Duiven,GT,592,618,718,662,438,398
Ede-Wageningen,GT,0,0,0,0,0,0
Elst,GT,555,707,238,295,153,206
Elten,GT,0,0,0,0,0,0
Emmerich,GT,0,0,0,0,0,0
Emmerich Praest,GT,1,1,2,2,2,2
Gaanderen,GT,205,199,156,148,106,90
Hemmen-Dodewaard,GT,53,51,24,21,16,15
Kesteren,GT,278,272,111,108,65,82
Klarenbeek,GT,67,67,41,41,40,33
Lichtenvoorde-Groenlo,GT,396,416,232,288,289,201
Nijmegen,GT,0,15,0,18,0,10
Oosterbeek,GT,0,0,0,0,0,0
Opheusden,GT,132,130,56,50,33,29
Ruurlo,GT,381,377,220,232,225,150
Terborg,GT,309,300,176,183,138,106
Tiel,GT,472,491,254,270,186,153
Varsseveld,GT,329,324,184,192,133,108
Voorst-Empe,GT,103,103,39,40,35,32
Vorden,GT,380,398,203,233,193,166
Wehl,GT,191,189,174,173,125,99
Westervoort,GT,278,287,314,283,205,193
Winterswijk,GT,912,898,509,526,400,338
Winterswijk West,GT,135,142,61,73,72,54
Zetten-Andelst,GT,274,260,163,150,106,96
Zevenaar,GT,724,765,699,688,460,419
Zutphen,GT,2356,2361,1126,1109,851,1104
Arnhem Centraal,RE19,113,85,71,85,42,56
Elten,RE19,15,17,8,11,7,7
Emmerich,RE19,14,15,19,21,8,7
Zevenaar,RE19,64,90,66,47,45,32
Enschede,TENGR,134,138,75,79,44,51
Enschede De Eschmarke,TENGR,20,20,5,4,3,5
Glanerbrug,TENGR,77,71,38,33,32,23
Gronau,TENGR,49,50,40,42,18,18
Delden,TZUHO,253,252,164,160,140,107
Goor,TZUHO,636,616,294,269,235,173
Hengelo,TZUHO,1871,1968,1034,1078,758,1047
Hengelo Gezondheidspark,TZUHO,139,140,66,66,56,54
Hengelo Oost,TZUHO,155,130,110,96,75,74
Lochem,TZUHO,421,424,225,233,216,156
Oldenzaal,TZUHO,819,801,357,371,377,266
Zutphen,TZUHO,1144,1114,918,911,875,848
Almelo,TZWEN,1810,1997,600,707,517,498
Almelo de Riet,TZWEN,345,313,146,132,100,96
Borne,TZWEN,625,629,368,385,332,257
Enschede,TZWEN,2783,2845,1627,1411,1107,1275
Enschede Kennispark,TZWEN,696,671,460,399,381,589
Heino,TZWEN,262,270,176,183,146,122
Hengelo,TZWEN,2609,2559,1222,1395,1124,905
Nijverdal,TZWEN,1125,1152,474,495,396,323
Raalte,TZWEN,850,881,356,369,286,236
Wierden,TZWEN,614,591,298,318,252,187
Zwolle,TZWEN,3696,3449,2286,2145,1903,2011
Kampen,TZWKA,1492,1437,801,776,523,457
Zwolle,TZWKA,1604,1654,871,918,541,631
Zwolle Stadshagen,TZWKA,458,464,258,235,191,166
Almelo,VD,536,538,249,249,175,253
Coevorden,VD,654,661,346,345,260,219
Daarlerveen,VD,59,57,19,16,15,13
Dalen,VD,100,97,59,61,49,36
Dalfsen,VD,564,576,350,355,283,227
Delden,VD,0,0,0,0,0,0
Emmen,VD,851,873,585,634,514,485
Emmen Zuid,VD,325,320,172,181,164,135
Goor,VD,0,0,0,0,0,0
Gramsbergen,VD,112,110,72,75,55,40
Hardenberg,VD,1294,1314,524,553,458,381
Hengelo,VD,5,8,2,3,3,9
Hengelo Gezondheidspark,VD,0,0,0,0,0,0
Hengelo Oost,VD,0,0,0,0,0,0
Lochem,VD,0,0,0,0,0,0
Nieuw Amsterdam,VD,239,242,139,150,130,99
Oldenzaal,VD,8,5,3,1,9,3
Ommen,VD,728,746,412,435,395,274
Vriezenveen,VD,189,186,65,57,45,37
Vroomshoop,VD,253,242,87,77,63,51
Zutphen,VD,0,0,0,0,0,0
Zwolle,VD,2933,2874,1725,1617,1203,1602
