STATION,INSTAP_WERK,UITSTAP_WERK,INSTAP_ZA,UITSTAP_ZA,INSTAP_ZO,UITSTAP_ZO
Almelo,6418,6477,683,805,604,594
Almelo de Riet,614,570,222,180,153,139
Almere Buiten,3766,3766,0,0,0,0
Almere Centrum,13562,13562,0,0,0,0
Almere Muziekwijk,3210,3210,0,0,0,0
Almere Oostvaarders,2251,2251,0,0,0,0
Almere Parkwijk,1812,1812,0,0,0,0
Almere Poort,2622,2622,0,0,0,0
Amersfoort Centraal,426053,376168,44596,37146,34400,27491
Apeldoorn,7420,7420,0,0,0,0
Apeldoorn Osseveld,634,634,0,0,0,0
Arnhem Centraal,21838,21838,0,0,0,0
Arnhem Presikhaaf,1398,1398,0,0,0,0
Arnhem Velperpoort,990,990,0,0,0,0
Arnhem Zuid,1611,1611,0,0,0,0
Assen,4284,4284,0,0,0,0
Barneveld Centrum,181068,178688,16368,16253,10966,9397
Barneveld Noord,58251,57229,4209,4516,3764,2792
Barneveld Zuid,49013,47805,4337,4251,2636,2310
Beilen,1060,1060,0,0,0,0
Borne,1076,1081,518,486,473,356
Brummen,534,534,0,0,0,0
Culemborg,4468,4468,0,0,0,0
Delden,345,334,227,209,172,129
Deventer,10452,10452,0,0,0,0
Deventer Colmschate,700,700,0,0,0,0
Dieren,1804,1804,0,0,0,0
Dronten,1739,1739,0,0,0,0
Ede Centrum,71842,70536,12127,11936,6309,6529
Ede-Wageningen,176166,169757,20091,18379,13578,18243
Elst,2098,2098,0,0,0,0
Enschede,8483,8451,1709,1436,1130,1488
Enschede Kennispark,1153,1093,481,339,564,934
Ermelo,1438,1438,0,0,0,0
Geldermalsen,3248,3248,0,0,0,0
Goor,875,866,345,325,301,187
Harderwijk,2952,2952,0,0,0,0
Heino,352,350,176,168,157,121
Hengelo,9180,9386,2392,2821,1964,2152
Hengelo Gezondheidspark,315,200,127,80,93,51
Hengelo Oost,177,145,129,107,84,76
Hoevelaken,66974,65098,5863,6374,4506,3687
Holten,691,691,0,0,0,0
Hoogeveen,2334,2334,0,0,0,0
Kampen,2170,2098,970,864,586,468
Kampen Zuid,950,950,0,0,0,0
Lelystad Centrum,7266,7266,0,0,0,0
Lochem,523,520,256,270,283,167
Lunteren,52779,51875,7664,7585,4826,4415
Meppel,3171,3171,0,0,0,0
Nijkerk,1798,1798,0,0,0,0
Nijmegen,22702,22702,0,0,0,0
Nijmegen Dukenburg,1230,1230,0,0,0,0
Nijmegen Goffert,757,757,0,0,0,0
Nijmegen Lent,690,690,0,0,0,0
Nijverdal,1469,1452,527,530,475,350
Nunspeet,1330,1330,0,0,0,0
Oldenzaal,1129,1101,428,395,459,250
Olst,660,660,0,0,0,0
Putten,952,952,0,0,0,0
Raalte,1141,1159,405,388,350,239
Rheden,416,416,0,0,0,0
Rijssen,1257,1257,0,0,0,0
Steenwijk,1912,1912,0,0,0,0
Tiel,1649,1649,0,0,0,0
Tiel Passewaaij,747,747,0,0,0,0
Twello,759,759,0,0,0,0
Velp,741,741,0,0,0,0
Wezep,527,527,0,0,0,0
Wierden,1460,1382,326,354,277,199
Wijchen,2223,2223,0,0,0,0
Wijhe,608,608,0,0,0,0
Wolfheze,300,300,0,0,0,0
Zaltbommel,1931,1931,0,0,0,0
Zutphen,7327,7330,908,966,720,919
Zwolle,26340,26326,2676,2778,2120,2465
