STATION,INSTAP_WERK,UITSTAP_WERK,INSTAP_ZA,UITSTAP_ZA,INSTAP_ZO,UITSTAP_ZO
Almelo,5402,5402,0,0,0,0
Almelo de Riet,670,670,0,0,0,0
Almere Buiten,3244,3244,0,0,0,0
Almere Centrum,12064,12064,0,0,0,0
Almere Muziekwijk,3404,3404,0,0,0,0
Almere Oostvaarders,2357,2357,0,0,0,0
Almere Parkwijk,1812,1812,0,0,0,0
Almere Poort,1858,1858,0,0,0,0
Amersfoort Centraal,23390,23198,1364,1169,1034,908
Apeldoorn,7428,7428,0,0,0,0
Apeldoorn Osseveld,582,582,0,0,0,0
Arnhem Centraal,20294,20294,0,0,0,0
Arnhem Presikhaaf,1457,1457,0,0,0,0
Arnhem Velperpoort,1056,1056,0,0,0,0
Arnhem Zuid,1511,1511,0,0,0,0
Assen,4386,4386,0,0,0,0
Barneveld Centrum,1416,1347,595,508,337,281
Barneveld Noord,507,485,172,156,133,91
Barneveld Zuid,255,247,82,77,42,41
Beilen,1040,1040,0,0,0,0
Borne,1168,1168,0,0,0,0
Brummen,528,528,0,0,0,0
Culemborg,4138,4138,0,0,0,0
Delden,161,237,112,119,86,64
Deventer,10431,10431,0,0,0,0
Deventer Colmschate,722,722,0,0,0,0
Dieren,1812,1812,0,0,0,0
Dronten,1780,1780,0,0,0,0
Ede Centrum,516,481,401,369,195,177
Ede-Wageningen,10265,10098,743,610,544,538
Elst,1902,1902,0,0,0,0
Enschede,9262,9262,0,0,0,0
Enschede Kennispark,1202,1202,0,0,0,0
Ermelo,1462,1462,0,0,0,0
Geldermalsen,3074,3074,0,0,0,0
Goor,805,751,351,282,269,153
Harderwijk,2828,2828,0,0,0,0
Heino,354,354,0,0,0,0
Hengelo,8978,8946,1213,1049,783,881
Hengelo Gezondheidspark,175,166,67,59,50,40
Hengelo Oost,189,149,148,98,101,75
Hoevelaken,533,520,176,184,130,105
Holten,651,651,0,0,0,0
Hoogeveen,2227,2227,0,0,0,0
Kampen,2074,2074,0,0,0,0
Kampen Zuid,766,766,0,0,0,0
Lelystad Centrum,6929,6929,0,0,0,0
Lochem,521,494,254,227,242,146
Lunteren,379,352,293,234,154,112
Meppel,2882,2882,0,0,0,0
Nijkerk,1715,1715,0,0,0,0
Nijmegen,22022,22022,0,0,0,0
Nijmegen Dukenburg,932,932,0,0,0,0
Nijmegen Goffert,476,476,0,0,0,0
Nijmegen Lent,620,620,0,0,0,0
Nijverdal,1508,1508,0,0,0,0
Nunspeet,1392,1392,0,0,0,0
Oldenzaal,923,834,474,374,479,269
Olst,599,599,0,0,0,0
Putten,930,930,0,0,0,0
Raalte,1058,1058,0,0,0,0
Rheden,404,404,0,0,0,0
Rijssen,1224,1224,0,0,0,0
Steenwijk,1682,1682,0,0,0,0
Tiel,1754,1754,0,0,0,0
Tiel Passewaaij,752,752,0,0,0,0
Twello,728,728,0,0,0,0
Velp,744,744,0,0,0,0
Wezep,524,524,0,0,0,0
Wierden,930,930,0,0,0,0
Wijchen,2056,2056,0,0,0,0
Wijhe,578,578,0,0,0,0
Wolfheze,280,280,0,0,0,0
Zaltbommel,1800,1800,0,0,0,0
Zutphen,7288,7187,907,831,691,753
Zwolle,21771,21771,0,0,0,0
