STOPPLACECODE;NAME;TOWN;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO
NL:S:47616001;Vreeweg;Nunspeet;3,7;2,8;0,5;0,5;0,0;0,0
NL:S:47616005;Berenbosweg;Nunspeet;1,3;1,7;0,5;0,6;0,0;0,0
NL:S:47616007;Station;Nunspeet;170,2;167,2;64,3;62,2;19,6;16,4
NL:S:47616009;Centrum;Nunspeet;23,7;27,5;14,4;17,2;2,6;3,7
NL:S:47616013;Oenenburgweg;Nunspeet;20,3;20,8;7,7;7,3;4,2;3,7
NL:S:47616019;Elspeterweg;Nunspeet;0,9;1,2;0,2;0,3;0,0;0,0
NL:S:47616022;Camping de Tol;Nunspeet;0,2;0,3;0,2;0,2;0,0;0,0
NL:S:47616025;Gemeentehuis;Nunspeet;0,3;0,4;0,2;0,2;0,0;0,0
NL:S:47616027;Verzorgingstehuis Bunterhoek;Nunspeet;0,9;1,2;0,4;0,4;0,0;0,0
NL:S:47616029;De Bunte;Nunspeet;1,4;1,4;0,7;0,4;0,0;0,0
NL:S:47616031;'t Hul;Nunspeet;0,9;0,7;0,2;0,2;0,0;0,0
NL:S:47616041;Waterweg;Nunspeet;4,0;4,0;1,1;1,0;0,0;0,0
NL:S:47616043;Oosterlaan;Nunspeet;12,2;13,5;2,8;3,3;1,8;2,1
NL:S:47616045;De Sparrenhorst;Nunspeet;2,9;3,5;2,1;1,9;1,3;1,4
NL:S:47616047;Gruppendelerweg;Nunspeet;1,1;0,9;0,1;0,0;0,0;0,0
NL:S:47625001;Boshoekerweg;Oene;0,4;0,3;0,0;0,0;0,0;0,0
NL:S:47625003;Dorpsstraat;Oene;5,3;4,4;0,0;0,0;0,0;0,0
NL:S:47625005;Kuiperkampseweg;Oene;0,1;0,2;0,0;0,0;0,0;0,0
NL:S:47640030;Saxion Hogeschool;Deventer;30,4;49,9;9,3;14,3;5,1;8,6
NL:S:47640050;Munsterstraat;Deventer;4,1;4,2;0,0;0,0;0,0;0,0
NL:S:47640070;Keulenstraat 1;Deventer;3,6;5,0;0,0;0,0;0,0;0,0
NL:S:47640090;Keulenstraat 2;Deventer;6,9;9,5;0,0;0,0;0,0;0,0
NL:S:47640110;Rigastraat;Deventer;1,1;1,0;0,0;0,0;0,0;0,0
NL:S:47640150;Herfordstraat;Deventer;1,2;1,3;0,0;0,0;0,0;0,0
NL:S:47640190;Dortmundstraat;Deventer;1,8;3,2;0,0;0,0;0,0;0,0
NL:S:47640230;Willem Witsenstraat;Deventer;35,1;33,9;15,4;18,0;9,2;13,3
NL:S:47640290;Cröddenbrug;Deventer;0,1;0,1;0,1;0,1;0,0;0,0
NL:S:47640370;De Bekkumer;Deventer;13,1;15,8;4,7;5,7;3,5;5,0
NL:S:47640410;Snippeling;Deventer;45,2;38,3;21,5;16,2;12,5;10,7
NL:S:47640540;Verpleeghuis P.W. Janssen;Deventer;7,9;11,1;3,8;7,4;2,5;4,7
NL:S:47640550;Rostockstraat;Deventer;0,2;1,0;0,0;0,0;0,0;0,0
NL:S:47640570;Koningsbergenstraat;Deventer;1,7;2,7;0,0;0,0;0,0;0,0
NL:S:47640590;Arnsbergstraat;Deventer;5,6;6,5;0,0;0,0;0,0;0,0
NL:S:47640680;Runshoppingcentre;Deventer;5,3;4,9;0,0;0,0;0,0;0,0
NL:S:47640710;David Wijnveldtweg;Deventer;6,1;7,6;3,8;4,6;1,6;2,2
NL:S:47640730;Albertus van Leusenweg;Deventer;26,1;25,0;13,9;16,8;9,5;10,2
NL:S:47640750;Alphons Diepenbrocklaan;Deventer;76,0;79,8;34,1;40,5;22,8;25,1
NL:S:47640830;De Knoop;Deventer;36,3;31,5;23,1;17,9;12,6;10,6
NL:S:47640900;St. Jozef verpleeghuis;Deventer;14,7;15,4;4,1;4,7;2,4;2,8
NL:S:47640920;Wezenland;Deventer;16,5;15,6;5,8;5,4;4,4;4,4
NL:S:47641000;Station;Deventer;972,2;838,7;450,4;354,4;302,5;232,3
NL:S:47641130;Deltaplein;Deventer;8,1;8,4;0,0;0,0;0,0;0,0
NL:S:47641150;Douwelerwetering;Deventer;5,5;3,7;0,0;0,0;0,0;0,0
NL:S:47641170;Biesboschlaan;Deventer;5,5;3,9;0,0;0,0;0,0;0,0
NL:S:47641190;Amstellaan;Deventer;28,3;32,7;10,8;13,1;5,9;6,5
NL:S:47641240;Kleine Vos;Deventer;3,4;4,8;2,2;3,8;1,3;2,2
NL:S:47641280;Zwaluwenburg;Deventer;19,4;19,1;9,4;10,2;5,8;7,3
NL:S:47641300;Toutenburg;Deventer;6,8;7,4;4,6;4,4;2,8;5,1
NL:S:47641320;Slangenburg;Deventer;1,8;2,3;0,9;2,1;1,0;1,6
NL:S:47641530;Hondsroos;Deventer;10,0;10,7;6,8;6,5;3,4;3,8
NL:S:47641610;Bonenkamp;Deventer;2,0;1,8;1,4;1,5;0,6;0,5
NL:S:47641630;Hannie Schaftpad;Deventer;5,5;4,0;5,0;3,3;3,1;2,5
NL:S:47641670;J. Naberstraat;Deventer;18,0;17,4;8,8;9,2;5,4;5,8
NL:S:47641730;Solingenstraat;Deventer;3,8;5,5;1,3;1,2;0,4;0,5
NL:S:47641750;Schonenvaardersstraat;Deventer;1,6;2,7;0,0;0,0;0,0;0,0
NL:S:47641790;Maagdenburg;Deventer;5,2;5,0;0,5;0,8;0,3;0,4
NL:S:47641940;Teugseplein;Deventer;0,7;0,5;0,0;0,0;0,0;0,0
NL:S:47642030;Schurenstraat;Deventer;13,9;16,3;4,2;5,2;2,7;3,6
NL:S:47642050;Oude Begraafplaats;Deventer;1,3;2,7;0,8;1,5;1,1;1,1
