STOPPLACECODE;NAME;TOWN;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO
NL:S:16000010;Station;Meppel;196,4;165,3;22,5;17,0;0,0;0,0
NL:S:16000260;Medisch Centrum;Meppel;1,9;2,6;0,4;0,5;0,0;0,0
NL:S:16000280;Gemeenteweg;Halfweg;0,3;0,1;0,1;0,0;0,0;0,0
NL:S:16000600;Burg. Knopperslaan;Meppel;1,6;2,7;0,0;0,0;0,0;0,0
NL:S:16000710;Steenwijkerstraatweg;Meppel;0,6;0,6;0,0;0,0;0,0;0,0
NL:S:16000800;De Stouwe;Meppel;31,2;45,6;0,7;1,1;0,0;0,0
NL:S:16000880;Reestplantsoen;Meppel;4,3;4,6;0,1;0,4;0,0;0,0
NL:S:16000910;Leonard Springerlaan;Meppel;0,3;0,8;0,0;0,1;0,0;0,0
NL:S:16001010;Hugo de Grootstraat;Meppel;2,0;3,3;0,0;0,0;0,0;0,0
NL:S:16002610;Prinsengracht;Meppel;2,1;2,4;0,8;1,2;0,0;0,0
NL:S:16110060;Heerenweg;IJhorst;2,9;3,2;0,7;0,5;0,0;0,0
NL:S:16110081;Havixhorst;De Schiphorst;0,1;0,4;0,1;0,2;0,0;0,0
NL:S:16110090;Wiltenweg;De Wijk;0,2;2,7;0,5;0,9;0,0;0,0
NL:S:16110220;Willem Koopsweg;De Wolden;0,4;1,9;0,1;0,5;0,0;0,0
NL:S:16110230;Oosterakker;De Wolden;0,1;0,3;0,0;0,2;0,0;0,0
NL:S:16110240;Verzorgingstehuis;De Wijk;2,1;1,1;1,2;0,6;0,0;0,0
NL:S:16110260;Sparrenlaan;IJhorst;3,4;0,4;0,6;0,1;0,0;0,0
NL:S:16180100;Vlakkenweg;Staphorst;7,8;7,7;0,6;0,5;0,0;0,0
NL:S:16180120;Geerligsland;Staphorst;4,4;4,3;0,2;0,3;0,0;0,0
NL:S:16180140;Jan Arendsland;Staphorst;6,9;9,2;0,2;1,0;0,0;0,0
NL:S:16180160;Snelweg;Staphorst;2,8;2,2;0,6;0,2;0,0;0,0
NL:S:16180180;Achthoevenweg;Staphorst;17,1;20,2;1,5;1,8;0,0;0,0
NL:S:16180200;Hoogeweg;Staphorst;38,5;37,6;4,4;3,2;0,0;0,0
NL:S:16180220;Bergerslag;Staphorst;38,2;41,0;6,3;6,5;0,0;0,0
NL:S:16180240;Gemeentehuis;Staphorst;35,3;35,2;5,0;3,3;0,0;0,0
NL:S:16180260;Lindenlaan;Staphorst;13,3;14,7;1,5;2,3;0,0;0,0
NL:S:16180280;Bejaardenhuis;Staphorst;10,4;10,3;1,5;1,7;0,0;0,0
NL:S:16180300;Prinses Beatrixstraat;Staphorst;12,2;11,1;3,4;4,1;0,0;0,0
NL:S:16180320;Boldewijnhuizen;Staphorst;1,3;1,3;0,1;0,4;0,0;0,0
NL:S:16280100;Oostermenneweg;Rouveen;3,4;3,6;0,8;0,6;0,0;0,0
NL:S:16280120;Zuideindigerweg;Rouveen;4,3;3,9;0,2;0,4;0,0;0,0
NL:S:16280140;Stadsweg;Rouveen;2,3;2,8;0,1;0,3;0,0;0,0
NL:S:16280160;Oude Rijksweg 485;Rouveen;2,9;3,3;0,3;0,5;0,0;0,0
NL:S:16280180;Hervormde Kerk;Rouveen;42,9;43,1;5,0;4,8;0,0;0,0
NL:S:16280200;Oude Rijksweg 415;Rouveen;4,0;4,1;0,4;0,2;0,0;0,0
NL:S:16280220;Oud Gereformeerde Kerk;Rouveen;1,8;2,2;0,1;0,1;0,0;0,0
NL:S:16280240;Conradsweg;Rouveen;4,2;4,8;0,3;0,2;0,0;0,0
NL:S:16280260;Schoolwijksweg;Rouveen;9,4;9,3;1,5;0,9;0,0;0,0
NL:S:16280280;Dekkersweg;Rouveen;6,2;6,2;0,7;0,4;0,0;0,0
NL:S:16301010;Station;Steenwijk;14,3;10,2;0,0;0,0;0,0;0,0
NL:S:16380100;Markteweg;Lichtmis;2,0;3,1;0,4;0,3;0,0;0,0
NL:S:16380120;Steenwetering;Lichtmis;0,8;1,3;0,3;0,3;0,0;0,0
NL:S:16380140;Meeleweg;Lichtmis;2,5;2,9;0,2;0,5;0,0;0,0
NL:S:16380190;Busstation;Lichtmis;68,5;73,6;2,5;4,1;0,0;0,0
NL:S:16580010;Noordeinde;Zwolle;1,5;1,8;0,4;0,5;0,1;0,2
NL:S:16580030;Westeinde;Zwolle;0,1;0,3;0,1;0,1;0,0;0,1
NL:S:16580050;Markteweg;Zwolle;4,8;8,4;0,8;1,4;0,9;1,6
NL:S:16580070;Kleefstraat;Zwolle;17,8;17,9;2,8;2,9;0,6;0,7
NL:S:16680010;Dedemsweg;Ruitenveen;5,5;5,4;1,5;2,3;0,7;0,7
NL:S:16680030;Kuitermansweg;Ruitenveen;8,0;7,7;1,9;1,5;1,1;1,3
NL:S:16680050;Nieuwe Kreuleweg;Ruitenveen;4,0;4,7;1,0;1,2;0,5;0,8
NL:S:16680070;Hoevenweg;Ruitenveen;5,2;5,5;1,9;1,4;0,7;1,4
NL:S:16680090;Middenweg;Ruitenveen;1,3;1,5;0,7;0,6;0,3;0,1
NL:S:16680110;Nieuwendijk;Ruitenveen;1,3;1,6;0,1;0,2;0,2;0,1
NL:S:16780001;Schuilhut;Nieuwleusen;1,5;1,3;0,3;0,1;0,0;0,0
NL:S:16780010;De Vlijt;Nieuwleusen;9,2;9,4;2,8;2,7;1,5;1,5
NL:S:16780030;Oosterhulst;Nieuwleusen;1,9;2,3;0,8;0,9;0,6;0,4
NL:S:16780050;Den Hulst;Nieuwleusen;86,5;98,8;8,7;11,5;3,9;5,3
NL:S:16780070;Bejaardencentrum;Nieuwleusen;27,7;30,5;11,1;12,0;4,6;5,4
NL:S:16780080;Baron van Dedemstraat;Nieuwleusen;8,7;1,0;3,5;0,2;2,0;0,1
NL:S:16780090;Gereformeerde Kerk;Nieuwleusen;32,6;32,6;11,5;10,4;4,3;5,4
NL:S:16780110;Zwembad;Nieuwleusen;45,0;42,6;10,5;9,7;7,2;5,0
NL:S:16780130;Centrum;Nieuwleusen;75,8;78,8;27,2;23,9;12,0;13,3
NL:S:16780150;Westeinde;Nieuwleusen;25,2;26,2;5,5;5,0;3,0;3,2
NL:S:16780170;Bouwhuisweg;Nieuwleusen;10,9;10,3;3,1;2,8;1,6;1,8
NL:S:16780190;Molen;Nieuwleusen;5,5;6,2;1,7;1,4;0,4;0,8
NL:S:16780300;Grote Markt;Nieuwleusen;3,0;2,1;0,7;0,5;0,0;0,0
NL:S:16780560;Rollecater Brug;Nieuwleusen;14,9;13,1;0,0;0,0;0,0;0,0
NL:S:17000010;Station;Hoogeveen;160,4;138,4;25,3;21,6;17,7;18,3
NL:S:17000210;Buizerdlaan;Hoogeveen;29,4;26,2;4,2;2,7;2,8;3,4
NL:S:17000710;Mr. Cramerweg P+R;Hoogeveen;12,5;9,0;3,2;2,2;1,6;2,3
NL:S:17001650;Willemskade;Hoogeveen;2,1;3,5;0,1;0,4;0,1;0,3
NL:S:17003020;Industrieweg;Hoogeveen;9,7;23,2;0,1;0,2;0,1;0,0
NL:S:17003040;Tamboerpassage;Hoogeveen;22,8;23,3;6,6;5,8;1,8;2,2
NL:S:17003120;Wolfsbosstraat;Hoogeveen;13,5;13,8;2,3;3,4;1,3;1,4
NL:S:17003140;Valkenlaan;Hoogeveen;12,5;10,7;1,3;1,3;0,8;1,0
NL:S:17003200;'t Haagje;Hoogeveen;18,2;23,1;2,9;5,4;1,7;1,8
NL:S:17190010;Buitenvaart;Hollandscheveld;5,0;5,8;0,3;0,4;0,1;0,1
NL:S:17190030;Opgaande 71;Hollandscheveld;2,4;2,6;0,3;0,5;0,4;0,3
NL:S:17190050;'t Hoekje;Hollandscheveld;21,1;21,5;1,8;2,5;0,9;1,1
NL:S:17190150;Carstensdijk;Zuideropgaande;9,5;10,0;1,0;1,0;0,6;0,5
NL:S:17190190;Schooldijkje;Zuideropgaande;0,1;0,3;0,0;0,0;0,0;0,0
NL:S:17290010;Riegshoogtendijk;Kerkenveld;0,3;0,3;0,0;0,0;0,0;0,0
NL:S:17290030;Gedempte Wijde Wijk;Kerkenveld;7,0;7,1;0,9;0,6;0,4;0,3
NL:S:17290050;Ritmeesterweg;Kerkenveld;1,4;1,5;0,1;0,1;0,0;0,0
NL:S:17290070;Riegshoogtendijk 3;Kerkenveld;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:17290090;Hoogeveenseweg 33;Kerkenveld;1,0;0,9;0,0;0,1;0,1;0,0
NL:S:17290110;Braambergerweg;Kerkenveld;2,8;3,0;0,6;0,7;0,4;0,5
NL:S:17290130;Hoogeveenseweg 11;Kerkenveld;1,1;1,2;0,3;0,4;0,1;0,0
NL:S:17350030;Riegshoogtendijk;Hollandscheveld;13,8;12,4;1,7;1,3;0,9;0,6
NL:S:17350050;Jan Wintersdijkje;Zuideropgaande;1,5;1,5;0,2;0,3;0,0;0,1
NL:S:17480030;Zwolseweg;Balkbrug;2,7;3,4;1,4;2,7;0,7;1,0
NL:S:17480050;d 'Olde Heerd;Balkbrug;15,2;14,1;6,7;4,5;2,6;3,5
NL:S:17480070;Zelhorstweg;Balkbrug;3,9;4,7;1,3;1,7;0,9;0,8
NL:S:17480090;Nieuweweg (Sluis 4);Balkbrug;4,3;5,1;0,5;0,5;0,3;0,5
NL:S:19000320;Trageldijk;Coevorden;1,7;2,0;0,0;0,0;0,0;0,0
NL:S:19180200;Scheidijk;De Krim;0,4;0,1;0,0;0,0;0,0;0,0
NL:S:19180220;Dommerskanaal;De Krim;0,6;1,0;0,0;0,0;0,0;0,0
NL:S:19180260;Nieuwlandseweg;De Krim;1,9;1,3;0,0;0,0;0,0;0,0
NL:S:19180280;N.H. Kerk;De Krim;6,8;5,7;0,0;0,0;0,0;0,0
NL:S:19180300;Horstra's Wijk;De Krim;5,8;4,9;0,0;0,0;0,0;0,0
NL:S:19180332;Horstra's Wijk/Marsstraat;De Krim;0,0;0,0;0,0;0,0;0,0;0,0
NL:S:19180350;Marsstraat;De Krim;0,1;0,0;0,0;0,0;0,0;0,0
NL:S:19180450;Slagenweg/Lutteresweg;Ane;0,0;0,0;0,0;0,0;0,0;0,0
NL:S:19280010;Molenweg;De Krim;0,7;0,5;0,0;0,0;0,0;0,0
NL:S:19280030;Coevorderweg 171;De Krim;0,6;0,5;0,0;0,0;0,0;0,0
NL:S:19280050;Drukkerij Seinen;De Krim;0,4;0,4;0,0;0,0;0,0;0,0
NL:S:19280070;Coevorderweg 105;De Krim;0,0;0,0;0,0;0,0;0,0;0,0
NL:S:19380010;Schuineslootweg;Slagharen;14,8;15,0;0,9;1,3;1,5;0,8
NL:S:19380030;Herenstraat 108;Slagharen;0,7;0,8;0,1;0,1;0,0;0,1
NL:S:19380050;Witmanweg;Slagharen;4,0;4,4;0,8;1,1;0,7;0,4
NL:S:19380070;Vergouwlaan;Slagharen;34,9;32,0;4,9;4,0;3,6;2,3
NL:S:19380151;Centrum;Lutten;190,7;194,1;22,1;22,7;10,6;10,8
NL:S:19380191;Viaduct;Lutten;20,1;19,6;2,7;2,8;1,2;1,6
NL:S:19380280;Coevorderweg 89;Slagharen;0,3;0,2;0,0;0,0;0,0;0,0
NL:S:19380301;Centrum;Slagharen;50,8;55,5;11,9;13,0;6,2;4,9
NL:S:19380320;Attractiepark;Slagharen;39,4;39,4;27,2;29,7;27,5;20,0
NL:S:19380340;Dedemsvaartseweg 84;Lutten;1,9;1,7;0,2;0,2;0,1;0,2
NL:S:19380360;Coevorderweg;Lutten;1,5;1,8;0,2;0,3;0,2;0,1
NL:S:19380380;Tottenhamstraat/Proatkoele;Lutten;2,8;2,3;0,5;0,4;0,3;1,6
NL:S:19380400;Ongelukkige Wijk;Lutten;3,9;3,8;0,7;0,5;2,0;0,6
NL:S:19480010;Rheezerend 162;Dedemsvaart;1,9;2,4;0,2;0,3;0,3;0,1
NL:S:19480030;Rheezerend;Dedemsvaart;3,9;3,0;0,2;0,3;0,3;0,2
NL:S:19480050;Rheezerend 60;Dedemsvaart;2,5;3,2;0,5;0,5;0,4;0,3
NL:S:19480070;Industrieweg;Dedemsvaart;5,9;6,6;0,5;0,4;0,3;0,2
NL:S:19480090;Celsiusstraat;Dedemsvaart;6,6;7,6;0,7;0,7;0,8;0,3
NL:S:19480110;Van Haeringenstraat;Dedemsvaart;3,6;4,9;0,8;0,9;0,5;0,6
NL:S:19480130;De Magnolia;Dedemsvaart;47,6;45,6;6,7;9,0;4,0;3,4
NL:S:19480150;Hazelaar;Dedemsvaart;32,7;33,1;5,8;5,2;2,1;2,2
NL:S:19480170;Krikkenstraat;Dedemsvaart;9,9;15,1;3,9;4,2;1,8;2,9
NL:S:19480190;Haitjema;Dedemsvaart;68,2;63,2;16,1;14,6;8,3;6,9
NL:S:19480230;Adelaarweg;Dedemsvaart;92,4;90,0;15,4;13,0;9,1;8,5
NL:S:19480250;Sportlaan;Dedemsvaart;52,1;49,7;8,1;8,6;6,3;6,0
NL:S:19480280;Busstation;Dedemsvaart;91,0;106,4;19,8;18,9;13,2;10,8
NL:S:19480300;Hoofdvaart 115;Dedemsvaart;3,2;2,5;0,3;0,5;0,3;0,2
NL:S:19480320;Hoofdvaart 207;Dedemsvaart;2,1;2,3;0,3;0,4;0,1;0,2
