QUAYCODE;NAME;TOWN;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO
NL:Q:43211022;Centraal Station;Hengelo;117,6;6,300000000000001;38,3;0,5;27,0;0,1
NL:Q:43211023;Centraal Station;Hengelo;1,2000000000000002;32,2;0,0;0,0;0,0;0,0
NL:Q:43211024;Centraal Station;Hengelo;62,800000000000004;979,4;35,0;384,3;12,5;199,1
NL:Q:43211025;Centraal Station;Hengelo;1,1;5,4;0,0;0,0;0,0;0,0
NL:Q:43211030;Grundellaan;Hengelo;0,9;2,7;0,4;0,5;0,1;0,2
NL:Q:43211040;Grundellaan;Hengelo;1,8;1,6;0,5;0,9;0,2;0,3
NL:Q:43211060;Staringstraat;Hengelo;5,8;2,2;3,8;1,6;1,4;0,6
NL:Q:43211070;Klaverstraat;Hengelo;4,8;2,0;2,7;1,0;1,2;0,4
NL:Q:43211080;Klaverstraat;Hengelo;1,6;3,6;1,0;2,3;0,2;0,8
NL:Q:43211090;Van Koetsveldstraat;Hengelo;4,8;0,3;2,5;0,1;1,4;0,1
NL:Q:43211100;Van Koetsveldstraat;Hengelo;0,3;5,6;0,3;2,8;0,0;1,4
NL:Q:43211110;Rhijnvis Feithstraat;Hengelo;12,9;0,3;3,1;0,1;1,7;0,1
NL:Q:43211120;Rhijnvis Feithstraat;Hengelo;0,7;13,2;0,2;3,4;0,3;1,7
NL:Q:43211130;Jan Prinsstraat;Hengelo;12,6;0,6;3,8;0,2;2,2;0,0
NL:Q:43211140;Jan Prinsstraat;Hengelo;2,2;37,1;1,3;16,2;0,1;7,3
NL:Q:43211150;Willem de Merodestraat;Hengelo;8,6;4,5;4,9;3,1;2,1;0,5
NL:Q:43211170;'t Swafert;Hengelo;4,5;2,7;5,1;2,7;0,6;0,4
NL:Q:43211190;Wkc Groot Driene;Hengelo;19,9;2,7;9,1;2,7;3,1;0,7
NL:Q:43211200;Boomgaard;Hengelo;20,9;12,4;8,6;5,4;2,5;1,7
NL:Q:43211230;Sportlaan Driene;Hengelo;6,9;13,9;4,8;5,6;1,2;1,5
NL:Q:43211240;IKEA;Hengelo;7,2;21,5;5,4;21,3;3,9;14,8
NL:Q:43211250;IKEA;Hengelo;22,0;9,3;22,1;6,2;15,2;4,2
NL:Q:43211260;Vosboer;Hengelo;3,1;14,6;0,4;1,8;0,2;2,0
NL:Q:43211270;Vosboer;Hengelo;12,2;3,1;1,4;0,4;1,8;0,2
NL:Q:43211280;Wkc Groot Driene;Hengelo;5,4;0,3;0,0;0,0;0,0;0,0
NL:Q:43211290;Wkc Groot Driene;Hengelo;0,4;4,3;0,0;0,0;0,0;0,0
NL:Q:43211350;Wkc Hasselo;Hengelo;36,4;6,9;21,8;5,1;9,5;0,3
NL:Q:43211360;Wkc Hasselo;Hengelo;3,9;31,5;3,1;13,6;0,0;0,0
NL:Q:43211370;Wkc Hasselo;Hengelo;0,2;6,2;0,4;8,8;0,6;13,5
NL:Q:43211380;Robert Stolzstraat;Hengelo;0,6;3,5;1,3;4,1;2,6;5,8
NL:Q:43211410;Middelhoek;Hengelo;19,7;10,3;9,4;5,1;5,2;4,8
NL:Q:43211420;Middelhoek;Hengelo;6,1;11,4;1,4;3,3;0,0;0,0
NL:Q:43211450;Molendijkhoek;Hengelo;23,3;12,9;11,2;7,7;8,0;7,8
NL:Q:43211460;Molendijkhoek;Hengelo;6,0;14,8;1,6;3,6;0,0;0,0
NL:Q:43211490;Bovenhoek;Hengelo;51,2;21,9;21,4;11,3;12,6;10,8
NL:Q:43211500;Bovenhoek;Hengelo;6,8;31,9;1,3;9,6;0,0;0,0
NL:Q:43211510;Bruninkshoek;Hengelo;37,8;10,7;14,6;4,7;7,7;4,4
NL:Q:43211520;Bruninkshoek;Hengelo;2,8;24,0;0,4;8,2;0,0;0,0
NL:Q:43211530;Schothorsthoek;Hengelo;9,1;1,0;4,4;0,1;2,3;0,0
NL:Q:43211540;Schothorsthoek;Hengelo;0,9;10,2;0,2;5,6;0,1;3,4
NL:Q:43211570;Tijertshoek;Hengelo;7,7;7,8;3,4;2,3;0,0;0,0
NL:Q:43211580;Tijertshoek;Hengelo;10,9;9,2;3,6;3,8;0,0;0,0
NL:Q:43211590;Plein;Hengelo;4,4;0,6;2,7;0,4;1,7;0,3
NL:Q:43211600;Plein;Hengelo;0,6;4,5;0,3;2,1;0,2;1,3
NL:Q:43211610;Campus West;Hengelo;11,9;3,9;1,0;0,5;0,4;0,4
NL:Q:43211620;Campus West;Hengelo;4,1;13,9;0,2;1,2;0,3;0,5
NL:Q:43211630;Holec;Hengelo;8,3;1,1;0,2;0,1;0,0;0,0
NL:Q:43211640;Holec;Hengelo;0,9;8,7;0,0;0,3;0,1;0,1
NL:Q:43211670;Hazenweg;Hengelo;24,9;6,1;8,8;0,3;0,0;0,0
NL:Q:43211680;Hazenweg;Hengelo;5,6;27,6;1,4;11,3;3,1;5,1
NL:Q:43211710;Roershoek;Hengelo;13,4;13,2;5,3;7,0;3,1;5,4
NL:Q:43211720;Roershoek;Hengelo;9,5;9,7;3,1;1,9;0,0;0,0
NL:Q:43211730;Kristenbos;Hengelo;16,8;6,3;6,6;0,8;0,0;0,0
NL:Q:43211740;Kristenbos;Hengelo;5,8;15,7;1,8;9,5;2,9;5,2
NL:Q:43211750;Beekpark;Hengelo;10,9;18,3;2,9;9,3;3,4;5,9
NL:Q:43211760;Beekpark;Hengelo;15,5;8,6;5,4;1,4;0,0;0,0
NL:Q:43211870;Wkc Slangenbeek;Hengelo;27,6;45,4;9,8;17,2;10,5;12,1
NL:Q:43211880;Wkc Slangenbeek;Hengelo;45,5;26,3;11,9;5,4;0,0;0,0
NL:Q:43212010;Grundellaan;Hengelo;35,8;9,8;6,9;1,5;4,9;1,2
NL:Q:43212020;Grundellaan;Hengelo;6,7;36,0;0,3;9,6;0,4;7,2
NL:Q:43212030;Haverweg;Hengelo;42,9;24,3;16,7;8,6;9,1;4,1
NL:Q:43212040;Haverweg;Hengelo;22,9;50,2;7,6;16,0;2,9;7,8
NL:Q:43212050;Henriette Roland Holststraat;Hengelo;2,7;0,2;0,0;0,0;0,0;0,0
NL:Q:43212060;Oude Grensweg;Hengelo;2,9;14,0;1,1;5,4;1,3;3,4
NL:Q:43212080;Henriette Roland Holststraat;Hengelo;0,3;3,5;0,0;0,0;0,0;0,0
NL:Q:43212100;De Brink;Hengelo;12,5;1,6;7,7;0,3;4,2;0,2
NL:Q:43212110;De Brink;Hengelo;1,9;26,2;0,4;20,4;0,1;8,3
NL:Q:43212120;Slachthuisweg;Hengelo;8,5;4,6;0,4;0,5;0,5;0,6
NL:Q:43212130;Slachthuisweg;Hengelo;4,2;11,6;0,9;0,9;0,6;0,6
NL:Q:43212140;Twente Milieu;Hengelo;6,2;1,8;0,5;0,2;0,3;0,0
NL:Q:43212150;Twente Milieu;Hengelo;1,7;7,7;0,1;0,7;0,1;0,2
NL:Q:43212180;Expo Westermaat;Hengelo;1,3;0,4;0,1;0,1;0,0;0,0
NL:Q:43212190;Expo Westermaat;Hengelo;0,6;1,4;0,0;0,2;0,0;0,1
NL:Q:43212260;Thiemsbrug;Hengelo;26,7;4,4;20,4;2,3;9,2;1,5
NL:Q:43212270;'t Wilbert West;Hengelo;1,9;2,1;0,4;0,8;0,3;0,4
NL:Q:43212280;'t Wilbert West;Hengelo;1,5;2,1;0,3;0,6;0,9;0,2
NL:Q:43212290;'t Wilbert Oost;Hengelo;7,7;0,8;3,0;0,2;0,0;0,0
NL:Q:43212300;'t Wilbert Oost;Hengelo;1,4;8,6;0,5;4,1;0,4;2,6
NL:Q:43212470;Boldershoekweg;Hengelo;0,3;4,6;0,0;0,0;0,0;0,0
NL:Q:43212480;Boldershoekweg;Hengelo;2,9;0,2;0,0;0,0;0,0;0,0
NL:Q:43212540;Onyxstraat;Hengelo;1,7;0,7;0,0;0,0;0,0;0,0
NL:Q:43212560;Makro;Hengelo;6,1;5,5;0,0;0,0;0,0;0,0
NL:Q:43212590;Thiemsbrug;Hengelo;33,0;4,8;24,4;2,0;9,5;0,8
NL:Q:43212600;Thiemsbrug;Hengelo;5,5;58,6;2,3;46,3;1,0;18,4
NL:Q:43212610;Campus Oost;Hengelo;4,2;0,5;0,5;0,2;0,0;0,0
NL:Q:43212620;Campus Oost;Hengelo;0,5;6,0;0,2;1,5;0,1;1,2
NL:Q:43212750;Europalaan;Hengelo;1,9;0,7;0,0;0,0;0,0;0,0
NL:Q:43212760;Europalaan;Hengelo;0,0;2,1;0,0;0,0;0,0;0,0
NL:Q:43212810;Buitenweg;Hengelo;2,8;4,2;1,0;1,4;0,8;0,6
NL:Q:43212820;Buitenweg;Hengelo;2,5999999999999996;3,0;1,6;1,4;0,3;0,8
NL:Q:43212830;Geerdinksweg;Hengelo;3,8;6,7;1,3;3,7;1,2;1,3
NL:Q:43212840;Geerdinksweg;Hengelo;3,9;4,3;2,7;3,0;1,1;0,8
NL:Q:43212850;IJsselstraat;Hengelo;1,9;5,3;1,4;1,8;0,4;0,8
NL:Q:43212860;IJsselstraat;Hengelo;5,5;2,9000000000000004;2,6;1,5;0,7;0,5
NL:Q:43212870;Vockersweg;Hengelo;2,6;23,2;0,4;1,9;0,5;0,7
NL:Q:43212880;Vockersweg;Hengelo;21,0;3,3;1,7;0,5;1,1;0,5
NL:Q:43212900;Platinastraat;Hengelo;16,3;5,9;4,9;1,7;1,5;0,8
NL:Q:43212910;Dieselstraat;Hengelo;7,5;2,5;7,2;1,2;2,0;0,9
NL:Q:43212920;Dieselstraat;Hengelo;2,0;5,6000000000000005;0,5;4,5;0,4;2,7
NL:Q:43212930;Platinastraat;Hengelo;0,4;0,7;0,0;0,0;0,0;0,0
NL:Q:43213010;M.A. de Ruyterstraat;Hengelo;1,0;4,9;0,2;0,6;0,0;0,0
NL:Q:43213020;M.A. de Ruyterstraat;Hengelo;5,1;0,9;0,8;0,2;0,7;0,2
NL:Q:43213050;Backenhagenlaan;Hengelo;1,3;12,2;0,1;2,4;0,0;0,0
NL:Q:43213060;Backenhagenlaan;Hengelo;15,5;1,5;3,5;0,3;3,8;0,5
NL:Q:43213070;Hamerstraat;Hengelo;0,8;9,7;0,1;2,3;0,0;0,0
NL:Q:43213080;Hamerstraat;Hengelo;8,6;1,3;2,8;0,5;2,1;0,9
NL:Q:43213090;Klaas de Rookstraat;Hengelo;0,8;14,6;0,2;3,1;0,0;0,0
NL:Q:43213100;Klaas de Rookstraat;Hengelo;17,2;2,6;5,0;1,7;6,4;1,8
NL:Q:43213150;Westelijke Esweg;Hengelo;7,3;0,9;1,6;0,2;0,0;0,0
NL:Q:43213170;Westelijke Esweg;Hengelo;1,0;7,4;0,4;1,3;0,0;0,0
NL:Q:43213300;ZGT Hoofdingang;Hengelo;10,4;8,0;1,8;1,2;0,9;0,9
NL:Q:43213320;Aletta Jacobslaan;Hengelo;1,1;1,1;0,8;1,3;0,8;0,8
NL:Q:43213340;Sabina Klinkhamerweg;Hengelo;6,8;4,3;1,0;1,1;0,4;0,3
NL:Q:43214030;Het Broek;Hengelo;30,2;32,3;8,6;13,7;7,8;10,0
NL:Q:43214040;Het Broek;Hengelo;30,8;24,6;7,4;2,5;0,0;0,0
NL:Q:43214050;Boortorenweg;Hengelo;0,3;3,3;0,0;0,0;0,0;0,0
NL:Q:43214060;Boortorenweg;Hengelo;2,1;0,1;0,6;1,6;0,1;0,4
NL:Q:43214070;Willem de Kooningstraat;Hengelo;13,6;1,3;2,9;0,6;0,0;0,0
NL:Q:43214080;Willem de Kooningstraat;Hengelo;1,2;15,4;0,8;4,6;1,3;2,6
NL:Q:43214990;Station Hengelo Oost;Hengelo;1,2;5,2;0,0;0,0;0,0;0,0
