CONCESSIE;QUAYCODE;NAME;TOWN;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO
20;NL:Q:40000090;Station Velperpoort;Arnhem;29,7;27,2;25,5;26,1;8,3;10,7
20;NL:Q:40000110;Hoflaan;Arnhem;19,1;12,0;11,2;11,3;4,4;3,5
20;NL:Q:40000130;Raapopseweg;Arnhem;10,2;8,1;5,7;4,6;2,0;1,6
20;NL:Q:40000150;Huyghenslaan;Arnhem;3,1;3,5;2,2;3,2;1,4;1,1
20;NL:Q:40000190;Vondellaan;Arnhem;2,2;3,6;0,0;0,0;0,0;0,0
20;NL:Q:40000200;Vondellaan;Arnhem;3,5;2,0;0,0;0,0;0,0;0,0
20;NL:Q:40004007;Centraal Station;Arnhem;68,1;0,2;74,1;0,0;30,8;0,0
20;NL:Q:40004017;Willemsplein;Arnhem;19,6;1,1;26,9;0,3;7,6;0,2
20;NL:Q:40004020;Willemsplein;Arnhem;0,4;20,3;0,4;20,9;0,1;7,7
20;NL:Q:40004022;Velperplein;Arnhem;19,8;1,6;25,0;2,2;9,1;0,8
20;NL:Q:40004023;Velperplein;Arnhem;2,8;27,9;1,6;34,3;0,9;10,0
20;NL:Q:40004416;Centraal Station;Arnhem;0,0;63,8;0,0;58,0;0,0;23,6
20;NL:Q:40004700;Lange Wal;Arnhem;7,1;2,2;8,8;2,1;2,6;0,4
20;NL:Q:40004730;Keulse Slag;Arnhem;6,4;13,6;7,2;16,5;2,3;8,0
20;NL:Q:40004740;Keulse Slag;Arnhem;19,3;7,7;23,5;8,3;7,9;2,6
20;NL:Q:40005330;Station Presikhaaf;Arnhem;2,1;7,7;3,0;5,5;0,7;2,6
20;NL:Q:40005340;Station Presikhaaf;Arnhem;7,0;1,6;8,1;2,3;4,1;1,1
20;NL:Q:40005350;Dongestraat;Arnhem;0,7;1,9;0,4;2,5;0,4;1,1
20;NL:Q:40005360;Dongestraat;Arnhem;2,0;1,6;1,5;0,7;0,7;0,4
20;NL:Q:40006790;Lange Wal;Arnhem;4,5;6,8;3,0;10,7;1,0;4,1
