CONCESSIE;QUAYCODE;NAME;TOWN;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO
23;NL:Q:51470010;Tienhovenseweg;Hagestein;0,1;0,2;0,0;0,0;0,0;0,0
23;NL:Q:51470020;Tienhovenseweg;Hagestein;0,3;0,6;0,0;0,0;0,0;0,0
23;NL:Q:51470030;Kortenoever;Hagestein;0,5;0,1;0,0;0,0;0,0;0,0
23;NL:Q:51470040;Kortenoever;Hagestein;0,1;0,1;0,0;0,0;0,0;0,0
23;NL:Q:51470050;Autenasekade;Hagestein;0,1;0,2;0,0;0,0;0,0;0,0
23;NL:Q:51470060;Autenasekade;Hagestein;0,1;0,1;0,0;0,0;0,0;0,0
23;NL:Q:51470070;Nijensteinseweg;Hagestein;2,0;1,5;0,0;0,0;0,0;0,0
23;NL:Q:51470080;Nijensteinseweg;Hagestein;1,6;1,8;0,0;0,0;0,0;0,0
23;NL:Q:51470090;Stuwstraat;Hagestein;1,5;1,4;0,0;0,0;0,0;0,0
23;NL:Q:51470100;Stuwstraat;Hagestein;1,5;1,3;0,0;0,0;0,0;0,0
23;NL:Q:51470130;Biezenweg;Hagestein;1,8;1,0;0,0;0,0;0,0;0,0
23;NL:Q:51470140;Biezenweg;Hagestein;0,9;1,5;0,0;0,0;0,0;0,0
23;NL:Q:51471010;Hoefslag;Hagestein;2,8;2,8;0,0;0,0;0,0;0,0
23;NL:Q:51471020;Hoefslag;Hagestein;0,7;4,9;0,0;0,0;0,0;0,0
23;NL:Q:51570030;Diefdijk;Everdingen;0,2;0,3;0,0;0,0;0,0;0,0
23;NL:Q:51570040;Diefdijk;Everdingen;0,3;0,1;0,0;0,0;0,0;0,0
23;NL:Q:51570170;De Hommel;Everdingen;2,6;1,5;0,0;0,0;0,0;0,0
23;NL:Q:51570180;De Hommel;Everdingen;1,5;2,3;0,0;0,0;0,0;0,0
23;NL:Q:51670010;Hamseweg;Culemborg;0,3;0,1;0,2;0,1;0,0;0,0
23;NL:Q:51670020;Hamseweg;Culemborg;0,1;0,3;0,1;0,3;0,1;0,0
23;NL:Q:51670030;Beukeboom;Culemborg;3,5;4,6;1,8;0,5;1,3;0,7
23;NL:Q:51670040;Guido Gezelleweg;Culemborg;0,1;3,7;0,0;0,0;0,0;0,0
23;NL:Q:51670050;Guido Gezelleweg;Culemborg;0,0;0,4;0,0;0,0;0,0;0,0
23;NL:Q:51670120;Beukeboom;Culemborg;3,8;3,0;0,8;1,0;0,7;0,5
23;NL:Q:51670130;Station;Culemborg;22,8;45,3;1,8;13,2;2,6;10,1
23;NL:Q:51670140;Station;Culemborg;49,2;22,1;19,0;8,2;10,9;5,3
23;NL:Q:51670530;SG Lek en Linge;Culemborg;1,7;6,2;0,0;0,0;0,0;0,0
23;NL:Q:51670550;SG Lek en Linge;Culemborg;4,8;0,0;0,0;0,0;0,0;0,0
23;NL:Q:51670720;Weidsteeg;Culemborg;4,7;2,3;1,2;0,6;1,1;0,4
23;NL:Q:51670730;Weidsteeg;Culemborg;1,9;3,8;0,8;0,8;0,7;0,9
23;NL:Q:51670750;Weidsteeg/Zandstraat;Culemborg;2,2;10,4;0,2;3,1;0,1;1,7
