CONCESSIE;QUAYCODE;NAME;TOWN;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO
20;NL:Q:40000090;Station Velperpoort;Arnhem;49,2;38,9;50,6;46,5;18,6;21,4
20;NL:Q:40000110;Hoflaan;Arnhem;28,2;32,1;22,5;14,1;9,9;6,9
20;NL:Q:40000130;Raapopseweg;Arnhem;41,1;38,1;15,6;9,3;7,4;4,3
20;NL:Q:40000150;Huyghenslaan;Arnhem;2,1;4,4;1,4;2,5;0,6;0,8
20;NL:Q:40000190;Vondellaan;Arnhem;1,4;5,5;0,0;0,0;0,0;0,0
20;NL:Q:40000200;Vondellaan;Arnhem;2,6;1,4;0,0;0,0;0,0;0,0
20;NL:Q:40004007;Centraal Station;Arnhem;115,2;0,0;125,5;0,1;53,7;0,0
20;NL:Q:40004010;Centraal Station;Arnhem;5,2;0,2;6,8;0,5;4,8;0,1
20;NL:Q:40004017;Willemsplein;Arnhem;37,5;20,9;58,5;4,0;19,7;2,1
20;NL:Q:40004020;Willemsplein;Arnhem;0,5;32,4;0,8;60,7;0,3;21,6
20;NL:Q:40004022;Velperplein;Arnhem;43,3;4,1;73,1;3,0;27,9;2,7
20;NL:Q:40004023;Velperplein;Arnhem;6,7;42,8;5,7;72,8;3,1;25,4
20;NL:Q:40004416;Centraal Station;Arnhem;0,0;92,7;0,6;106,6;0,1;49,4
20;NL:Q:40004700;Lange Wal;Arnhem;11,5;2,2;20,7;7,2;7,0;0,9
20;NL:Q:40004730;Keulse Slag;Arnhem;7,6;18,0;14,3;52,2;3,5;22,7
20;NL:Q:40004740;Keulse Slag;Arnhem;24,5;7,1;44,6;10,3;18,6;3,3
20;NL:Q:40005330;Station Presikhaaf;Arnhem;1,8;2,6;3,9;5,0;0,9;2,8
20;NL:Q:40005340;Station Presikhaaf;Arnhem;10,1;2,7;16,3;4,6;10,3;1,6
20;NL:Q:40005350;Dongestraat;Arnhem;1,1;5,7;1,9;13,2;0,8;6,0
20;NL:Q:40005360;Dongestraat;Arnhem;2,8;1,0;5,4;1,9;2,2;0,6
20;NL:Q:40006790;Lange Wal;Arnhem;4,1;12,5;9,5;36,7;1,3;13,1
20;NL:Q:40008840;Brekelenkampstraat;Arnhem;2,9;2,0;5,2;1,2;1,7;0,3
20;NL:Q:40120010;Aansluiting A12;Duiven;6,5;1,6;24,3;4,8;11,7;1,8
20;NL:Q:40120030;Hotel De Roskam;Rheden;1,6;0,2;0,0;0,0;0,0;0,0
20;NL:Q:40120050;Beekhuizenseweg;Velp;1,7;1,2;0,0;0,0;0,0;0,0
20;NL:Q:40120060;Beekhuizenseweg;Velp;2,3;2,8;0,0;0,0;0,0;0,0
20;NL:Q:40120250;Nordlaan;Velp;1,5;22,2;0,0;0,0;0,0;0,0
20;NL:Q:40120260;Nordlaan;Velp;9,2;0,9;0,0;0,0;0,0;0,0
20;NL:Q:40120290;Emmastraat;Velp;2,9;9,8;0,0;0,0;0,0;0,0
20;NL:Q:40120300;Emmastraat;Velp;4,4;2,6;0,0;0,0;0,0;0,0
20;NL:Q:40123950;Velperbroek;Velp;3,4;2,8;3,4;10,3;0,8;2,8
20;NL:Q:40123960;Velperbroek;Velp;3,0;9,7;10,2;3,9;2,6;1,2
20;NL:Q:40123990;Waterstraat;Velp;2,2;6,6;2,1;22,0;0,8;7,1
20;NL:Q:40124000;Waterstraat;Velp;5,2;0,7;16,7;1,5;4,2;0,4
20;NL:Q:40124030;Haverland;Velp;0,6;5,3;0,8;14,4;0,6;4,9
20;NL:Q:40124040;Haverland;Velp;2,9;0,6;8,1;0,7;3,1;0,3
20;NL:Q:40124050;Graaf Ottostraat;Velp;0,7;5,8;2,5;15,8;1,0;5,3
20;NL:Q:40124060;Graaf Ottostraat;Velp;4,7;1,1;12,3;2,4;4,4;0,6
20;NL:Q:40124070;Graaf Gerhardstraat;Velp;1,6;6,0;1,1;9,2;0,3;3,2
20;NL:Q:40124080;Graaf Gerhardstraat;Velp;7,0;1,3;7,2;0,8;2,6;0,4
20;NL:Q:40124090;Brekelenkampstraat;Arnhem;1,9;2,5;1,6;6,9;0,5;3,4
20;NL:Q:40551089;J. Fruytierschool;Apeldoorn;15,4;11,0;0,0;0,0;0,0;0,0
20;NL:Q:41220220;Hotel De Roskam;Rheden;0,2;2,0;0,0;0,0;0,0;0,0
20;NL:Q:41220550;Dorpskerk;Rheden;1,4;0,8;0,0;0,0;0,0;0,0
20;NL:Q:41220560;Dorpskerk;Rheden;0,2;2,3;0,0;0,0;0,0;0,0
20;NL:Q:41220570;Oranjeweg;Rheden;1,9;0,4;0,0;0,0;0,0;0,0
20;NL:Q:41220580;Oranjeweg;Rheden;0,6;2,1;0,0;0,0;0,0;0,0
20;NL:Q:41220590;v. Heerdtplein;Rheden;2,2;0,2;0,0;0,0;0,0;0,0
20;NL:Q:41220600;v. Heerdtplein;Rheden;0,2;2,1;0,0;0,0;0,0;0,0
20;NL:Q:41220650;Overweg;Rheden;0,6;0,6;0,0;0,0;0,0;0,0
20;NL:Q:41230010;Groenestraat;Giesbeek;4,3;0,4;6,6;2,0;1,8;0,4
20;NL:Q:41230030;Kerkstraat;Lathum;3,6;1,0;7,1;0,9;2,7;0,1
20;NL:Q:41230040;Kerkstraat;Lathum;0,9;3,5;0,7;7,7;0,4;2,5
20;NL:Q:41230050;Rijderbosweg;Lathum;0,2;0,4;0,4;0,1;0,1;0,0
20;NL:Q:41230060;Rijderbosweg;Lathum;0,1;0,3;0,1;0,8;0,1;0,3
20;NL:Q:41230080;Aansluiting A12;Duiven;1,5;6,6;3,6;26,1;1,6;9,0
20;NL:Q:41270010;Eikenlaan;Kranenburg;0,4;0,2;0,0;0,0;0,0;0,0
20;NL:Q:41270020;Eikenlaan;Kranenburg;0,1;0,0;0,0;0,0;0,0;0,0
20;NL:Q:41270030;Heiligenbeeldenmuseum;Kranenburg;2,1;0,0;0,0;0,0;0,0;0,0
20;NL:Q:41270040;Heiligenbeeldenmuseum;Kranenburg;0,0;2,5;0,0;0,0;0,0;0,0
20;NL:Q:41270060;Medler;Vorden;1,2;1,0;0,0;0,0;0,0;0,0
20;NL:Q:41310030;Centrum;Vorden;0,7;2,6;0,0;0,0;0,0;0,0
20;NL:Q:41310040;Centrum;Vorden;2,3;0,4;0,0;0,0;0,0;0,0
20;NL:Q:41310050;De Horsterkamp Zuid;Vorden;1,7;4,6;0,2;1,0;0,3;0,8
20;NL:Q:41310060;De Horsterkamp Zuid;Vorden;5,1;2,9;1,9;0,5;1,0;0,9
20;NL:Q:41310070;Mispelkampdijk;Vorden;0,1;1,5;0,0;0,0;0,0;0,0
20;NL:Q:41310080;Mispelkampdijk;Vorden;0,8;0,7;0,0;0,0;0,0;0,0
20;NL:Q:41310290;Station Vorden;Vorden;200,8;165,5;78,6;55,2;58,2;50,0
20;NL:Q:41310293;Station Vorden;Vorden;8,4;6,5;0,0;3,6;0,1;1,9
20;NL:Q:41310330;De Bleek;Vorden;0,4;12,8;0,1;6,0;0,0;3,9
20;NL:Q:41310340;De Bleek;Vorden;9,5;1,0;4,1;0,6;3,1;0,6
20;NL:Q:41310400;Netwerkweg;Vorden;0,0;0,1;0,0;0,0;0,0;0,0
20;NL:Q:41310420;Handelsweg;Vorden;0,2;0,1;0,0;0,0;0,0;0,0
20;NL:Q:41310440;Ambachtsweg;Vorden;0,1;0,4;0,0;0,0;0,0;0,0
