CONCESSIE;QUAYCODE;NAME;TOWN;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO
IJV;NL:Q:16000030;Station;Meppel;8,3;16,4;1,7;4,1;0,0;0,0
IJV;NL:Q:16000040;Ziekenhuis;Meppel;12,6;2,7;3,8;0,7;0,0;0,0
IJV;NL:Q:16000280;Gemeenteweg;Halfweg;0,1;0,0;0,0;0,0;0,0;0,0
IJV;NL:Q:16000290;Gemeenteweg;Halfweg;0,4;0,1;0,0;0,2;0,0;0,0
IJV;NL:Q:16000600;Burg. Knopperslaan;Meppel;0,0;0,3;0,0;0,0;0,0;0,0
IJV;NL:Q:16000610;Burg. Knopperslaan;Meppel;0,2;0,0;0,0;0,0;0,0;0,0
IJV;NL:Q:16000710;Steenwijkerstraatweg;Meppel;0,2;0,1;0,0;0,0;0,0;0,0
IJV;NL:Q:16000720;Steenwijkerstraatweg;Meppel;0,0;0,3;0,0;0,0;0,0;0,0
IJV;NL:Q:16000770;Reestplantsoen;Meppel;1,5;0,7;0,3;0,1;0,0;0,0
IJV;NL:Q:16000780;Reestplantsoen;Meppel;1,3;1,0;0,1;0,2;0,0;0,0
IJV;NL:Q:16000800;De Stouwe;Meppel;8,2;5,5;0,2;0,4;0,0;0,0
IJV;NL:Q:16000810;De Stouwe;Meppel;5,9;9,0;0,8;0,2;0,0;0,0
IJV;NL:Q:16000870;Station;Meppel;89,2;108,1;15,9;24,5;0,0;0,0
IJV;NL:Q:16000910;Leonard Springerlaan;Meppel;4,3;3,2;2,9;0,0;0,0;0,0
IJV;NL:Q:16000920;Leonard Springerlaan;Meppel;22,3;0,5;4,4;0,4;0,0;0,0
IJV;NL:Q:16000931;Prinsengracht;Meppel;3,5;3,0;1,9;1,5;0,0;0,0
IJV;NL:Q:16001010;Hugo de Grootstraat;Meppel;0,8;0,1;0,0;0,0;0,0;0,0
IJV;NL:Q:16001020;Hugo de Grootstraat;Meppel;0,0;1,1;0,0;0,0;0,0;0,0
