MAAND,INSTAP_WERK,UITSTAP_WERK,INSTAP_ZA,UITSTAP_ZA,INSTAP_ZO,UITSTAP_ZO
01,0.08772543375971949,0.08772543375971949,0.06514744096422102,0.06514744096422102,0.07446811629538885,0.07446811629538885
02,0.08234225071129775,0.08234225071129775,0.07369485765631889,0.07369485765631889,0.06889936069022985,0.06889936069022985
03,0.09297002976886483,0.09297002976886483,0.08477033048572526,0.08477033048572526,0.06559954968320461,0.06559954968320461
04,0.08366748288573994,0.08366748288573994,0.13513198761873194,0.13513198761873194,0.12084926251580219,0.12084926251580219
05,0.07544352657658761,0.07544352657658761,0.09179452276483248,0.09179452276483248,0.09522339716382096,0.09522339716382096
06,0.0835257580202839,0.0835257580202839,0.08462614655444571,0.08462614655444571,0.06950974517963497,0.06950974517963497
07,0.0549180906957522,0.0549180906957522,0.054786565491546785,0.054786565491546785,0.07027265890113588,0.07027265890113588
08,0.06288036024407885,0.06288036024407885,0.07379724515870235,0.07379724515870235,0.07263515791019588,0.07263515791019588
09,0.09245646135492952,0.09245646135492952,0.09156972366946114,0.09156972366946114,0.09189834641292315,0.09189834641292315
10,0.1054908682741218,0.1054908682741218,0.08423854245043466,0.08423854245043466,0.08203047502741816,0.08203047502741816
11,0.10069472182873307,0.10069472182873307,0.07178523141679481,0.07178523141679481,0.06589653678369801,0.06589653678369801
12,0.07788501587989105,0.07788501587989105,0.08865740576878493,0.08865740576878493,0.12271739343654747,0.12271739343654747
