MAAND,INSTAP_WERK,UITSTAP_WERK,INSTAP_ZA,UITSTAP_ZA,INSTAP_ZO,UITSTAP_ZO
01,0.08901501022354853,0.08890517171165052,0.059379605025858644,0.059371008625358844,0.07183349846024921,0.07183451728002387
02,0.08423947665522437,0.08415294789514548,0.06330963441625424,0.06333639526984272,0.07463193005371514,0.07448979067843305
03,0.09178888005140454,0.09168497526043679,0.08673537936202089,0.08675322591421408,0.10037148849735614,0.10040541064304963
04,0.08182575163405503,0.0817748921945768,0.08066624902989779,0.08051069863527041,0.08970575886440715,0.08963644421590708
05,0.08216579765470637,0.08224096597575731,0.22200594448491595,0.22209739179377946,0.07611182975377344,0.07629775340202004
06,0.07276169179760911,0.07275386781933744,0.06264548595824167,0.06255419309206799,0.09577682887331883,0.09585636198499432
07,0.058366020489191595,0.05844156418554026,0.0617391510192435,0.06166380186421771,0.062357556378306124,0.06233853813249492
08,0.05032834213245307,0.05045087752771356,0.08111783051667781,0.0810879507804439,0.08511036853212454,0.08523853819575729
09,0.10740587424984444,0.10746324118548653,0.06513749340996865,0.06522074111689423,0.07259576587514678,0.07275425742160939
10,0.10111650471700226,0.10116856547484768,0.06508339280684476,0.06512948385541151,0.07666891022133981,0.0765365332004151
11,0.09663209175755211,0.09668781252627714,0.08597606892217016,0.08600067534816029,0.09381961620727261,0.09379111199280667
12,0.08435455863740858,0.08427511824323054,0.06620376504790595,0.06627443370433883,0.10101644828299018,0.10082074285248863
