MAAND,INSTAP_WERK,UITSTAP_WERK,INSTAP_ZA,UITSTAP_ZA,INSTAP_ZO,UITSTAP_ZO
01,0.09188762253346613,0.09188753735469664,0.07877147249230357,0.07876343369168384,0.08798580851358087,0.08798938854119912
02,0.06895769143293184,0.06895349496966269,0.07656722808286481,0.07656920497871941,0.07631823601713365,0.07631045703627409
03,0.0936385482264919,0.09363634299564623,0.07965075937625177,0.07964354558425144,0.07818642976147529,0.07818242203319334
04,0.08168986897857128,0.08168809801334193,0.13782715797814776,0.1378648830563587,0.12146953735638183,0.12146039131317263
05,0.08874153476902297,0.08874099153998571,0.08098021960537133,0.08097314654205778,0.100933556134716,0.10094323077477281
06,0.09373144259036385,0.09372941965219478,0.08348830373632384,0.08348013144337624,0.08162313576255949,0.081641038473187
07,0.039477483000377386,0.03947989409072265,0.07010255577922421,0.07006845174838928,0.0663593867065275,0.06637511733340669
08,0.051324487374626526,0.051321954590499264,0.05683588175763189,0.05685741095315356,0.0554907967661445,0.05550275564567082
09,0.11739377251057254,0.11740326360648574,0.11162256275860517,0.11165041498488248,0.08851885880368882,0.08850333250189493
10,0.11027624460744977,0.11028141714741282,0.08940371725547316,0.08939952747002054,0.09835742671841632,0.09836496252807415
11,0.10382211659179595,0.10382633020290782,0.06804124269870446,0.06803438330064107,0.0647883426510653,0.06475820094794163
12,0.0590591873843299,0.059051255836443765,0.0667088984790981,0.06669546624646569,0.07996848480831036,0.0799687028712128
