MAAND,INSTAP_WERK,UITSTAP_WERK,INSTAP_ZA,UITSTAP_ZA,INSTAP_ZO,UITSTAP_ZO
01,0.09005049095168162,0.09028546237780018,0.07983457014636436,0.08082751493973118,0.08297167773915548,0.0820966895998519
02,0.08621815489555898,0.08639159945689678,0.0832252955152084,0.08339055414675269,0.10096190104005978,0.09795452441921451
03,0.10699408916022381,0.10745190659598722,0.08760742674449301,0.086850997001856,0.07594424676223972,0.07668990837009841
04,0.07479761138959352,0.0744979210731863,0.13166925761886605,0.1294980658231979,0.11407748685356205,0.1136041094622528
05,0.09283052760617058,0.09259281804312404,0.0790836828674508,0.07908709574345134,0.1018668970292821,0.10299879677907013
06,0.08582733550994648,0.08597703152702604,0.06888804153345261,0.06725088550625123,0.0810657013376115,0.08101687594483695
07,0.05566930854098142,0.05438528931010642,0.0985832868917373,0.09655247431861909,0.08416462699767581,0.08201956005306513
08,0.05294935126409438,0.05103478590161476,0.06608394685125979,0.06691095988197783,0.0640558903583647,0.0630765433622312
09,0.10728841742423323,0.10803307060277664,0.09358519344146893,0.09663405646844471,0.07976991162577045,0.08177274550334743
10,0.10514315884016458,0.10560461240461573,0.08199923738010735,0.0835809124963458,0.10099618119116668,0.10243575108752662
11,0.11196732652838295,0.11297136277513183,0.0890036077787229,0.08910810314703142,0.0906641436475452,0.09197698454323883
12,0.030264227888968456,0.030774139931734053,0.04043645323086851,0.04030838052634084,0.02346133541756652,0.024357510875266098
