STATION,INSTAP_WERK,UITSTAP_WERK,INSTAP_ZA,UITSTAP_ZA,INSTAP_ZO,UITSTAP_ZO
Almelo,1703,1926,564,657,446,430
Almelo de Riet,351,320,138,123,85,83
Amersfoort Centraal,2878,2531,1759,1453,1278,983
Barneveld Centrum,1301,1276,613,570,355,319
Barneveld Noord,428,408,206,184,134,97
Barneveld Zuid,314,301,140,133,72,68
Borne,629,615,354,348,276,202
Delden,264,264,153,152,123,86
Ede Centrum,450,434,401,419,183,176
Ede-Wageningen,1166,1049,720,593,455,527
Enschede,2794,2803,1476,1302,891,1094
Enschede De Eschmarke,18,18,3,3,3,3
Enschede Kennispark,685,636,458,407,266,467
Glanerbrug,59,56,32,29,25,20
Goor,637,628,272,264,196,137
Gronau,40,42,33,36,18,15
Heino,246,250,152,154,121,98
Hengelo,4583,4552,2144,2305,1630,1605
Hengelo Gezondheidspark,145,150,56,59,42,41
Hengelo Oost,152,128,105,90,61,61
Hoevelaken,495,473,245,236,157,143
Kampen,1507,1468,777,756,485,426
Lochem,444,448,212,227,194,132
Lunteren,327,319,251,216,145,122
Nijverdal,1080,1083,419,415,315,249
Oldenzaal,853,829,322,339,311,203
Raalte,833,848,318,323,245,188
Wierden,598,567,254,251,188,140
Zutphen,1079,1093,761,753,674,723
Zwolle,4503,4486,2376,2412,1807,2017
Zwolle Stadshagen,448,440,240,215,167,150
