STATION,INSTAP_WERK,UITSTAP_WERK,INSTAP_ZA,UITSTAP_ZA,INSTAP_ZO,UITSTAP_ZO
Aalten,597,587,278,287,204,158
Almelo,2448,2751,963,1099,706,770
Almelo de Riet,385,370,187,172,121,121
Amersfoort Centraal,2681,2594,1574,1450,1016,900
Apeldoorn,1153,1130,762,693,573,592
Apeldoorn De Maten,245,234,128,115,94,81
Arnhem Centraal,5211,4991,3356,3349,2123,2500
Arnhem Velperpoort,1275,1465,705,733,490,489
Arnhem Zuid,0,0,0,0,0,0
Barneveld Centrum,1155,1218,599,623,316,313
Barneveld Noord,405,414,200,204,118,105
Barneveld Zuid,313,318,167,166,79,79
Borne,708,728,453,467,362,295
Coevorden,631,639,349,344,250,209
Daarlerveen,51,50,19,16,14,11
Dalen,94,92,56,57,46,33
Dalfsen,549,554,361,368,288,223
Delden,291,296,190,192,154,117
Didam,809,786,434,408,294,258
Doetinchem,2009,2076,951,1015,672,590
Doetinchem De Huet,641,639,313,320,229,191
Duiven,1139,1101,785,731,476,440
Ede Centrum,503,493,513,539,232,250
Ede-Wageningen,1101,1063,699,708,447,532
Elst,541,657,232,298,152,209
Emmen,853,869,614,648,502,464
Emmen Zuid,323,316,180,185,158,133
Enschede,3405,3319,2188,1926,1316,1459
Enschede De Eschmarke,22,23,5,6,4,4
Enschede Kennispark,745,715,537,515,404,650
Gaanderen,216,207,168,159,110,97
Glanerburg,62,58,38,36,27,23
Goor,678,672,338,320,254,193
Gramsbergen,112,108,79,80,52,39
Gronau,63,66,70,73,22,21
Hardenberg,1260,1270,593,601,471,412
Heino,281,291,191,198,147,141
Hemmen-Dodewaard,48,48,20,20,14,13
Hengelo,5167,5201,2829,3042,2152,2121
Hengelo Gezondheidspark,158,160,78,75,63,56
Hengelo Oost,178,148,138,113,91,82
Hoevelaken,477,489,240,258,143,145
Kampen,1633,1606,992,945,612,564
Kesteren,263,259,105,95,66,57
Klarenbeek,75,73,48,45,36,30
Lichtenvoorde-Groenlo,427,442,210,276,279,191
Lochem,446,455,253,263,233,169
Lunteren,315,325,294,278,134,128
Nieuw Amsterdam,240,248,150,150,125,94
Nijverdal,1217,1257,562,587,426,358
Oldenzaal,856,854,415,420,402,288
Ommen,733,751,435,446,393,277
Opheusden,137,135,53,46,33,29
Raalte,929,962,427,445,315,280
Ruurlo,417,413,247,261,251,171
Terborg,309,299,182,181,138,110
Tiel,477,496,254,260,177,162
Varsseveld,334,330,196,203,136,129
Voorst-Empe,110,110,48,47,36,35
Vorden,404,434,242,262,210,177
Vriezenveen,162,158,65,51,38,33
Vroomshoop,216,205,85,69,52,45
Wehl,345,342,195,188,138,114
Westervoort,568,553,355,325,230,216
Wierden,669,638,375,388,258,208
Winterswijk,948,924,522,524,407,341
Winterswijk West,148,161,71,75,75,60
Zetten-Andelst,267,262,147,137,99,93
Zevenaar,1486,1442,857,834,552,500
Zutphen,3816,3814,2145,2140,1701,2042
Zwolle,8765,8421,5444,5308,3974,4466
Zwolle Stadshagen,576,586,354,328,241,218
