STATION,INSTAP_WERK,UITSTAP_WERK,INSTAP_ZA,UITSTAP_ZA,INSTAP_ZO,UITSTAP_ZO
Almelo,1274,1453,388,479,318,317
Almelo de Riet,276,250,111,100,75,71
Amersfoort Centraal,1660,1469,976,795,699,551
Barneveld Centrum,793,780,322,324,204,181
Barneveld Noord,261,256,104,112,83,63
Barneveld Zuid,204,196,79,81,51,44
Borne,458,455,249,264,223,155
Delden,183,189,97,105,74,54
Ede Centrum,270,271,234,231,112,115
Ede-Wageningen,745,697,478,421,282,356
Enschede,2100,2063,964,847,610,796
Enschede De Eschmarke,14,15,3,3,2,2
Enschede Kennispark,490,432,289,226,177,338
Glanerbrug,56,52,29,25,22,20
Goor,470,463,193,198,146,99
Gronau,15,15,9,10,6,5
Heino,168,171,98,103,82,66
Hengelo,3407,3419,1484,1539,1147,1131
Hengelo Gezondheidspark,125,125,48,51,34,32
Hengelo Oost,132,116,84,75,48,48
Hoevelaken,275,266,130,145,96,83
Kampen,1123,1099,532,529,364,295
Lochem,302,303,142,164,150,94
Lunteren,213,211,147,150,92,82
Nijverdal,779,783,291,311,249,177
Oldenzaal,660,647,233,260,237,149
Raalte,599,613,216,233,184,138
Wierden,434,388,172,178,142,100
Zutphen,762,775,514,496,464,500
Zwolle,3226,3205,1630,1591,1283,1462
Zwolle Stadshagen,286,311,149,139,104,92
