STATION,INSTAP_WERK,UITSTAP_WERK,INSTAP_ZA,UITSTAP_ZA,INSTAP_ZO,UITSTAP_ZO
Almelo,2228,2354,576,677,509,494
Almelo de Riet,467,432,181,160,124,114
Amersfoort Centraal,3347,3025,1525,1327,1048,879
Barneveld Centrum,1464,1452,577,558,335,301
Barneveld Noord,428,425,143,147,106,76
Barneveld Zuid,374,362,143,137,73,70
Borne,843,840,429,421,377,275
Delden,338,339,184,176,139,101
Ede Centrum,514,487,412,424,199,202
Ede-Wageningen,1379,1276,736,618,452,520
Enschede,3525,3472,1488,1331,992,1293
Enschede De Eschmarke,21,22,5,6,3,3
Enschede Kennispark,856,816,449,379,347,574
Glanerburg,75,63,33,27,29,23
Goor,811,809,286,292,251,163
Heino,321,321,156,159,141,110
Hengelo,5442,5625,2156,2327,1799,1830
Hengelo Gezondheidspark,286,212,97,70,77,48
Hengelo Oost,179,151,114,99,74,66
Hoevelaken,609,581,227,231,156,130
Kampen,1973,1922,788,743,533,433
Lochem,497,500,220,238,232,149
Lunteren,397,396,276,259,143,130
Nijverdal,1379,1376,462,467,406,301
Oldenzaal,1006,1001,348,373,398,250
Raalte,1020,1042,356,348,313,230
Wierden,729,673,276,274,241,169
Zutphen,1303,1308,734,736,671,789
Zwolle,5305,5327,2186,2221,1852,2094
Zwolle Stadshagen,0,0,0,0,0,0
