STATION,INSTAP_WERK,UITSTAP_WERK,INSTAP_ZA,UITSTAP_ZA,INSTAP_ZO,UITSTAP_ZO
Amersfoort Centraal,3526,3143,1804,1398,1293,995
Barneveld Centrum,1503,1438,665,559,370,312
Barneveld Noord,452,435,138,124,99,73
Barneveld Zuid,330,318,114,108,61,56
Delden,330,303,201,157,140,87
Ede Centrum,525,488,420,403,207,189
Ede-Wageningen,1362,1229,779,635,502,532
Goor,810,766,321,264,250,153
Hengelo,2246,2191,1062,940,705,802
Hengelo Gezondheidspark,177,176,62,56,48,38
Hengelo Oost,179,146,125,84,81,59
Hoevelaken,575,561,204,209,141,119
Lochem,501,475,244,220,233,142
Lunteren,402,380,324,256,161,122
Oldenzaal,966,878,414,337,390,225
Zutphen,1277,1209,786,717,667,730
