STATION,INSTAP_WERK,UITSTAP_WERK,INSTAP_ZA,UITSTAP_ZA,INSTAP_ZO,UITSTAP_ZO
Aalten,607,602,330,335,224,178
Almelo,2430,2693,1052,1184,789,872
Almelo de Riet,377,352,183,170,120,123
Amersfoort Centraal,2920,2853,1869,1824,1222,1141
Apeldoorn,1199,1146,865,753,627,631
Apeldoorn De Maten,240,229,130,118,98,80
Arnhem Centraal,5295,5072,3412,3414,2212,2521
Arnhem Velperpoort,1298,1498,708,752,490,527
Arnhem Zuid,0,0,0,0,0,0
Barneveld Centrum,1221,1269,682,686,360,356
Barneveld Noord,455,457,223,224,138,116
Barneveld Zuid,326,330,189,191,96,99
Borne,703,720,435,437,361,297
Coevorden,648,661,376,369,253,215
Daarlerveen,57,54,25,21,15,13
Dalen,90,87,69,70,43,33
Dalfsen,557,561,393,394,286,225
Delden,297,301,224,223,169,140
Didam,834,813,454,435,287,257
Doetinchem,1986,2033,1051,1116,665,595
Doetinchem De Huet,653,654,328,325,233,199
Duiven,1133,1091,803,733,482,454
Ede Centrum,599,563,642,652,288,295
Ede-Wageningen,1209,1218,899,888,570,654
Elst,578,694,256,304,163,228
Elten,19,23,18,20,9,9
Emmen,857,865,644,685,504,479
Emmen Zuid,326,318,190,190,164,140
Emmerich,17,18,36,36,9,7
Emmerich Praest,1,1,1,1,1,1
Enschede,3223,3132,1917,1736,1235,1327
Enschede De Eschmarke,25,24,5,4,3,3
Enschede Kennispark,715,676,428,412,371,593
Gaanderen,225,216,192,180,119,100
Glanerbrug,70,58,43,37,31,25
Goor,665,665,359,340,242,188
Gramsbergen,114,110,96,96,54,43
Gronau,79,78,83,82,25,25
Hardenberg,1256,1265,643,649,466,413
Heino,289,302,192,199,148,142
Hemmen-Dodewaard,48,47,23,21,16,14
Hengelo,5035,5121,2792,3018,2067,2058
Hengelo Gezondheidspark,160,161,78,75,58,54
Hengelo Oost,180,154,132,110,85,79
Hoevelaken,500,507,263,275,170,167
Kampen,1769,1731,1088,1031,673,634
Kesteren,277,270,116,103,69,57
Klarenbeek,73,73,50,49,37,30
Lichtenvoorde-Groenlo,406,424,215,270,261,179
Lochem,447,457,265,274,230,173
Lunteren,349,355,344,328,154,148
Nieuw Amsterdam,229,233,149,146,117,89
Nijverdal,1177,1218,561,581,441,369
Oldenzaal,863,864,449,441,385,288
Ommen,745,761,468,480,374,269
Opheusden,153,151,59,56,37,34
Raalte,894,923,403,410,302,274
Ruurlo,416,410,255,260,244,170
Terborg,330,321,217,214,155,122
Tiel,530,549,296,308,195,178
Varsseveld,337,339,223,233,140,137
Voorst-Empe,109,109,50,52,35,34
Vorden,397,427,246,277,214,184
Vriezenveen,169,162,71,55,38,34
Vroomshoop,202,196,93,75,55,45
Wehl,345,345,209,206,140,117
Westervoort,584,573,351,335,231,228
Wierden,671,616,376,379,256,202
Winterswijk,939,916,587,581,428,358
Winterswijk West,144,159,72,77,72,61
Zetten-Andelst,288,274,165,152,107,102
Zevenaar,1472,1432,879,854,556,509
Zutphen,3680,3702,2181,2205,1672,1988
Zwolle,8509,8241,5299,5197,3781,4226
Zwolle Stadshagen,622,650,378,357,278,262
