STATION,CONCESSIE,INSTAP_WERK,UITSTAP_WERK,INSTAP_ZA,UITSTAP_ZA,INSTAP_ZO,UITSTAP_ZO
Amersfoort Centraal,AEW,2681,2594,1574,1450,1016,900
Barneveld Centrum,AEW,1155,1218,599,623,316,313
Barneveld Noord,AEW,405,414,200,204,118,105
Barneveld Zuid,AEW,313,318,167,166,79,79
Ede Centrum,AEW,503,493,513,539,232,250
Ede-Wageningen,AEW,1101,1063,699,708,447,532
Hoevelaken,AEW,477,489,240,258,143,145
Lunteren,AEW,315,325,294,278,134,128
Arnhem Centraal,BRENG,1579,1781,0,0,0,0
Arnhem Velperpoort,BRENG,460,565,0,0,0,0
Didam,BRENG,363,329,0,0,0,0
Doetinchem,BRENG,712,683,0,0,0,0
Doetinchem De Huet,BRENG,257,237,0,0,0,0
Duiven,BRENG,513,444,0,0,0,0
Wehl,BRENG,139,139,0,0,0,0
Westervoort,BRENG,260,230,0,0,0,0
Zevenaar,BRENG,651,528,0,0,0,0
Aalten,GT,597,587,278,287,204,158
Apeldoorn,GT,1153,1130,762,693,573,592
Apeldoorn De Maten,GT,245,234,128,115,94,81
Arnhem Centraal,GT,3530,3140,3260,3231,2073,2432
Arnhem Velperpoort,GT,815,900,705,733,490,489
Arnhem Zuid,GT,0,0,0,0,0,0
Didam,GT,446,457,434,408,294,258
Doetinchem,GT,1297,1393,951,1015,672,590
Doetinchem De Huet,GT,384,402,313,320,229,191
Duiven,GT,626,657,785,731,476,440
Elst,GT,541,657,232,298,152,209
Gaanderen,GT,216,207,168,159,110,97
Hemmen-Dodewaard,GT,48,48,20,20,14,13
Kesteren,GT,263,259,105,95,66,57
Klarenbeek,GT,75,73,48,45,36,30
Lichtenvoorde-Groenlo,GT,427,442,210,276,279,191
Opheusden,GT,137,135,53,46,33,29
Ruurlo,GT,417,413,247,261,251,171
Terborg,GT,309,299,182,181,138,110
Tiel,GT,477,496,254,260,177,162
Varsseveld,GT,334,330,196,203,136,129
Voorst-Empe,GT,110,110,48,47,36,35
Vorden,GT,404,434,242,262,210,177
Wehl,GT,206,203,195,188,138,114
Westervoort,GT,308,323,355,325,230,216
Winterswijk,GT,948,924,522,524,407,341
Winterswijk West,GT,148,161,71,75,75,60
Zetten-Andelst,GT,267,262,147,137,99,93
Zevenaar,GT,784,837,778,780,499,465
Zutphen,GT,2572,2567,1242,1214,898,1159
't Harde,NS,584,584,0,0,0,0
Almelo,NS,3144,3144,0,0,0,0
Almelo de Riet,NS,90,90,0,0,0,0
Almere Buiten,NS,2287,2287,0,0,0,0
Almere Centrum,NS,10436,10436,0,0,0,0
Almere Muziekwijk,NS,2108,2108,0,0,0,0
Almere Oostvaarders,NS,1739,1739,0,0,0,0
Almere Parkwijk,NS,917,917,0,0,0,0
Almere Poort,NS,2714,2714,0,0,0,0
Amersfoort Centraal,NS,16590,16590,0,0,0,0
Apeldoorn,NS,5814,5814,0,0,0,0
Apeldoorn Osseveld,NS,552,552,0,0,0,0
Arnhem Centraal,NS,18458,18458,0,0,0,0
Arnhem Presikhaaf,NS,1058,1058,0,0,0,0
Arnhem Velperpoort,NS,992,992,0,0,0,0
Arnhem Zuid,NS,1612,1612,0,0,0,0
Assen,NS,3720,3720,0,0,0,0
Beilen,NS,912,912,0,0,0,0
Borne,NS,148,148,0,0,0,0
Brummen,NS,428,428,0,0,0,0
Culemborg,NS,3921,3921,0,0,0,0
Deventer,NS,8651,8651,0,0,0,0
Deventer Colmschate,NS,576,576,0,0,0,0
Dieren,NS,1626,1626,0,0,0,0
Dronten,NS,1466,1466,0,0,0,0
Ede-Wageningen,NS,7560,7560,0,0,0,0
Elst,NS,1887,1887,0,0,0,0
Enschede,NS,4146,4146,0,0,0,0
Enschede Kennispark,NS,166,166,0,0,0,0
Ermelo,NS,1112,1112,0,0,0,0
Geldermalsen,NS,2774,2774,0,0,0,0
Harderwijk,NS,2420,2420,0,0,0,0
Hengelo,NS,2838,2838,0,0,0,0
Holten,NS,559,559,0,0,0,0
Hoogeveen,NS,1891,1891,0,0,0,0
Kampen Zuid,NS,809,809,0,0,0,0
Lelystad Centrum,NS,5538,5538,0,0,0,0
Meppel,NS,2884,2884,0,0,0,0
Nijkerk,NS,1440,1440,0,0,0,0
Nijmegen,NS,19668,19668,0,0,0,0
Nijmegen Dukenburg,NS,1116,1116,0,0,0,0
Nijmegen Goffert,NS,798,798,0,0,0,0
Nijmegen Lent,NS,768,768,0,0,0,0
Nunspeet,NS,1128,1128,0,0,0,0
Olst,NS,548,548,0,0,0,0
Oosterbeek,NS,276,276,0,0,0,0
Putten,NS,786,786,0,0,0,0
Rheden,NS,406,406,0,0,0,0
Rijssen,NS,1062,1062,0,0,0,0
Steenwijk,NS,1479,1479,0,0,0,0
Tiel,NS,1446,1446,0,0,0,0
Tiel Passewaaij,NS,588,588,0,0,0,0
Twello,NS,577,577,0,0,0,0
Velp,NS,688,688,0,0,0,0
Wezep,NS,454,454,0,0,0,0
Wierden,NS,493,493,0,0,0,0
Wijchen,NS,1954,1954,0,0,0,0
Wijhe,NS,484,484,0,0,0,0
Wolfheze,NS,288,288,0,0,0,0
Zaltbommel,NS,1660,1660,0,0,0,0
Zutphen,NS,5236,5236,0,0,0,0
Zwolle,NS,16901,16901,0,0,0,0
Arnhem Centraal,RE19,102,70,96,118,50,68
Westervoort,RE19,0,0,0,0,0,0
Zevenaar,RE19,51,77,79,54,53,35
Enschede,TENGR,129,129,103,101,43,46
Enschede De Eschmarke,TENGR,22,23,5,6,4,4
Glanerburg,TENGR,62,58,38,36,27,23
Gronau,TENGR,63,66,70,73,22,21
Delden,TZUHO,290,295,190,191,153,117
Goor,TZUHO,677,671,337,319,253,192
Hengelo,TZUHO,2082,2088,1213,1200,826,1014
Hengelo Gezondheidspark,TZUHO,158,160,78,75,63,56
Hengelo Oost,TZUHO,178,148,138,113,91,82
Lochem,TZUHO,446,455,251,261,230,168
Oldenzaal,TZUHO,792,804,387,409,369,276
Zutphen,TZUHO,1242,1244,894,919,794,874
Almelo,TZWEN,1973,2268,722,834,556,548
Almelo de Riet,TZWEN,385,370,187,172,121,121
Borne,TZWEN,708,728,453,467,362,295
Enschede,TZWEN,3276,3190,2085,1825,1273,1413
Enschede Kennispark,TZWEN,745,715,537,515,404,650
Heino,TZWEN,281,291,191,198,147,141
Hengelo,TZWEN,3033,3047,1602,1810,1312,1070
Nijverdal,TZWEN,1217,1257,562,587,426,358
Raalte,TZWEN,929,962,427,445,315,280
Wierden,TZWEN,669,638,375,388,258,208
Zwolle,TZWEN,4116,3797,2653,2491,2089,2132
Kampen,TZWKA,1633,1606,992,945,612,564
Zwolle,TZWKA,1777,1794,1060,1131,666,734
