STATION,CONCESSIE,INSTAP_WERK,UITSTAP_WERK,INSTAP_ZA,UITSTAP_ZA,INSTAP_ZO,UITSTAP_ZO
Amersfoort Centraal,AEW,3347,3025,1525,1327,1048,879
Barneveld Centrum,AEW,1464,1452,577,558,335,301
Barneveld Noord,AEW,428,425,143,147,106,76
Barneveld Zuid,AEW,374,362,143,137,73,70
Ede Centrum,AEW,514,487,412,424,199,202
Ede-Wageningen,AEW,1379,1276,736,618,452,520
Hoevelaken,AEW,609,581,227,231,156,130
Lunteren,AEW,397,396,276,259,143,130
't Harde,NS,730,730,0,0,0,0
Almelo,NS,4051,4051,0,0,0,0
Almelo de Riet,NS,111,111,0,0,0,0
Almere Buiten,NS,3797,3797,0,0,0,0
Almere Centrum,NS,14003,14003,0,0,0,0
Almere Muziekwijk,NS,3177,3177,0,0,0,0
Almere Oostvaarders,NS,2265,2265,0,0,0,0
Almere Parkwijk,NS,1799,1799,0,0,0,0
Almere Poort,NS,2845,2845,0,0,0,0
Amersfoort Centraal,NS,22415,22415,0,0,0,0
Apeldoorn,NS,7755,7755,0,0,0,0
Apeldoorn Osseveld,NS,644,644,0,0,0,0
Arnhem Centraal,NS,22845,22845,0,0,0,0
Arnhem Presikhaaf,NS,1385,1385,0,0,0,0
Arnhem Velperpoort,NS,1061,1061,0,0,0,0
Arnhem Zuid,NS,1755,1755,0,0,0,0
Assen,NS,4464,4464,0,0,0,0
Beilen,NS,1081,1081,0,0,0,0
Borne,NS,167,167,0,0,0,0
Brummen,NS,538,538,0,0,0,0
Culemborg,NS,4855,4855,0,0,0,0
Deventer,NS,10729,10729,0,0,0,0
Deventer Colmschate,NS,695,695,0,0,0,0
Dieren,NS,1934,1934,0,0,0,0
Dronten,NS,1772,1772,0,0,0,0
Ede-Wageningen,NS,9838,9838,0,0,0,0
Elst,NS,2254,2254,0,0,0,0
Enschede,NS,4822,4822,0,0,0,0
Enschede Kennispark,NS,196,196,0,0,0,0
Ermelo,NS,1476,1476,0,0,0,0
Geldermalsen,NS,3380,3380,0,0,0,0
Harderwijk,NS,3123,3123,0,0,0,0
Hengelo,NS,3505,3505,0,0,0,0
Holten,NS,714,714,0,0,0,0
Hoogeveen,NS,2312,2312,0,0,0,0
Kampen Zuid,NS,955,955,0,0,0,0
Lelystad Centrum,NS,7220,7220,0,0,0,0
Meppel,NS,3196,3196,0,0,0,0
Nijkerk,NS,1835,1835,0,0,0,0
Nijmegen,NS,23763,23763,0,0,0,0
Nijmegen Dukenburg,NS,1334,1334,0,0,0,0
Nijmegen Goffert,NS,850,850,0,0,0,0
Nijmegen Lent,NS,738,738,0,0,0,0
Nunspeet,NS,1425,1425,0,0,0,0
Olst,NS,682,682,0,0,0,0
Oosterbeek,NS,250,250,0,0,0,0
Putten,NS,1018,1018,0,0,0,0
Rheden,NS,434,434,0,0,0,0
Rijssen,NS,1241,1241,0,0,0,0
Steenwijk,NS,1927,1927,0,0,0,0
Tiel,NS,1702,1702,0,0,0,0
Tiel Passewaaij,NS,757,757,0,0,0,0
Twello,NS,754,754,0,0,0,0
Velp,NS,742,742,0,0,0,0
Wezep,NS,530,530,0,0,0,0
Wierden,NS,608,608,0,0,0,0
Wijchen,NS,2378,2378,0,0,0,0
Wijhe,NS,629,629,0,0,0,0
Wolfheze,NS,325,325,0,0,0,0
Zaltbommel,NS,1962,1962,0,0,0,0
Zutphen,NS,6175,6175,0,0,0,0
Zwolle,NS,21061,21061,0,0,0,0
Enschede,TENGR,84,96,33,37,25,32
Enschede De Eschmarke,TENGR,21,22,5,6,3,3
Glanerburg,TENGR,75,63,33,27,29,23
Delden,TZUHO,338,339,184,176,139,101
Goor,TZUHO,811,809,286,292,251,163
Hengelo,TZUHO,2415,2515,1021,1021,714,989
Hengelo Gezondheidspark,TZUHO,286,212,97,70,77,48
Hengelo Oost,TZUHO,179,151,114,99,74,66
Lochem,TZUHO,497,500,220,238,232,149
Oldenzaal,TZUHO,1006,1001,348,373,398,250
Zutphen,TZUHO,1303,1308,734,736,671,789
Almelo,TZWEN,2228,2354,576,677,509,494
Almelo de Riet,TZWEN,467,432,181,160,124,114
Borne,TZWEN,843,840,429,421,377,275
Enschede,TZWEN,3441,3376,1455,1294,967,1261
Enschede Kennispark,TZWEN,856,816,449,379,347,574
Heino,TZWEN,321,321,156,159,141,110
Hengelo,TZWEN,3027,3110,1135,1306,1085,841
Nijverdal,TZWEN,1379,1376,462,467,406,301
Raalte,TZWEN,1020,1042,356,348,313,230
Wierden,TZWEN,729,673,276,274,241,169
Zwolle,TZWEN,3383,3354,1443,1433,1419,1561
Kampen,TZWKA,1973,1922,788,743,533,433
Zwolle,TZWKA,1922,1973,743,788,433,533
Zwolle Stadshagen,TZWKA,0,0,0,0,0,0
