STATION,CONCESSIE,INSTAP_WERK,UITSTAP_WERK,INSTAP_ZA,UITSTAP_ZA,INSTAP_ZO,UITSTAP_ZO
Aalten,GT,513,513,206,206,191,191
Aalten,Onbekend,0,0,34,35,0,0
Almelo,NS,5430,5430,0,0,0,0
Almelo,VD,531,531,207,207,131,131
Almelo de Riet,NS,622,622,0,0,0,0
Almere Buiten,NS,3657,3657,0,0,0,0
Almere Centrum,NS,12944,12944,0,0,0,0
Almere Muziekwijk,NS,3200,3200,0,0,0,0
Almere Oostvaarders,NS,2164,2164,0,0,0,0
Almere Parkwijk,NS,1554,1554,0,0,0,0
Almere Poort,NS,2220,2220,0,0,0,0
Amersfoort Centraal,NS,21302,21302,0,0,0,0
Amersfoort Centraal,Valleilijn,3526,3143,1804,1398,1293,995
Apeldoorn,GT,507,507,535,535,416,416
Apeldoorn,NS,7517,7517,0,0,0,0
Apeldoorn De Maten,GT,235,235,156,156,121,121
Apeldoorn Osseveld,NS,599,599,0,0,0,0
Arnhem,BRENG,100,100,47,47,38,38
Arnhem,GT,4709,4709,2822,2822,1882,1882
Arnhem Centraal,NS,21494,21494,0,0,0,0
Arnhem Presikhaaf,NS,1384,1384,0,0,0,0
Arnhem Velperpoort,GT,1231,1231,513,513,347,347
Arnhem Velperpoort,NS,1000,1000,0,0,0,0
Arnhem Zuid,NS,1458,1458,0,0,0,0
Assen,NS,4162,4162,0,0,0,0
Barneveld Centrum,Valleilijn,1503,1438,665,559,370,312
Barneveld Noord,Valleilijn,452,435,138,124,99,73
Barneveld Zuid,Valleilijn,330,318,114,108,61,56
Beilen,NS,1036,1036,0,0,0,0
Borne,NS,1096,1096,0,0,0,0
Brummen,NS,530,530,0,0,0,0
Coevorden,VD,722,722,341,341,283,283
Culemborg,NS,4352,4352,0,0,0,0
Daarlerveen,VD,59,59,18,18,15,15
Dalen,VD,97,97,45,45,47,47
Dalfsen,VD,546,546,346,346,272,272
Delden,TZUHO,330,303,201,157,140,87
Deventer,NS,10392,10392,0,0,0,0
Deventer Colmschate,NS,691,691,0,0,0,0
Didam,GT,826,826,411,411,289,289
Dieren,NS,1852,1852,0,0,0,0
Doetinchem,GT,1952,1952,783,783,622,622
