STATION,CONCESSIE,INSTAP_WERK,UITSTAP_WERK,INSTAP_ZA,UITSTAP_ZA,INSTAP_ZO,UITSTAP_ZO
Amersfoort Centraal,AEW,1589,1393,839,699,587,469
Barneveld Centrum,AEW,712,703,308,306,187,160
Barneveld Noord,AEW,229,225,79,85,63,47
Barneveld Zuid,AEW,192,188,81,79,45,39
Ede Centrum,AEW,282,277,228,224,108,111
Ede-Wageningen,AEW,657,631,379,347,231,309
Hoevelaken,AEW,263,255,110,120,77,63
Lunteren,AEW,207,204,144,143,82,75
't Harde,NS,364,364,0,0,0,0
Almelo,NS,1876,1876,0,0,0,0
Almelo de Riet,NS,52,52,0,0,0,0
Almere Buiten,NS,2017,2017,0,0,0,0
Almere Centrum,NS,7059,7059,0,0,0,0
Almere Muziekwijk,NS,1602,1602,0,0,0,0
Almere Oostvaarders,NS,1293,1293,0,0,0,0
Almere Parkwijk,NS,965,965,0,0,0,0
Almere Poort,NS,1509,1509,0,0,0,0
Amersfoort Centraal,NS,9894,9894,0,0,0,0
Apeldoorn,NS,3445,3445,0,0,0,0
Apeldoorn Osseveld,NS,306,306,0,0,0,0
Arnhem Centraal,NS,10446,10446,0,0,0,0
Arnhem Presikhaaf,NS,545,545,0,0,0,0
Arnhem Velperpoort,NS,577,577,0,0,0,0
Arnhem Zuid,NS,848,848,0,0,0,0
Assen,NS,2059,2059,0,0,0,0
Beilen,NS,508,508,0,0,0,0
Borne,NS,75,75,0,0,0,0
Brummen,NS,251,251,0,0,0,0
Culemborg,NS,2432,2432,0,0,0,0
Deventer,NS,4808,4808,0,0,0,0
Deventer Colmschate,NS,376,376,0,0,0,0
Dieren,NS,968,968,0,0,0,0
Dronten,NS,909,909,0,0,0,0
Ede-Wageningen,NS,4244,4244,0,0,0,0
Elst,NS,1054,1054,0,0,0,0
Enschede,NS,2149,2149,0,0,0,0
Enschede Kennispark,NS,77,77,0,0,0,0
Ermelo,NS,703,703,0,0,0,0
Geldermalsen,NS,1579,1579,0,0,0,0
Harderwijk,NS,1530,1530,0,0,0,0
Heino,NS,0,0,0,0,0,0
Hengelo,NS,1571,1571,0,0,0,0
Holten,NS,361,361,0,0,0,0
Hoogeveen,NS,1156,1156,0,0,0,0
Kampen,NS,0,0,0,0,0,0
Kampen Zuid,NS,437,437,0,0,0,0
Lelystad Centrum,NS,3814,3814,0,0,0,0
Meppel,NS,1596,1596,0,0,0,0
Nijkerk,NS,894,894,0,0,0,0
Nijmegen,NS,10513,10513,0,0,0,0
Nijmegen Dukenburg,NS,728,728,0,0,0,0
Nijmegen Goffert,NS,424,424,0,0,0,0
Nijmegen Lent,NS,328,328,0,0,0,0
Nijverdal,NS,0,0,0,0,0,0
Nunspeet,NS,722,722,0,0,0,0
Olst,NS,365,365,0,0,0,0
Oosterbeek,NS,115,115,0,0,0,0
Putten,NS,473,473,0,0,0,0
Raalte,NS,0,0,0,0,0,0
Rheden,NS,222,222,0,0,0,0
Rijssen,NS,600,600,0,0,0,0
Steenwijk,NS,891,891,0,0,0,0
Tiel,NS,842,842,0,0,0,0
Tiel Passewaaij,NS,333,333,0,0,0,0
Twello,NS,368,368,0,0,0,0
Velp,NS,364,364,0,0,0,0
Wezep,NS,279,279,0,0,0,0
Wierden,NS,296,296,0,0,0,0
Wijchen,NS,1051,1051,0,0,0,0
Wijhe,NS,315,315,0,0,0,0
Wolfheze,NS,172,172,0,0,0,0
Zaltbommel,NS,940,940,0,0,0,0
Zutphen,NS,2952,2952,0,0,0,0
Zwolle,NS,9861,9861,0,0,0,0
Enschede,TENGR,54,58,21,24,14,15
Enschede De Eschmarke,TENGR,10,12,3,2,1,1
Glanerbrug,TENGR,48,42,21,18,14,12
Delden,TZUHO,168,170,94,96,66,46
Goor,TZUHO,422,422,171,178,136,84
Hengelo,TZUHO,1270,1311,639,626,381,528
Hengelo Gezondheidspark,TZUHO,158,123,55,44,41,31
Hengelo Oost,TZUHO,114,100,76,68,44,42
Lochem,TZUHO,258,262,124,142,126,76
Oldenzaal,TZUHO,552,549,213,238,206,132
Zutphen,TZUHO,655,660,450,430,374,434
Almelo,TZWEN,1125,1273,352,426,266,276
Almelo de Riet,TZWEN,256,235,109,99,64,62
Borne,TZWEN,417,419,236,245,187,128
Enschede,TZWEN,1733,1701,873,786,509,683
Enschede Kennispark,TZWEN,408,361,287,253,105,239
Heino,TZWEN,162,164,85,88,64,50
Hengelo,TZWEN,1651,1634,741,794,623,447
Nijverdal,TZWEN,709,704,269,279,202,145
Raalte,TZWEN,538,554,193,209,159,122
Wierden,TZWEN,371,335,163,159,113,77
Zwolle,TZWEN,1764,1753,852,822,756,817
Kampen,TZWKA,1053,1029,468,452,315,254
Zwolle,TZWKA,1077,1099,481,503,275,344
Zwolle Stadshagen,TZWKA,119,121,67,60,47,38
