STATION,CONCESSIE,INSTAP_WERK,UITSTAP_WERK,INSTAP_ZA,UITSTAP_ZA,INSTAP_ZO,UITSTAP_ZO
Amersfoort Centraal,AEW,1660,1469,976,795,699,551
Barneveld Centrum,AEW,793,780,322,324,204,181
Barneveld Noord,AEW,261,256,104,112,83,63
Barneveld Zuid,AEW,204,196,79,81,51,44
Ede Centrum,AEW,270,271,234,231,112,115
Ede-Wageningen,AEW,745,697,478,421,282,356
Hoevelaken,AEW,275,266,130,145,96,83
Lunteren,AEW,213,211,147,150,92,82
't Harde,NS,427,427,0,0,0,0
Almelo,NS,2148,2148,0,0,0,0
Almelo de Riet,NS,56,56,0,0,0,0
Almere Buiten,NS,2091,2091,0,0,0,0
Almere Centrum,NS,6679,6679,0,0,0,0
Almere Muziekwijk,NS,1582,1582,0,0,0,0
Almere Oostvaarders,NS,1247,1247,0,0,0,0
Almere Parkwijk,NS,971,971,0,0,0,0
Almere Poort,NS,1644,1644,0,0,0,0
Amersfoort Centraal,NS,9980,9980,0,0,0,0
Apeldoorn,NS,3505,3505,0,0,0,0
Apeldoorn Osseveld,NS,342,342,0,0,0,0
Arnhem Centraal,NS,11110,11110,0,0,0,0
Arnhem Presikhaaf,NS,749,749,0,0,0,0
Arnhem Velperpoort,NS,744,744,0,0,0,0
Arnhem Zuid,NS,944,944,0,0,0,0
Assen,NS,2216,2216,0,0,0,0
Beilen,NS,583,583,0,0,0,0
Borne,NS,84,84,0,0,0,0
Brummen,NS,275,275,0,0,0,0
Culemborg,NS,2558,2558,0,0,0,0
Deventer,NS,5414,5414,0,0,0,0
Deventer Colmschate,NS,384,384,0,0,0,0
Dieren,NS,1090,1090,0,0,0,0
Dronten,NS,993,993,0,0,0,0
Ede-Wageningen,NS,4718,4718,0,0,0,0
Elst,NS,1215,1215,0,0,0,0
Enschede,NS,2499,2499,0,0,0,0
Enschede Kennispark,NS,90,90,0,0,0,0
Ermelo,NS,771,771,0,0,0,0
Geldermalsen,NS,1757,1757,0,0,0,0
Harderwijk,NS,1720,1720,0,0,0,0
Hengelo,NS,1792,1792,0,0,0,0
Holten,NS,409,409,0,0,0,0
Hoogeveen,NS,1264,1264,0,0,0,0
Kampen Zuid,NS,569,569,0,0,0,0
Lelystad Centrum,NS,3895,3895,0,0,0,0
Meppel,NS,1805,1805,0,0,0,0
Nijkerk,NS,978,978,0,0,0,0
Nijmegen,NS,12186,12186,0,0,0,0
Nijmegen Dukenburg,NS,786,786,0,0,0,0
Nijmegen Goffert,NS,469,469,0,0,0,0
Nijmegen Lent,NS,345,345,0,0,0,0
Nunspeet,NS,812,812,0,0,0,0
Olst,NS,407,407,0,0,0,0
Oosterbeek,NS,124,124,0,0,0,0
Putten,NS,532,532,0,0,0,0
Rheden,NS,250,250,0,0,0,0
Rijssen,NS,691,691,0,0,0,0
Steenwijk,NS,1016,1016,0,0,0,0
Tiel,NS,950,950,0,0,0,0
Tiel Passewaaij,NS,371,371,0,0,0,0
Twello,NS,415,415,0,0,0,0
Velp,NS,424,424,0,0,0,0
Wezep,NS,291,291,0,0,0,0
Wierden,NS,333,333,0,0,0,0
Wijchen,NS,1183,1183,0,0,0,0
Wijhe,NS,321,321,0,0,0,0
Wolfheze,NS,177,177,0,0,0,0
Zaltbommel,NS,1052,1052,0,0,0,0
Zutphen,NS,3417,3417,0,0,0,0
Zwolle,NS,10751,10751,0,0,0,0
Enschede,TENGR,82,86,38,42,27,30
Enschede De Eschmarke,TENGR,14,15,3,3,2,2
Glanerbrug,TENGR,56,52,29,25,22,20
Gronau,TENGR,15,15,9,10,6,5
Delden,TZUHO,183,189,97,105,74,54
Goor,TZUHO,470,463,193,198,146,99
Hengelo,TZUHO,1496,1512,703,667,436,614
Hengelo Gezondheidspark,TZUHO,125,125,48,51,34,32
Hengelo Oost,TZUHO,132,116,84,75,48,48
Lochem,TZUHO,302,303,142,164,150,94
Oldenzaal,TZUHO,660,647,233,260,237,149
Zutphen,TZUHO,762,775,514,496,464,500
Almelo,TZWEN,1274,1453,388,479,318,317
Almelo de Riet,TZWEN,276,250,111,100,75,71
Borne,TZWEN,458,455,249,264,223,155
Enschede,TZWEN,2018,1977,926,805,583,766
Enschede Kennispark,TZWEN,490,432,289,226,177,338
Heino,TZWEN,168,171,98,103,82,66
Hengelo,TZWEN,1911,1907,781,872,711,517
Nijverdal,TZWEN,779,783,291,311,249,177
Raalte,TZWEN,599,613,216,233,184,138
Wierden,TZWEN,434,388,172,178,142,100
Zwolle,TZWEN,2042,2021,1043,991,936,1035
Kampen,TZWKA,1123,1099,532,529,364,295
Zwolle,TZWKA,1184,1184,587,600,347,427
Zwolle Stadshagen,TZWKA,286,311,149,139,104,92
