STOPPLACECODE;NAME;TOWN;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO
NL:S:41321740;Larixhof;Dieren;0,5;0,4;0,5;0,3;0,0;0,0
NL:S:41321760;Olmenhof;Dieren;0,9;0,2;0,1;0,0;0,0;0,0
NL:S:41321850;Zilverakkerweg;Dieren;0,1;0,0;0,0;0,0;0,0;0,0
NL:S:41321860;Willem de Feschlaan;Dieren;0,0;0,0;0,0;0,0;0,0;0,0
NL:S:41321870;Admiraal Helfrichlaan;Dieren;0,3;0,1;0,1;0,0;0,0;0,0
NL:S:41321880;Valeriuslaan;Dieren;0,5;0,1;0,3;0,0;0,0;0,0
NL:S:41321890;van Limburg Stirumstraat;Dieren;0,1;0,2;0,1;0,1;0,0;0,0
NL:S:41321910;Industrielaan;Dieren;0,8;1,1;0,2;0,2;0,0;0,0
NL:S:41321930;Domeinlaan;Dieren;0,3;0,5;0,0;0,1;0,0;0,0
NL:S:41321950;Crematorium Domeinlaan;Dieren;0,7;1,0;0,1;0,4;0,0;0,0
NL:S:41321970;Beverodelaan;Dieren;0,0;0,4;0,1;0,2;0,0;0,0
NL:S:41321980;Hans Brandts Buyslaan;Dieren;0,1;0,0;0,0;0,0;0,0;0,0
NL:S:41322000;Bernard Zweerslaan;Dieren;0,0;0,0;0,0;0,0;0,0;0,0
NL:S:41327005;Rode Kruislaan;Dieren;21,1;19,5;6,800000000000001;6,300000000000001;3,5;3,5
NL:S:41327007;Geitenbergweg;Dieren;29,5;28,4;10,7;11,1;7,1;7,5
NL:S:41327009;Crematorium;Dieren;9,0;10,1;3,3;3,9000000000000004;1,8;2,4
NL:S:41327011;Cederlaan;Dieren;19,8;23,799999999999997;9,5;11,799999999999999;6,3;7,300000000000001
NL:S:41330030;Wielbergen;Angerlo;1,7;1,5999999999999999;0,8;0,7;0,8999999999999999;0,8
NL:S:41330050;Bingerdenseweg;Angerlo;0,4;0,30000000000000004;0,30000000000000004;0,2;0,4;0,4
NL:S:41330070;Tutenburgsestraat;Giesbeek;1,6;2,1;0,8999999999999999;1,7;1,0;0,8
NL:S:41330090;Zwalmstraat;Giesbeek;59,6;52,5;27,8;13,7;19,1;13,7
