STATION;GT;NS;TENGR;TZUHO;TZWEN;TZWKA;Valleilijn;Vechtdal;TOTAAL
Aalten;1312.0;;;;;;;;1312.0
Almelo;;8104.0;;;4582.0;;;1420.0;14106.0
Almelo de Riet;;224.0;;;899.0;;;;1123.0
Almere Buiten;;7594.0;;;;;;;7594.0
Almere Centrum;;28006.0;;;;;;;28006.0
Almere Muziekwijk;;6356.0;;;;;;;6356.0
Almere Oostvaarders;;4532.0;;;;;;;4532.0
Almere Parkwijk;;3600.0;;;;;;;3600.0
Almere Poort;;5690.0;;;;;;;5690.0
Amersfoort Centraal;;44832.0;;;;;1625042.0;;1669874.0
Apeldoorn;3091.0;15512.0;;;;;;;18603.0
Apeldoorn De Maten;558.0;;;;;;;;558.0
Apeldoorn Osseveld;;1288.0;;;;;;;1288.0
Arnhem Centraal;11779.0;45690.0;;;;;;;57469.0
Arnhem Presikhaaf;;2770.0;;;;;;;2770.0
Arnhem Velperpoort;2979.0;2122.0;;;;;;;5101.0
Arnhem Zuid;;3510.0;;;;;;;3510.0
Assen;;8928.0;;;;;;;8928.0
Barneveld Centrum;;;;;;;743956.0;;743956.0
Barneveld Noord;;;;;;;217831.0;;217831.0
Barneveld Zuid;;;;;;;187980.0;;187980.0
Beilen;;2162.0;;;;;;;2162.0
Borne;;334.0;;;1685.0;;;;2019.0
Brummen;;1076.0;;;;;;;1076.0
Coevorden;;;;;;;;1573.0;1573.0
Culemborg;;9712.0;;;;;;;9712.0
Daarlerveen;;;;;;;;153.0;153.0
Dalen;;;;;;;;213.0;213.0
Dalfsen;;;;;;;;1322.0;1322.0
Delden;;;;679.0;;;;;679.0
Deventer;;21458.0;;;;;;;21458.0
Deventer Colmschate;;1390.0;;;;;;;1390.0
Didam;1912.0;;;;;;;;1912.0
Dieren;;3868.0;;;;;;;3868.0
Doetinchem;4410.0;;;;;;;;4410.0
Doetinchem De Huet;1347.0;;;;;;;;1347.0
Dronten;;3544.0;;;;;;;3544.0
Duiven;2911.0;;;;;;;;2911.0
Ede Centrum;;;;;;;255589.0;;255589.0
Ede-Wageningen;;19676.0;;;;;677161.0;;696837.0
Elst;1403.0;4508.0;;;;;;;5911.0
Emmen;;;;;;;;1982.0;1982.0
Emmen Zuid;;;;;;;;729.0;729.0
Enschede;;9644.0;180.0;;6819.0;;;;16643.0
Enschede De Eschmarke;;;43.0;;;;;;43.0
Enschede Kennispark;;392.0;;;1674.0;;;;2066.0
Ermelo;;2952.0;;;;;;;2952.0
Gaanderen;429.0;;;;;;;;429.0
Geldermalsen;;6760.0;;;;;;;6760.0
Glanerburg;;;138.0;;;;;;138.0
Goor;;;;1621.0;;;;;1621.0
Gramsbergen;;;;;;;;239.0;239.0
Hardenberg;;;;;;;;2671.0;2671.0
Harderwijk;;6248.0;;;;;;;6248.0
Heino;;;;;643.0;;;;643.0
Hemmen-Dodewaard;135.0;;;;;;;;135.0
Hengelo;;7012.0;;4931.0;6139.0;;;;18082.0
Hengelo Gezondheidspark;;;;498.0;;;;;498.0
Hengelo Oost;;;;331.0;;;;;331.0
Hoevelaken;;;;;;;303580.0;;303580.0
Holten;;1428.0;;;;;;;1428.0
Hoogeveen;;4624.0;;;;;;;4624.0
Kampen;;;;;;3896.0;;;3896.0
Kampen Zuid;;1910.0;;;;;;;1910.0
Kesteren;607.0;;;;;;;;607.0
Klarenbeek;223.0;;;;;;;;223.0
Lelystad Centrum;;14440.0;;;;;;;14440.0
Lichtenvoorde-Groenlo;1156.0;;;;;;;;1156.0
Lochem;;;;999.0;;;;;999.0
Lunteren;;;;;;;202442.0;;202442.0
Marienberg;;;;;;;;491.0;491.0
Meppel;;6392.0;;;;;;;6392.0
Nieuw Amsterdam;;;;;;;;595.0;595.0
Nijkerk;;3670.0;;;;;;;3670.0
Nijmegen;;47526.0;;;;;;;47526.0
Nijmegen Dukenburg;;2668.0;;;;;;;2668.0
Nijmegen Goffert;;1700.0;;;;;;;1700.0
Nijmegen Lent;;1476.0;;;;;;;1476.0
Nijverdal;;;;;2755.0;;;;2755.0
Nunspeet;;2850.0;;;;;;;2850.0
Oldenzaal;;;;2008.0;;;;;2008.0
Olst;;1364.0;;;;;;;1364.0
Ommen;;;;;;;;1604.0;1604.0
Opheusden;334.0;;;;;;;;334.0
Putten;;2036.0;;;;;;;2036.0
Raalte;;;;;2062.0;;;;2062.0
Rheden;;868.0;;;;;;;868.0
Rijssen;;2482.0;;;;;;;2482.0
Ruurlo;1045.0;;;;;;;;1045.0
Steenwijk;;3856.0;;;;;;;3856.0
Terborg;705.0;;;;;;;;705.0
Tiel;1051.0;3404.0;;;;;;;4455.0
Tiel Passewaaij;;1516.0;;;;;;;1516.0
Twello;;1508.0;;;;;;;1508.0
Varsseveld;726.0;;;;;;;;726.0
Velp;;1484.0;;;;;;;1484.0
Voorst-Empe;301.0;;;;;;;;301.0
Vorden;1022.0;;;;;;;;1022.0
Vriezenveen;;;;;;;;592.0;592.0
Vroomshoop;;;;;;;;641.0;641.0
Wehl;745.0;;;;;;;;745.0
Westervoort;1280.0;;;;;;;;1280.0
Wezep;;1060.0;;;;;;;1060.0
Wierden;;1216.0;;;1404.0;;;;2620.0
Wijchen;;4756.0;;;;;;;4756.0
Wijhe;;1260.0;;;;;;;1260.0
Winterswijk;1846.0;;;;;;;;1846.0
Winterswijk West;397.0;;;;;;;;397.0
Wolfheze;;652.0;;;;;;;652.0
Zaltbommel;;3924.0;;;;;;;3924.0
Zetten-Andelst;642.0;;;;;;;;642.0
Zevenaar;3405.0;;;;;;;;3405.0
Zutphen;5351.0;12350.0;;2611.0;;;;;20312.0
Zwolle;;42124.0;;;6739.0;3896.0;;6407.0;59166.0
Zwolle Stadshagen;;;;;;0.0;;;0.0
