STOPPLACECODE;NAME;TOWN;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO
NL:S:43000490;G.J. van Heekstraat;Enschede;1,0;7,6;1,1;3,7;0,6;4,3
NL:S:43000510;Lambertus Buddestraat;Enschede;30,8;29,2;12,7;10,7;5,3;7,6
NL:S:43000530;Volkspark;Enschede;17,6;34,1;12,2;19,6;7,5;11,9
NL:S:43000610;Toekomststraat;Enschede;21,3;13,9;12,3;9,7;7,8;11,5
NL:S:43000630;Weegschaalstraat;Enschede;36,2;35,6;22,1;21,1;12,5;14,0
NL:S:43000650;Wkc Twekkelerveld;Enschede;66,6;62,0;53,8;46,3;28,7;29,2
NL:S:43000670;Olieslagweg;Enschede;12,1;8,9;6,0;7,2;3,6;4,9
NL:S:43000690;Jupiterstraat;Enschede;25,2;21,5;21,3;18,2;11,2;10,4
NL:S:43000711;Capitool;Enschede;10,2;12,5;1,4;2,5;0,8;1,4
NL:S:43000810;Beethovenlaan;Enschede;19,2;6,2;6,8;2,2;3,2;1,2
NL:S:43001050;Boddenkamp;Enschede;26,3;24,7;8,6;8,2;9,0;3,2
NL:S:43001090;Dr. J. van Damstraat;Enschede;4,6;2,2;2,1;1,0;1,4;0,8
NL:S:43001110;Fazantstraat;Enschede;7,9;0,4;3,0;0,1;1,2;0,1
NL:S:43001180;Waalstraat;Enschede;27,6;23,5;13,1;11,6;7,3;8,0
NL:S:43001190;Deppenbroekstraat;Enschede;2,4;9,0;1,0;3,9;0,2;1,6
NL:S:43001200;Het Achtervoort;Enschede;13,8;16,2;5,5;6,1;4,3;4,8
NL:S:43001210;Het Voortman;Enschede;3,2;8,1;2,9;5,5;0,7;2,1
NL:S:43001310;Wkc Deppenbroek;Enschede;28,3;27,3;14,2;12,8;8,5;8,9
NL:S:43001340;Vanekerstraat;Enschede;11,5;8,5;7,6;5,0;4,5;4,4
NL:S:43001360;P.A. van Deldenstraat;Enschede;7,2;7,3;3,4;3,5;2,4;2,3
NL:S:43001430;Sparrendaal;Enschede;26,0;23,1;11,4;10,0;5,8;4,7
NL:S:43001450;Gelderlandstraat;Enschede;36,9;36,5;23,5;21,9;12,5;12,8
NL:S:43001470;Utrechtlaan;Enschede;137,9;136,8;6,5;7,8;4,4;5,4
NL:S:43001490;Zuid Hollandlaan;Enschede;15,3;14,3;5,8;6,1;3,4;4,0
NL:S:43001550;Wkc Boswinkel;Enschede;73,3;75,8;46,8;47,0;23,8;28,6
NL:S:43001570;Tuindorp Broekheurne;Enschede;42,5;36,9;18,1;17,6;10,8;10,4
NL:S:43001600;Het Lang;Enschede;0,0;0,0;0,0;0,0;0,0;0,0
NL:S:43001620;Het Riet;Enschede;0,0;0,0;0,0;0,0;0,0;0,0
NL:S:43001630;Verrijzeniskerk;Enschede;39,3;34,0;12,5;10,1;6,8;7,0
NL:S:43001640;Lintveldebrink;Enschede;15,4;12,6;7,2;5,9;4,5;4,5
NL:S:43001650;Hazendijk;Enschede;0,5;9,6;0,2;5,2;0,1;2,4
NL:S:43001670;Broekheurnerborg;Enschede;0,6;0,4;0,5;0,3;0,0;0,0
NL:S:43001671;Broekheurnerplein;Enschede;0,3;0,2;0,5;0,2;0,0;0,0
NL:S:43001690;De Kiepe;Enschede;4,7;6,0;1,6;2,3;1,1;2,3
NL:S:43001700;Broekheurne-Ring;Enschede;6,5;0,3;3,5;0,1;1,8;0,0
NL:S:43001730;Hertmebrink;Enschede;46,9;39,6;23,6;19,9;10,9;9,8
NL:S:43001750;Wkc Het Bijvank;Enschede;9,4;9,6;5,0;3,7;2,1;1,7
NL:S:43001770;Vlierstraat;Enschede;12,9;22,5;4,2;7,4;3,1;5,7
NL:S:43001790;Het Oosterveld;Enschede;53,3;49,8;18,4;17,3;10,7;11,1
NL:S:43001810;Saasveldbrink;Enschede;0,0;0,0;0,0;0,0;0,0;0,0
NL:S:43001820;Herikebrink;Enschede;31,4;26,8;9,6;9,5;5,0;4,4
NL:S:43001830;Rabobank;Enschede;35,0;42,2;8,4;12,0;6,7;8,9
NL:S:43001850;P+R Zuiderval;Enschede;53,9;59,300000000000004;14,5;14,6;6,9;6,9
NL:S:43001870;Het Leunenberg;Enschede;26,0;29,0;16,7;18,4;5,9;6,3
NL:S:43001900;De Posten;Enschede;57,4;51,1;14,8;14,2;10,4;6,9
NL:S:43001910;Wkc Zuid;Enschede;41,0;53,6;24,3;32,4;9,2;14,0
NL:S:43001930;De Reulver;Enschede;25,8;24,6;9,2;9,5;4,8;6,5
NL:S:43001950;Ypelobrink;Enschede;25,1;24,7;16,7;14,6;9,6;10,7
NL:S:43001970;Zunabrink;Enschede;25,1;20,9;11,1;9,7;6,0;6,9
NL:S:43002000;Hengeveldebrink;Enschede;16,4;13,4;5,8;4,8;2,5;2,2
NL:S:43002070;Laaressingel;Enschede;10,6;14,7;3,6;6,1;1,5;3,2
NL:S:43002090;Asterstraat;Enschede;4,8;8,4;2,2;3,2;0,5;1,3
NL:S:43002110;Hyacintstraat;Enschede;6,4;3,0;3,0;1,0;0,9;0,7
NL:S:43002130;Gladiolenstraat;Enschede;9,9;10,3;5,9;7,1;1,5;1,8
NL:S:43002220;Wkc Stroinkslanden;Enschede;13,6;51,7;5,1;25,0;2,2;15,6
NL:S:43002290;Sportpark;Enschede;25,9;25,3;10,8;10,7;6,6;8,5
NL:S:43002310;Mariendaal;Enschede;15,1;14,8;4,0;4,5;2,4;3,1
NL:S:43002500;Bonhoeffer Bruggert;Enschede;0,2;21,0;0,2;7,3;0,1;6,9
NL:S:43002510;Soendastraat;Enschede;9,2;11,4;5,7;6,8;2,3;4,3
