STOPPLACECODE;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO;NAME;TOWN;RD-X;RD-Y
NL:S:60500350;1.2;1.7;0.5;0.5;0.0;0.2;Heesweg;Heijen;195747.5;409834.5
NL:S:60500370;1.8;2.0;1.0;0.4;0.0;0.2;Heijen Zuid;Heijen;196036.5;409128.0
NL:S:60500390;2.8;2.3;1.0;0.6;0.1;0.2;Nieuwwijkstraat;Heijen;195821.0;409622.5
NL:S:60500430;16.2;15.0;4.8;6.1;5.6;5.4;Ottersumseweg;Ottersum;195470.5;413152.0
NL:S:60550170;8.6;4.3;3.4;1.7;2.5;1.4;Voederheil;Zeeland;174440.0;413303.0
NL:S:60550190;12.8;13.8;3.9;3.4;3.1;2.9;Tweehekkenweg;Zeeland;174286.0;411932.0
NL:S:60600100;1.7;1.5;0.2;0.3;0.1;0.1;Gening;Afferden;198492.0;404832.5
NL:S:60600120;0.5;0.7;0.1;0.2;0.0;0.1;Hengeland;Afferden;197407.0;406195.5
NL:S:60600140;0.5;0.5;0.2;0.2;0.0;0.0;Heukelom;Afferden;199375.5;403932.0
NL:S:60600160;2.3;2.4;0.6;1.0;0.1;0.1;Veer naar Sambeek;Afferden;197768.5;405322.0
NL:S:60600200;0.3;0.3;0.2;0.1;0.0;0.1;Heijense Molen;Heijen;196861.5;407395.0
NL:S:60600220;1.3;2.8;0.3;0.6;0.1;0.1;Heiland;Heijen;196519.5;408294.5
NL:S:60650250;7.9;8.7;2.1;2.3;2.1;2.2;Wijsthoek;Uden;171820.0;408754.0
NL:S:60650400;43.5;47.3;15.0;24.6;15.5;11.3;Busstation;Uden;170987.0;407994.0
NL:S:60651160;3.7;3.8;0.7;1.1;0.9;0.6;Hoevenseweg;Uden;172269.5;409391.5
NL:S:60700100;1.2;0.9;0.2;0.1;0.0;0.1;Aijerdijk;Aijen;201798.0;400218.5
NL:S:60700160;2.3;1.9;0.4;0.4;0.0;0.0;Bergse Heide;Nieuw Bergen;201217.0;401034.5
NL:S:60700180;0.4;1.1;0.0;0.1;0.0;0.0;De Flammert;Nieuw Bergen;199936.5;402645.0
NL:S:60700200;7.8;8.6;1.3;2.3;0.2;0.6;Gemeentehuis;Nieuw Bergen;200811.5;401712.0
NL:S:61120010;59.0;59.8;34.8;35.6;21.3;21.6;Kerkstraat;Weurt;184540.0;429922.5
NL:S:61120020;8.6;10.600000000000001;7.5;7.6000000000000005;5.0;6.800000000000001;Hommelstraat;Beuningen;181148.0;431031.5
NL:S:61120040;46.5;47.2;30.4;32.7;19.1;25.0;Kerk;Beuningen;181601.0;430705.0
NL:S:61120050;10.4;10.8;4.7;6.4;4.0;4.6;Distelakkerstraat;Beuningen;182868.0;430415.0
NL:S:61120110;17.3;21.7;10.3;12.0;5.4;9.3;Pottenbakker;Beuningen;180766.5;430143.5
NL:S:61120120;10.8;12.3;4.8;7.2;2.9;2.9;Haagstraat;Beuningen;182146.0;430289.5
NL:S:61120130;49.4;42.0;25.6;21.8;14.4;13.8;Sporthal de Tinnegieter;Beuningen;181137.0;430103.0
NL:S:61120150;91.2;88.5;69.6;67.3;36.7;30.6;Centrum;Beuningen;181410.5;430155.5
NL:S:61120230;53.7;45.9;33.0;29.2;21.4;20.2;Schacht;Beuningen;180683.0;430326.0
NL:S:61120250;68.9;61.0;29.8;28.1;17.5;16.9;Aalsterveld;Beuningen;180370.5;430615.5
NL:S:61120270;25.2;34.8;11.2;13.3;5.7;8.2;Wilgenoord;Beuningen;180136.5;429797.0
NL:S:61120290;4.9;7.3;3.9;5.6;2.1;3.1;Hadrianussingel;Beuningen;180282.0;429413.5
NL:S:61120310;12.0;12.3;8.3;8.9;5.1;6.0;Tiberiuslaan;Beuningen;180727.0;429511.5
NL:S:61120370;24.0;30.3;17.6;21.2;10.1;12.2;Lavendelstraat;Beuningen;181879.0;430035.0
