;STOPPLACECODE;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO;NAME;TOWN;RD-X;RD-Y
4764;NL:S:69000660;0.0;0.0;0.0;0.0;0.0;0.0;Mgr. Nolensplein;Venlo;209715.0;376206.0
4765;NL:S:69000900;0.5;0.3;0.3;0.4;0.0;0.0;Station;Venlo;209693.9;375377.9
4766;NL:S:69001090;0.0;0.0;0.0;0.0;0.0;0.0;Veldenseweg;Venlo;210071.5;377381.5
4767;NL:S:69100100;0.1;0.0;0.0;0.1;0.0;0.0;Hasselt;Velden;209357.0;382233.0
4768;NL:S:69100120;0.3;0.3;0.1;0.3;0.1;0.1;Markt;Velden;209164.5;380899.5
4769;NL:S:69100140;0.0;0.0;0.0;0.0;0.0;0.0;Taurus;Velden;209452.5;379442.0
4770;NL:S:69100160;0.1;0.1;0.1;0.0;0.0;0.0;Velden Zuid;Velden;209223.5;380212.5
4771;NL:S:69200100;0.2;0.0;0.1;0.0;0.0;0.0;De Voort;Lomm;209520.0;383380.5
4772;NL:S:69200120;0.0;0.1;0.0;0.0;0.0;0.0;Spikweien;Lomm;209691.0;384583.0
4773;NL:S:69200140;0.0;0.0;0.0;0.0;0.0;0.0;Veer naar Lottum;Lomm;209843.0;385648.5
4774;NL:S:69300100;0.3;0.3;0.4;0.5;0.0;0.0;Koestraat;Arcen;210060.0;387457.0
