stopplacecode;quaycode;naam;plaats;straat;rd-x;rd-y;JAAR;Lijn;INSTAP_WERK;INSTAP_ZA;INSTAP_ZO;UITSTAP_WERK;UITSTAP_ZA;UITSTAP_ZO
NL:S:43021830;NL:Q:43021830;Beekwoudehoek;Enschede;Busbaan;255559;467889;2019;2;16.0;0.0;0.0;988.0;117.0;40.0
NL:S:43021830;NL:Q:43021830;Beekwoudehoek;Enschede;Busbaan;255559;467889;2019;8;88.0;0.0;0.0;0.0;0.0;0.0
NL:S:43021830;NL:Q:43021840;Beekwoudehoek;Enschede;Busbaan;255569;467879;2019;2;1162.0;109.0;44.0;20.0;0.0;0.0
NL:S:43021830;NL:Q:43021840;Beekwoudehoek;Enschede;Busbaan;255569;467879;2019;8;17.0;0.0;0.0;35.0;0.0;0.0
NL:S:43001820;NL:Q:43001820;Herikebrink;Enschede;Geessinkweg;256070;467774;2019;2;1237.0;100.0;27.0;133.0;4.0;3.0
NL:S:43001820;NL:Q:43001820;Herikebrink;Enschede;Geessinkweg;256070;467774;2019;8;15.0;0.0;0.0;55.0;0.0;0.0
NL:S:43001820;NL:Q:43021810;Herikebrink;Enschede;Geessinkweg;256062;467781;2019;2;34.0;19.0;6.0;1202.0;78.0;30.0
NL:S:43001820;NL:Q:43021810;Herikebrink;Enschede;Geessinkweg;256062;467781;2019;8;105.0;0.0;0.0;0.0;0.0;0.0
NL:S:44101010;NL:Q:44101010;Rosinkweg;Enschede;Wissinksdijk;253320;469208;;;;;;;;
NL:S:44101010;NL:Q:44101020;Rosinkweg;Enschede;Wissinksdijk;253335;469200;;;;;;;;
NL:S:43000250;NL:Q:43000250;Roombeek;Enschede;Lonnekerspoorlaan;258023;472601;2019;2;133.0;13.0;2.0;2738.0;216.0;60.0
NL:S:43000250;NL:Q:43000250;Roombeek;Enschede;Lonnekerspoorlaan;258023;472601;2019;60;239.0;0.0;0.0;389.0;0.0;0.0
NL:S:43000250;NL:Q:43000250;Roombeek;Enschede;Lonnekerspoorlaan;258023;472601;2019;61;277.0;11.0;6.0;493.0;9.0;5.0
