stopplacecode;quaycode;naam;plaats;straat;rd-x;rd-y;JAAR;Lijn;INSTAP_WERK;INSTAP_ZA;INSTAP_ZO;UITSTAP_WERK;UITSTAP_ZA;UITSTAP_ZO
NL:S:43006090;NL:Q:43006100;Voortmansweg;Enschede;Oldenzaalsestraat;259068;473151;2019;61;56.0;1.0;1.0;23.0;1.0;1.0
NL:S:43006090;NL:Q:43006100;Voortmansweg;Enschede;Oldenzaalsestraat;259068;473151;2019;62;48.0;3.0;3.0;57.0;4.0;2.0
NL:S:43000380;NL:Q:43000380;Spechtstraat;Enschede;Doctor Coppestraat;257479;473170;2019;2;1380.0;142.0;44.0;475.0;59.0;17.0
NL:S:43002500;NL:Q:43002500;Bonhoeffer Bruggert;Enschede;Rembrandtlaan;255505;470965;2019;5;959.0;94.0;37.0;1072.0;67.0;54.0
NL:S:43002500;NL:Q:43009001;Bonhoeffer Bruggert;Enschede;Rembrandtlaan;255503;470958;;;;;;;;
NL:S:43005630;NL:Q:43005630;Westerbegraafplaats/UT;Enschede;Hengelosestraat;255306;473008;2019;8;96.0;0.0;0.0;23.0;0.0;0.0
NL:S:43005630;NL:Q:43005630;Westerbegraafplaats/UT;Enschede;Hengelosestraat;255306;473008;2019;9;4341.0;33.0;5.0;4425.0;65.0;21.0
NL:S:43005630;NL:Q:43005640;Westerbegraafplaats/UT;Enschede;Hengelosestraat;255316;472991;2019;8;7.0;0.0;0.0;51.0;0.0;0.0
NL:S:43005630;NL:Q:43005640;Westerbegraafplaats/UT;Enschede;Hengelosestraat;255316;472991;2019;9;4657.0;59.0;10.0;4781.0;33.0;14.0
NL:S:43001470;NL:Q:43001470;Utrechtlaan;Enschede;Wethouder Beversstraat;257531;469773;2019;1;824.0;13.0;2.0;6660.0;68.0;37.0
NL:S:43001470;NL:Q:43001480;Utrechtlaan;Enschede;Wethouder Beversstraat;257532;469758;2019;1;6918.0;84.0;14.0;918.0;7.0;0.0
NL:S:43002130;NL:Q:43002130;Gladiolenstraat;Enschede;Floraparkstraat;259208;472362;2019;6;103.0;15.0;4.0;551.0;73.0;22.0
NL:S:43002130;NL:Q:43002140;Gladiolenstraat;Enschede;Floraparkstraat;259177;472372;2019;6;280.0;33.0;10.0;6.0;4.0;0.0
NL:S:43001360;NL:Q:43001360;P.A. van Deldenstraat;Enschede;Vanekerstraat;257375;473674;2019;2;433.0;52.0;23.0;426.0;49.0;30.0
NL:S:43000031;NL:Q:43000039;Van Heekplein;Enschede;Boulevard 1945;258068;471026;2019;62;1733.0;190.0;40.0;3670.0;862.0;276.0
NL:S:43000031;NL:Q:43000040;Van Heekplein;Enschede;Boulevard 1945;258048;471030;2019;1;2343.0;523.0;106.0;4532.0;787.0;256.0
NL:S:43000031;NL:Q:43000040;Van Heekplein;Enschede;Boulevard 1945;258048;471030;2019;2;1540.0;431.0;44.0;3710.0;1056.0;292.0
NL:S:43000031;NL:Q:43000040;Van Heekplein;Enschede;Boulevard 1945;258048;471030;2019;8;203.0;0.0;0.0;156.0;0.0;0.0
NL:S:43000031;NL:Q:43000045;Van Heekplein;Enschede;Boulevard 1945;258029;471033;2019;1;4416.0;765.0;245.0;2074.0;406.0;124.0
NL:S:43000031;NL:Q:43000045;Van Heekplein;Enschede;Boulevard 1945;258029;471033;2019;3;705.0;94.0;17.0;3670.0;801.0;239.0
NL:S:43000031;NL:Q:43000045;Van Heekplein;Enschede;Boulevard 1945;258029;471033;2019;4;594.0;120.0;39.0;2219.0;479.0;147.0
NL:S:43000031;NL:Q:43000045;Van Heekplein;Enschede;Boulevard 1945;258029;471033;2019;505;78.0;5.0;0.0;230.0;33.0;0.0
NL:S:43000031;NL:Q:43000045;Van Heekplein;Enschede;Boulevard 1945;258029;471033;2019;506;100.0;8.0;0.0;168.0;14.0;0.0
NL:S:43000031;NL:Q:43000045;Van Heekplein;Enschede;Boulevard 1945;258029;471033;2019;6;175.0;23.0;7.0;575.0;146.0;23.0
NL:S:43000031;NL:Q:43000031;Van Heekplein;Enschede;Boulevard 1945;258082;470994;2019;2;3879.0;895.0;214.0;1867.0;362.0;62.0
NL:S:43000031;NL:Q:43000031;Van Heekplein;Enschede;Boulevard 1945;258082;470994;2019;505;225.0;30.0;0.0;38.0;5.0;0.0
NL:S:43000031;NL:Q:43000031;Van Heekplein;Enschede;Boulevard 1945;258082;470994;2019;6;596.0;153.0;23.0;360.0;40.0;30.0
NL:S:43000031;NL:Q:43000031;Van Heekplein;Enschede;Boulevard 1945;258082;470994;2019;8;32.0;0.0;0.0;95.0;0.0;0.0
NL:S:43000031;NL:Q:43000032;Van Heekplein;Enschede;Boulevard 1945;258044;471002;2019;3;3906.0;738.0;237.0;1231.0;109.0;30.0
NL:S:43000031;NL:Q:43000032;Van Heekplein;Enschede;Boulevard 1945;258044;471002;2019;4;2516.0;435.0;130.0;936.0;182.0;43.0
NL:S:43000031;NL:Q:43000032;Van Heekplein;Enschede;Boulevard 1945;258044;471002;2019;802;3.0;0.0;14.0;1.0;0.0;29.0
NL:S:43000031;NL:Q:43000034;Van Heekplein;Enschede;Boulevard 1945;258004;471010;2019;506;110.0;13.0;0.0;10.0;0.0;0.0
NL:S:43000031;NL:Q:43000034;Van Heekplein;Enschede;Boulevard 1945;258004;471010;2019;62;3741.0;693.0;199.0;1000.0;162.0;0.0
NL:S:43007140;NL:Q:43007140;Stevenfennestraat;Enschede;Haaksbergerstraat;256622;469995;2019;62;834.0;98.0;31.0;174.0;37.0;42.0
NL:S:43007140;NL:Q:43007150;Stevenfennestraat;Enschede;Haaksbergerstraat;256636;470024;2019;62;139.0;42.0;16.0;776.0;124.0;38.0
NL:S:43008110;NL:Q:43008110;Wkc 't Ribbelt;Enschede;Ribbelerbrinkstraat;259429;472145;2019;6;353.0;26.0;18.0;250.0;21.0;13.0
NL:S:43000320;NL:Q:43000320;Handellaan;Enschede;Mozartlaan;256915;473530;2019;2;358.0;50.0;15.0;246.0;39.0;15.0
NL:S:43170070;NL:Q:43170070;Landweerweg;Losser;Lossersestraat;261833;475209;2019;61;5.0;0.0;0.0;66.0;3.0;2.0
NL:S:43170070;NL:Q:43170080;Landweerweg;Losser;Lossersestraat;261710;475157;2019;61;49.0;2.0;0.0;1.0;0.0;0.0
NL:S:43100270;NL:Q:43100270;De Loerhazen;Boekelo;Windmolenweg;251701;470294;;;;;;;;
NL:S:43100270;NL:Q:43100280;De Loerhazen;Boekelo;Windmolenweg;251722;470302;;;;;;;;
NL:S:43110230;NL:Q:43110230;UT/Calslaan;Enschede;Calslaan;254628;473676;2019;1;11.0;44.0;18.0;0.0;3.0;2.0
NL:S:43110230;NL:Q:43110230;UT/Calslaan;Enschede;Calslaan;254628;473676;2019;4816;0.0;0.0;8.0;0.0;0.0;0.0
NL:S:43110230;NL:Q:43110240;UT/Calslaan;Enschede;Calslaan;254633;473656;2019;1;1.0;1.0;4.0;49.0;48.0;26.0
NL:S:43110230;NL:Q:43110240;UT/Calslaan;Enschede;Calslaan;254633;473656;2019;4816;0.0;0.0;1.0;0.0;0.0;171.0
NL:S:43180130;NL:Q:43180130;Veendijk;Lonneker;Oldenzaalsestraat;260219;477572;2019;60;1.0;0.0;0.0;11.0;0.0;0.0
NL:S:43180130;NL:Q:43180130;Veendijk;Lonneker;Oldenzaalsestraat;260219;477572;2019;62;6.0;1.0;1.0;10.0;3.0;2.0
NL:S:43180130;NL:Q:43180140;Veendijk;Lonneker;Oldenzaalsestraat;260185;477437;2019;60;5.0;0.0;0.0;5.0;0.0;0.0
NL:S:43180130;NL:Q:43180140;Veendijk;Lonneker;Oldenzaalsestraat;260185;477437;2019;62;12.0;2.0;0.0;4.0;2.0;0.0
NL:S:43003210;NL:Q:43003210;E. de Wittestraat;Enschede;Thomas de Keyserstraat;254930;470505;2019;5;235.0;12.0;8.0;238.0;24.0;11.0
NL:S:43001690;NL:Q:43001690;De Kiepe;Enschede;De Kiepe;257375;468183;2019;1;20.0;1.0;0.0;271.0;25.0;6.0
NL:S:43001690;NL:Q:43001690;De Kiepe;Enschede;De Kiepe;257375;468183;2019;508;0.0;0.0;0.0;1.0;0.0;0.0
NL:S:43001690;NL:Q:43001720;De Kiepe;Enschede;De Kiepe;257389;468190;2019;1;190.0;15.0;9.0;19.0;1.0;0.0
NL:S:43011120;NL:Q:43011120;Zwarteweg;Glanerbrug;Gronausestraat;262854;470931;2019;3;1705.0;166.0;58.0;330.0;15.0;11.0
NL:S:43001810;NL:Q:43001810;Saasveldbrink;Enschede;Vlierstraat;257349;468806;2019;508;0.0;0.0;0.0;1.0;0.0;0.0
NL:S:43008200;NL:Q:43008200;Lindenhof;Enschede;Gronausestraat;260250;471157;2019;3;1421.0;237.0;60.0;455.0;71.0;34.0
NL:S:43008200;NL:Q:43010010;Lindenhof;Enschede;Gronausestraat;260240;471151;2019;3;565.0;81.0;24.0;1560.0;243.0;78.0
NL:S:43003900;NL:Q:43003900;Zenderenbrink;Enschede;Wesselerbrinklaan;256907;468356;2019;508;13.0;5.0;0.0;52.0;15.0;0.0
NL:S:43002630;NL:Q:43002630;J.P. Coenstraat;Enschede;Brinkstraat;258982;470164;2019;505;64.0;7.0;0.0;83.0;5.0;0.0
NL:S:43000630;NL:Q:43000630;Weegschaalstraat;Enschede;G.J. van Heekstraat;255710;472204;2019;1;207.0;11.0;3.0;1510.0;207.0;94.0
NL:S:43000630;NL:Q:43000640;Weegschaalstraat;Enschede;G.J. van Heekstraat;255740;472194;2019;1;1464.0;193.0;91.0;143.0;9.0;4.0
NL:S:43003440;NL:Q:43003440;Hanenberglanden;Enschede;Het Stroink;258826;468037;2019;4;1795.0;175.0;79.0;1460.0;138.0;83.0
NL:S:43003440;NL:Q:43003440;Hanenberglanden;Enschede;Het Stroink;258826;468037;2019;508;10.0;0.0;0.0;6.0;1.0;0.0
NL:S:43100090;NL:Q:43100090;Meester de Wolfstraat;Boekelo;Meester De Wolfstraat;251341;469278;;;;;;;;
NL:S:43010050;NL:Q:43010050;Dolphia;Enschede;Gronausestraat;261528;471019;2019;3;58.0;6.0;2.0;1384.0;145.0;58.0
NL:S:43010050;NL:Q:43011060;Dolphia;Enschede;Gronausestraat;261440;471047;2019;3;1367.0;158.0;39.0;92.0;5.0;1.0
NL:S:43010350;NL:Q:43010350;Eilermarke;Glanerbrug;Heidevlinder;262572;470377;2019;3;1402.0;121.0;44.0;1794.0;183.0;60.0
NL:S:43001450;NL:Q:43001450;Gelderlandstraat;Enschede;Wethouder Beversstraat;257147;469787;2019;1;97.0;20.0;8.0;1347.0;153.0;93.0
NL:S:43001450;NL:Q:43001460;Gelderlandstraat;Enschede;Wethouder Beversstraat;257150;469774;2019;1;1511.0;181.0;86.0;102.0;14.0;3.0
NL:S:43000340;NL:Q:43000340;Slagman;Enschede;Mozartlaan;256985;473134;2019;2;343.0;20.0;9.0;239.0;28.0;15.0
NL:S:43000711;NL:Q:43000711;Capitool;Enschede;Capitool;254603;473002;2019;1;32.0;0.0;0.0;399.0;4.0;1.0
NL:S:43000711;NL:Q:43000720;Capitool;Enschede;Capitool;254548;473022;2019;1;336.0;4.0;3.0;77.0;4.0;2.0
NL:S:43001900;NL:Q:43001900;De Posten;Enschede;De Posten;257131;467522;2019;1;2237.0;148.0;56.0;2014.0;134.0;50.0
NL:S:43100120;NL:Q:43100120;Ganzebosweg;Boekelo;Beckumerstraat;250693;469540;;;;;;;;
NL:S:43006980;NL:Q:43006980;Veldkampstraat;Enschede;Haaksbergerstraat;257362;470542;2019;62;317.0;43.0;239.0;573.0;35.0;230.0
NL:S:43006980;NL:Q:43006990;Veldkampstraat;Enschede;Haaksbergerstraat;257412;470565;2019;62;454.0;24.0;11.0;268.0;26.0;36.0
NL:S:43008030;NL:Q:43008030;Floraparkstraat;Enschede;Floraparkstraat;259518;472605;2019;6;160.0;13.0;2.0;202.0;35.0;4.0
NL:S:43100600;NL:Q:43100600;De Blekerij;Boekelo;Boekelosestraat;251617;469374;2019;506;187.0;4.0;0.0;0.0;0.0;0.0
NL:S:43002110;NL:Q:43002110;Hyacintstraat;Enschede;Minkmaatstraat;259038;472492;2019;6;15.0;1.0;0.0;132.0;5.0;4.0
NL:S:43002110;NL:Q:43002120;Hyacintstraat;Enschede;Minkmaatstraat;258893;472387;2019;6;300.0;33.0;12.0;12.0;4.0;0.0
NL:S:43180030;NL:Q:43180030;Dorpsstraat;Lonneker;Oldenzaalsestraat;259425;474363;2019;60;4.0;0.0;0.0;74.0;0.0;0.0
NL:S:43180030;NL:Q:43180030;Dorpsstraat;Lonneker;Oldenzaalsestraat;259425;474363;2019;62;8.0;6.0;0.0;80.0;14.0;15.0
NL:S:43180030;NL:Q:43180040;Dorpsstraat;Lonneker;Oldenzaalsestraat;259445;474213;2019;60;12.0;0.0;0.0;3.0;0.0;0.0
NL:S:43180030;NL:Q:43180040;Dorpsstraat;Lonneker;Oldenzaalsestraat;259445;474213;2019;62;42.0;7.0;4.0;8.0;3.0;0.0
NL:S:43010330;NL:Q:43010330;Ekersdijk;Glanerbrug;Heidevlinder;262612;470851;2019;3;357.0;43.0;2.0;1849.0;209.0;89.0
NL:S:43001180;NL:Q:43001180;Waalstraat;Enschede;Waalstraat;258073;473633;2019;2;1322.0;153.0;58.0;1149.0;138.0;80.0
NL:S:43000350;NL:Q:43000350;Stroinksbleekweg;Enschede;Hulsmaatstraat;257980;472944;2019;2;31.0;2.0;0.0;1200.0;94.0;41.0
NL:S:43000350;NL:Q:43000360;Stroinksbleekweg;Enschede;Hulsmaatstraat;257979;472941;2019;2;1213.0;134.0;35.0;13.0;2.0;2.0
NL:S:43005590;NL:Q:43005590;Uranusstraat;Enschede;Hengelosestraat;255693;472770;2019;8;19.0;0.0;0.0;23.0;0.0;0.0
NL:S:43005590;NL:Q:43005590;Uranusstraat;Enschede;Hengelosestraat;255693;472770;2019;9;860.0;63.0;21.0;1035.0;52.0;42.0
NL:S:43005590;NL:Q:43005600;Uranusstraat;Enschede;Hengelosestraat;255774;472699;2019;8;16.0;0.0;0.0;23.0;0.0;0.0
NL:S:43005590;NL:Q:43005600;Uranusstraat;Enschede;Hengelosestraat;255774;472699;2019;9;1059.0;48.0;13.0;906.0;64.0;49.0
NL:S:43110140;NL:Q:43110140;UT/Hoofdingang;Enschede;Drienerbeeklaan;254895;473376;2019;1;571.0;0.0;0.0;31.0;0.0;0.0
NL:S:43110140;NL:Q:43110140;UT/Hoofdingang;Enschede;Drienerbeeklaan;254895;473376;2019;8;6.0;0.0;0.0;106.0;0.0;0.0
NL:S:43110140;NL:Q:43110150;UT/Hoofdingang;Enschede;Drienerbeeklaan;254896;473393;2019;1;27.0;0.0;0.0;294.0;0.0;0.0
NL:S:43110140;NL:Q:43110150;UT/Hoofdingang;Enschede;Drienerbeeklaan;254896;473393;2019;8;74.0;0.0;0.0;33.0;0.0;0.0
NL:S:44100530;NL:Q:44100530;P4 Kwinkelerweg;Boekelo;Kwinkelerweg;250877;470255;;;;;;;;
NL:S:43002530;NL:Q:43002530;Bankastraat;Enschede;Kuipersdijk;258109;470383;2019;4;134.0;18.0;12.0;681.0;47.0;44.0
NL:S:43002530;NL:Q:43002540;Bankastraat;Enschede;Kuipersdijk;258117;470453;2019;4;555.0;21.0;15.0;107.0;5.0;5.0
NL:S:43003700;NL:Q:43003700;Verzorgingshuis De Posten;Enschede;De Posten;257192;467723;2019;508;18.0;8.0;0.0;10.0;6.0;0.0
NL:S:43001210;NL:Q:43001210;Het Voortman;Enschede;Voortsweg;258384;473259;2019;2;149.0;31.0;19.0;290.0;59.0;22.0
NL:S:43003620;NL:Q:43003620;Vrielinklanden;Enschede;Vrielinklanden;258726;468708;2019;4;1178.0;127.0;29.0;891.0;94.0;31.0
NL:S:44200050;NL:Q:44200050;Rutbeekweg;Usselo;Haaksbergerstraat;251603;466883;2019;62;4.0;3.0;0.0;51.0;10.0;4.0
NL:S:44200050;NL:Q:44200060;Rutbeekweg;Usselo;Haaksbergerstraat;251711;466949;2019;62;43.0;11.0;4.0;2.0;0.0;0.0
NL:S:43000220;NL:Q:43000220;Deurningerstraat;Enschede;Deurningerstraat;257759;472153;2019;2;249.0;22.0;10.0;81.0;12.0;1.0
NL:S:43000220;NL:Q:43000220;Deurningerstraat;Enschede;Deurningerstraat;257759;472153;2019;60;59.0;0.0;0.0;46.0;0.0;0.0
NL:S:43000220;NL:Q:43000220;Deurningerstraat;Enschede;Deurningerstraat;257759;472153;2019;61;123.0;2.0;2.0;97.0;10.0;9.0
NL:S:43000220;NL:Q:43000220;Deurningerstraat;Enschede;Deurningerstraat;257759;472153;2019;62;516.0;11.0;0.0;125.0;15.0;8.0
NL:S:43000220;NL:Q:43000230;Deurningerstraat;Enschede;Deurningerstraat;257732;472092;2019;2;67.0;24.0;1.0;343.0;53.0;16.0
NL:S:43000220;NL:Q:43000230;Deurningerstraat;Enschede;Deurningerstraat;257732;472092;2019;60;41.0;0.0;0.0;20.0;0.0;0.0
NL:S:43000220;NL:Q:43000230;Deurningerstraat;Enschede;Deurningerstraat;257732;472092;2019;61;75.0;3.0;7.0;561.0;4.0;0.0
NL:S:43000220;NL:Q:43000230;Deurningerstraat;Enschede;Deurningerstraat;257732;472092;2019;62;102.0;16.0;5.0;66.0;11.0;5.0
NL:S:43002570;NL:Q:43002570;Madioenstraat;Enschede;Hendrik Smeltweg;258432;470207;2019;505;72.0;11.0;0.0;75.0;7.0;0.0
NL:S:43008090;NL:Q:43008090;Hoge Boekelerweg;Enschede;Hoge Boekelerweg;259768;472212;2019;6;304.0;39.0;19.0;239.0;24.0;22.0
NL:S:43110120;NL:Q:43110120;UT/Drienerbeeklaan;Enschede;Drienerbeeklaan;254539;473541;2019;1;249.0;29.0;27.0;311.0;3.0;1.0
NL:S:43110120;NL:Q:43110120;UT/Drienerbeeklaan;Enschede;Drienerbeeklaan;254539;473541;2019;4816;0.0;0.0;2.0;0.0;0.0;0.0
NL:S:43110120;NL:Q:43110120;UT/Drienerbeeklaan;Enschede;Drienerbeeklaan;254539;473541;2019;8;4.0;0.0;0.0;27.0;0.0;0.0
NL:S:43110120;NL:Q:43110130;UT/Drienerbeeklaan;Enschede;Drienerbeeklaan;254542;473539;2019;1;102.0;3.0;3.0;292.0;51.0;34.0
NL:S:43110120;NL:Q:43110130;UT/Drienerbeeklaan;Enschede;Drienerbeeklaan;254542;473539;2019;4816;0.0;0.0;2.0;0.0;0.0;91.0
NL:S:43110120;NL:Q:43110130;UT/Drienerbeeklaan;Enschede;Drienerbeeklaan;254542;473539;2019;8;34.0;0.0;0.0;36.0;0.0;0.0
NL:S:43000370;NL:Q:43000370;Buizerdstraat;Enschede;Buizerdstraat;257970;473201;2019;2;259.0;26.0;6.0;1381.0;131.0;52.0
NL:S:43003250;NL:Q:43003250;Fre Cohenlaan;Enschede;Henriette Ronnerlaan;255139;470337;2019;5;365.0;54.0;17.0;312.0;57.0;19.0
NL:S:43003250;NL:Q:43003260;Fre Cohenlaan;Enschede;Henriette Ronnerlaan;255135;470348;;;;;;;;
NL:S:43021850;NL:Q:43021850;Honinglohoek;Enschede;Busbaan;255360;468094;2019;2;7.0;2.0;1.0;1584.0;212.0;78.0
NL:S:43021850;NL:Q:43021850;Honinglohoek;Enschede;Busbaan;255360;468094;2019;8;172.0;0.0;0.0;1.0;0.0;0.0
NL:S:43021850;NL:Q:43021860;Honinglohoek;Enschede;Busbaan;255364;468077;2019;2;1623.0;222.0;73.0;34.0;0.0;2.0
NL:S:43021850;NL:Q:43021860;Honinglohoek;Enschede;Busbaan;255364;468077;2019;8;33.0;0.0;0.0;93.0;0.0;0.0
NL:S:43000130;NL:Q:43000130;Spinnerplein;Enschede;Haaksbergerstraat;256808;470141;2019;62;291.0;20.0;12.0;645.0;90.0;8.0
NL:S:43000130;NL:Q:43000140;Spinnerplein;Enschede;Haaksbergerstraat;256880;470180;2019;62;703.0;87.0;26.0;235.0;8.0;13.0
NL:S:43000270;NL:Q:43000270;Hulsmaatstraat;Enschede;Lonnekerspoorlaan;258172;472861;2019;2;80.0;6.0;3.0;964.0;116.0;30.0
NL:S:43000270;NL:Q:43000270;Hulsmaatstraat;Enschede;Lonnekerspoorlaan;258172;472861;2019;60;212.0;0.0;0.0;276.0;0.0;0.0
NL:S:43000270;NL:Q:43000270;Hulsmaatstraat;Enschede;Lonnekerspoorlaan;258172;472861;2019;61;282.0;9.0;9.0;315.0;11.0;3.0
NL:S:43000270;NL:Q:43000270;Hulsmaatstraat;Enschede;Lonnekerspoorlaan;258172;472861;2019;62;229.0;30.0;13.0;339.0;44.0;22.0
NL:S:43000270;NL:Q:43000280;Hulsmaatstraat;Enschede;Lonnekerspoorlaan;258154;472855;2019;2;1038.0;120.0;23.0;113.0;6.0;2.0
NL:S:43000270;NL:Q:43000280;Hulsmaatstraat;Enschede;Lonnekerspoorlaan;258154;472855;2019;60;287.0;0.0;0.0;149.0;0.0;0.0
NL:S:43000270;NL:Q:43000280;Hulsmaatstraat;Enschede;Lonnekerspoorlaan;258154;472855;2019;61;690.0;25.0;13.0;343.0;12.0;9.0
NL:S:43000270;NL:Q:43000280;Hulsmaatstraat;Enschede;Lonnekerspoorlaan;258154;472855;2019;62;478.0;47.0;14.0;440.0;23.0;14.0
NL:S:43001750;NL:Q:43001750;Wkc Het Bijvank;Enschede;Het Bijvank;256889;468537;2019;1;414.0;33.0;17.0;9.0;0.0;0.0
NL:S:43001750;NL:Q:43001760;Wkc Het Bijvank;Enschede;Het Bijvank;256893;468515;2019;1;47.0;4.0;1.0;391.0;42.0;16.0
NL:S:43005440;NL:Q:43005440;Schuttersveld;Enschede;Hengelosestraat;257067;471927;2019;8;12.0;0.0;0.0;83.0;0.0;0.0
NL:S:43005440;NL:Q:43005440;Schuttersveld;Enschede;Hengelosestraat;257067;471927;2019;9;644.0;43.0;3.0;1002.0;74.0;14.0
NL:S:43005440;NL:Q:43005450;Schuttersveld;Enschede;Hengelosestraat;257247;471830;2019;8;68.0;0.0;0.0;30.0;0.0;0.0
NL:S:43005440;NL:Q:43005450;Schuttersveld;Enschede;Hengelosestraat;257247;471830;2019;9;709.0;55.0;18.0;616.0;32.0;4.0
NL:S:43022000;NL:Q:43022000;Disselhoek;Enschede;Disselhoek;255378;468921;2019;2;803.0;85.0;17.0;642.0;66.0;22.0
NL:S:43170030;NL:Q:43170030;Lonnekermolenweg;Losser;Lossersestraat;260525;474524;2019;61;2.0;0.0;0.0;7.0;13.0;0.0
NL:S:43170030;NL:Q:43170040;Lonnekermolenweg;Losser;Lossersestraat;260240;474426;2019;61;5.0;19.0;0.0;4.0;5.0;1.0
NL:S:43100310;NL:Q:43100310;De Plooij;Boekelo;Windmolenweg;251633;469758;;;;;;;;
NL:S:43100310;NL:Q:43100320;De Plooij;Boekelo;Windmolenweg;251645;469725;;;;;;;;
NL:S:44100030;NL:Q:44100030;Kerk;Usselo;Haaksbergerstraat;253778;469156;2019;62;102.0;10.0;7.0;139.0;11.0;7.0
NL:S:44100030;NL:Q:44100040;Kerk;Usselo;Haaksbergerstraat;253806;469221;2019;62;95.0;18.0;5.0;149.0;6.0;7.0
NL:S:43000170;NL:Q:43000170;Wicher Nijkampstraat;Enschede;Vlasstraat;256252;470071;;;;;;;;
NL:S:43000170;NL:Q:43000180;Wicher Nijkampstraat;Enschede;Wicher Nijkampstraat;256255;470062;;;;;;;;
NL:S:43022010;NL:Q:43022010;Dubbelinckhoek;Enschede;Dubbelinckhoek;255499;468678;2019;2;8.0;0.0;0.0;763.0;75.0;30.0
NL:S:43022010;NL:Q:43022010;Dubbelinckhoek;Enschede;Dubbelinckhoek;255499;468678;2019;8;91.0;0.0;0.0;19.0;0.0;0.0
NL:S:43022010;NL:Q:43022020;Dubbelinckhoek;Enschede;Dubbelinckhoek;255475;468662;2019;2;769.0;81.0;30.0;2.0;1.0;1.0
NL:S:43022010;NL:Q:43022020;Dubbelinckhoek;Enschede;Dubbelinckhoek;255475;468662;2019;8;32.0;0.0;0.0;55.0;0.0;0.0
NL:S:43110270;NL:Q:43110270;UT/Langenkampweg;Enschede;Witbreuksweg;254964;474525;2019;1;1235.0;281.0;75.0;780.0;189.0;98.0
NL:S:43110270;NL:Q:43110270;UT/Langenkampweg;Enschede;Witbreuksweg;254964;474525;2019;4816;0.0;0.0;12.0;0.0;0.0;272.0
NL:S:43110280;NL:Q:43110280;UT/Sportcentrum;Enschede;Campuslaan;254825;473779;2019;1;40.0;0.0;0.0;4.0;0.0;0.0
NL:S:43001570;NL:Q:43001570;Tuindorp Broekheurne;Enschede;Burgemeester Van Veenlaan;256992;468972;2019;1;25.0;33.0;0.0;1473.0;176.0;82.0
NL:S:43001570;NL:Q:43001580;Tuindorp Broekheurne;Enschede;Burgemeester Van Veenlaan;257025;469033;2019;1;1474.0;157.0;47.0;56.0;3.0;0.0
NL:S:43006160;NL:Q:43006160;Kotkampweg;Enschede;Potsweg;258700;472858;2019;60;72.0;0.0;0.0;218.0;0.0;0.0
NL:S:43006160;NL:Q:43006160;Kotkampweg;Enschede;Potsweg;258700;472858;2019;61;202.0;31.0;7.0;227.0;15.0;9.0
NL:S:43006160;NL:Q:43006160;Kotkampweg;Enschede;Potsweg;258700;472858;2019;62;187.0;16.0;10.0;294.0;27.0;6.0
NL:S:43006160;NL:Q:43006170;Kotkampweg;Enschede;Oldenzaalsestraat;258811;472836;2019;60;247.0;0.0;0.0;225.0;0.0;0.0
NL:S:43006160;NL:Q:43006170;Kotkampweg;Enschede;Oldenzaalsestraat;258811;472836;2019;61;199.0;13.0;9.0;190.0;14.0;9.0
NL:S:43006160;NL:Q:43006170;Kotkampweg;Enschede;Oldenzaalsestraat;258811;472836;2019;62;235.0;31.0;9.0;206.0;28.0;18.0
NL:S:43007180;NL:Q:43007180;Borgbos;Enschede;Haaksbergerstraat;255588;469602;2019;62;260.0;33.0;6.0;164.0;15.0;20.0
NL:S:43007180;NL:Q:43007190;Borgbos;Enschede;Haaksbergerstraat;255715;469629;2019;62;178.0;14.0;18.0;302.0;27.0;5.0
NL:S:43000010;NL:Q:43001002;Centraal Station;Enschede;NB;257695;471504;;;;;;;;
NL:S:43000010;NL:Q:43000020;Centraal Station;Enschede;Stationsplein;257667;471437;2019;505;427.0;32.0;0.0;20.0;0.0;0.0
NL:S:43000010;NL:Q:43000020;Centraal Station;Enschede;Stationsplein;257667;471437;2019;61;12515.0;814.0;340.0;253.0;0.0;0.0
NL:S:43000010;NL:Q:43000014;Centraal Station;Enschede;Stationsplein;257661;471470;2019;2;12678.0;932.0;438.0;9541.0;931.0;347.0
NL:S:43000010;NL:Q:43000014;Centraal Station;Enschede;Stationsplein;257661;471470;2019;8;118.0;0.0;0.0;2189.0;0.0;0.0
NL:S:43000010;NL:Q:43001000;Centraal Station;Enschede;Stationsplein;257669;471428;2019;60;8555.0;0.0;0.0;36.0;0.0;0.0
NL:S:43000010;NL:Q:43001000;Centraal Station;Enschede;Stationsplein;257669;471428;2019;62;8954.0;692.0;278.0;12883.0;843.0;507.0
NL:S:43000010;NL:Q:43000015;Centraal Station;Enschede;NB;257662;471464;2019;3;14590.0;958.0;611.0;56.0;16.0;1.0
NL:S:43000010;NL:Q:43000015;Centraal Station;Enschede;NB;257662;471464;2019;9;126.0;6.0;0.0;22229.0;1176.0;297.0
NL:S:43000010;NL:Q:43001001;Centraal Station;Enschede;Stationsplein;257630;471490;2019;505;1.0;0.0;0.0;812.0;50.0;0.0
NL:S:43000010;NL:Q:43001001;Centraal Station;Enschede;Stationsplein;257630;471490;2019;506;3.0;0.0;0.0;330.0;12.0;0.0
NL:S:43000010;NL:Q:43001001;Centraal Station;Enschede;Stationsplein;257630;471490;2019;61;67.0;0.0;0.0;13168.0;871.0;339.0
