;STOPPLACECODE;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO;NAME;TOWN;RD-X;RD-Y
0;DE:S:80000510;7.4;5.9;0.0;0.0;0.0;0.0;Markt;Elten;208219.5;431920.0
1;DE:S:80000530;3.2;3.3;0.0;0.0;0.0;0.0;Neustadt;Elten;208198.5;432082.5
2;DE:S:80000560;0.7;0.6;0.0;0.0;0.0;0.0;Hauberg;Elten;207520.0;432023.0
3;DE:S:80000570;0.1;0.9;0.0;0.0;0.0;0.0;Feldhausener Weg;Elten;207856.5;432854.5
4;NL:S:16000010;197.20000000000002;169.4;22.8;19.2;0.0;0.0;Station;Meppel;209759.8;522990.2
5;NL:S:16000260;2.5;4.2;0.4;0.6;0.0;0.0;Medisch Centrum;Meppel;211084.0;522879.0
6;NL:S:16000280;0.3;0.2;0.3;0.1;0.0;0.0;Gemeenteweg;Halfweg;214124.5;520222.5
7;NL:S:16000600;1.6;2.4;0.0;0.0;0.0;0.0;Burg. Knopperslaan;Meppel;209754.0;523781.0
8;NL:S:16000710;0.9;1.0;0.0;0.0;0.0;0.0;Steenwijkerstraatweg;Meppel;208768.5;524285.0
9;NL:S:16000800;30.1;41.6;0.9;1.1;0.0;0.0;De Stouwe;Meppel;209428.0;522069.0
10;NL:S:16000880;4.5;4.6;0.2;0.4;0.0;0.0;Reestplantsoen;Meppel;209480.5;522297.5
11;NL:S:16000910;0.7;1.1;0.0;0.0;0.0;0.0;Leonard Springerlaan;Meppel;209670.5;522547.5
12;NL:S:16001010;8.2;9.3;0.0;0.0;0.0;0.0;Hugo de Grootstraat;Meppel;209048.0;524125.0
13;NL:S:16002610;2.4;2.0;0.7;1.3;0.0;0.0;Prinsengracht;Meppel;209543.0;523515.3
14;NL:S:16100010;1.6;3.4;0.0;0.0;0.0;0.0;Perceel 3;Nijeveen;207512.0;527039.5
15;NL:S:16100030;0.1;0.0;0.0;0.0;0.0;0.0;Perceel 56;Kolderveen;206909.5;526523.0
16;NL:S:16100050;0.1;0.0;0.0;0.0;0.0;0.0;Thijs van Urklaan;Kolderveen;206543.5;526309.0
17;NL:S:16110060;5.1;4.1;1.7;1.4;0.0;0.0;Heerenweg;IJhorst;216106.0;519641.0
